,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X002415.SZ,X600104.SH,X002475.SZ,X003816.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600031.SH,X000568.SZ,X000338.SZ,X600690.SH,X600741.SH,X600809.SH,X000661.SZ,X600703.SH,X002241.SZ,X000596.SZ,X000100.SZ,X300003.SZ,X600183.SH,X002236.SZ,X601877.SH,X300014.SZ,X300124.SZ,X000066.SZ,X000157.SZ,X300142.SZ,X002007.SZ,X002371.SZ,X002179.SZ,X300136.SZ,X000977.SZ,X002463.SZ,X600271.SH,X000625.SZ,X002008.SZ,X002456.SZ,X600584.SH,X600177.SH,X000050.SZ,X002180.SZ,X600066.SH,X002506.SZ,X002049.SZ,X002508.SZ,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.13730065505648,0,0,0,0,0.212258555074208,0,0,0,0,0.135591118822224,0.335247555280398,0,0,0,0,0,0,0,0.219163547389244,0,0,0,0,0,-0.106921567421692,0,0,0,0,0,0,0,0,0,-0.055360931836117,-0.0839275939595447,0,0,0,0.0369307781647691,0,0,0.0541803461736033,0,0,0,0,0,0,-0.0115399820246371,-0.00270132763626158,0,0,0,0.018742544410606,0,0
X000858.SZ,0.0550275257007897,0,0,0,0,0,0.0199291966060048,0,0,0,0.0585960437730603,0,0.674555694189917,0,0,0,0.091813768073415,0,0,0,0.0074661541496624,0,0.0239641906805225,0,0,0,0,0,0,0,0,0,0.0164004716147189,0,0,0,0,0,0,0,0.0161525748935329,0,0,0,0,0,0,0,0,0,0,0.000896683451144383,0,0,0,0,-0.0208346629938636,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299980979959233,0,0,0.119538274472338,-0.107571601908023,0,0.00092394452570603,0.183221715185099,0,0,0,0,0,0,0.0718438998889913,0,0,0,0,0,0,0,-0.121728111619503,0,-0.138996175358339,0,6.93889390390723e-18,0.0381128562855272,0,0,0.0394964110612226,0,0,0,0.0388082508589915,0.162246892108685,0,0,0,0,0,0,-0.0334413388965003,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,-0.0291003738907828,0,0,0,0,0,0,0.398450364534116,0,0.0141974613114203,0.111629160936567,0,0.0244822048426475,0,0,0,-0.00756296984198272,0,0.00070011065148855,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.0645552536192802,0.193868143365761,0,0,0,0,0,0,0,0,0,0,0,0.0240203516582737,-0.00445192924934444,0,0,0,0.0151606716962245,0,0
X002415.SZ,0,0,0,0,0,0,0.0271962179149203,0,0,0,0,0,0,0,0.0662000646123185,0,0,0,0,0,0,0,0.0843201564676442,0,0.533317044544049,0,0,0.112793785323359,0,0,0,0,0,0,0,0,0,0,0,0.0279982182699916,-0.0734833119330497,0,0,0,0,0,0,0,-0.0627530094418493,0,0,0.064502141754149,-0.0775417777780767,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130550461639288,0,0,0,0,0,-0.0322289104991006,0,0.00944226844045892,0.0139797379953789,0.130409313784299,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.0296665690319848,0,-1.0842021724855e-19,0,0,0,0,4.58073092933378e-05,0,0
X002475.SZ,0.177535527604033,0,0,0,0,0,0,0,0,0,0,0.083830596032239,0,0,-0.122752663477094,0,0.0846819869676689,0,-0.119168524349809,0.00601680477323382,0,0,0,0.0120420053458294,0,0,0,0,0.186163214381892,0,0,0,0,0,0.202055005144449,-0.0349773541238764,0,0,0,0.462788677442511,0.0152861461688894,0,0,0,0,0,0,0,0,0,0,0,0.0136820479219948,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107896655251969,0,0,0,0.0270215782727213,0,0,0,0,0,0,0,0,0,0,0.0763258256506456,0,0,-0.0971317664667312,0,0.104820579833857,0.0356419897657062,0.0732635014227108,0,0,0,0,2.16840434497101e-19,0,0.200408146047834,0.0108553629443746,0,0,0,0,0,0,0.0609555704574776,-0.0117362496746472,0,0,0,0,0,0
X002304.SZ,0,0.175443702089346,0.0265016077470222,0.0217562199644373,0,0,0,0.0520316556148339,0,0,0,0,0,0,0,0,0,0,0.040661592966314,-0.00892854131664503,0.213156806786585,0,0,0.032831669469148,0,0,-0.0298108731063409,0,0,0,0,0.0219302500354603,-0.038566784993731,0,0,0.0371968565232469,0,0,0,0,0,0.0162549546307042,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.0631661149859169,0,0,0,0.0371911202186228,0,0
X000725.SZ,0,0,0,0,0,0,0,0.0478078813522584,0,0,0,0,0,0.0178996077937612,0,0,0,0,0.0174695126598448,0,0,0.0465559466917591,0,0,0,0,0.0239307874538504,0,0.0537049033585925,0,0,0,0,0,0.013360238441819,0,0.0192565572599835,0,0,0,0,0.0818989429139669,0,0.0793759924208895,0,0,0,0.0761076324403197,0,0,0,0.0103272829249462,0.00414018590332494,0,0,0,0,0,0
