,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000568.SZ,X600703.SH,X002475.SZ,X600741.SH,X600031.SH,X000338.SZ,X000063.SZ,X300003.SZ,X002236.SZ,X600809.SH,X600271.SH,X002008.SZ,X601877.SH,X000596.SZ,X002456.SZ,X600867.SH,X300124.SZ,X600487.SH,X000100.SZ,X000625.SZ,X600566.SH,X600066.SH,X002294.SZ,X000661.SZ,X300136.SZ,X002179.SZ,X600498.SH,X300142.SZ,X000977.SZ,X000157.SZ,X002180.SZ,X002007.SZ,X002241.SZ,X000981.SZ,X300146.SZ,X000050.SZ,X000869.SZ,X600522.SH,X002049.SZ,X600779.SH,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.479379775405335,0,0,0,0,0,0.0291090430366363,0,0,0,0,0,0,0,0,0,0,0.0229894420320444,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.00351463639028704,0,0.0273230408760987,0,0,0,0.0296833363600889,0,0,0,0,0.0765064202767627,0,0,0.0271547220599839,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0
X600104.SH,0,0,0,0.218204133256917,0,0,0,0,0.0413193734599845,0,0,0,0.135446861044604,0.110901568403633,0,0,0,0,0,0,0,0,0,0,0,0,-0.0354500793692459,0,0,0,0.000265670126844092,0,0,0.129371924105758,0,0,-0.10894974203441,0,0,-0.225916659572365,0,0,0,0,0,0,0,0,0,0,0.0240980354902459,0.025512962312791,0.0403146583519212,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.0940134882400862,0,0,0,0,0,0.00189756282551019,0,-0.0976760921484807,0,0.161899378478992,0,0,0.053229594320875,0,-2.16840434497101e-19,0,0,0,0.0184092532421292,0,0,0,0,0,0,0.0491742725390004,0,0,0,0,0,0,-0.00770649534578342,0,0,0,0,0,0,0,0.0406196571055734,0.196337020420306,0,0.00150107863429718,0.00871657232595833,0,0,0,0,0,0
X000858.SZ,0.107703425440189,0.0306321821304854,0,0,0,0.102413218178961,0.242034936977977,0,0.17675793882507,0,0,0.0766217813737818,0.0542640770846423,0,0,0,0,0.0971272989496554,0,0,0.0638338321391087,-4.33680868994202e-19,0.135264681592794,0,0,0,0,0,0,-0.0295541707917734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00662834528639232,-0.0164818073679001,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,-3.46944695195361e-18,0.286759194879125,0,0,0,0,0.130051929790598,0,0,0,0,0,0,0.0556006800389529,0,0.00905164964878376,0,0,0.048441718824795,0,0,0,0,0,0,0,0,0,-0.0717494626522299,0,0,0,0,-0.0324981795566095,0,0,0,0,0,0,0,0.175922266774948,0.129857332535728,0,0.00410212853146787,0,0,0,0,0,0,0
X600276.SH,0,0,0.0397635573635976,0,0,0,0,0,0,0.113133401522168,0,0,0,0,0,-0.10311519178913,0,0,0,0,0,0,0,0,0,0.202844248569478,0,0,0,0.0730673948485192,0.0822927049330917,0.277128236947724,0.126539907535385,0,0,0,0.102130359198914,0,0,0,0.0516260457782224,0,0,0,0,0,0,0,0,0,0,0.0152669773435744,-0.00681028074656191,0,0,0,0,0,0
X002304.SZ,0,0,0,0.20631527672602,0,0,0,0,0.208606078371095,0.211331206291904,0,0,0,0,0.0126543455604505,-0.0812173377916803,0.162161268361814,0,0.188475157597033,0,0,0.0970439592475389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0887066383343468,0,0,0,0,0,0,-0.188963264615914,0,0,0,0,0.12133412659256,0,0,0.0122119389557036,0.00226427724971582,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0410208640179891,0,0,0,0,0,0,0,0.0839650074915579,0,0,0,0,0,0,0,0,0,0.00430454458604747,0,0,0,0.0826592160212651,0.24839632329842,-0.135396390959785,0,0,0.202945309315393,0.11611413558292,0,0.021979203159829,0,-0.00287163969390825,0,0,0,0,0,0,0
X600690.SH,0.131760951772428,0,0,0.259205406862884,0.0307699842154006,0,0,0,0,0,0,0,0,0,0,-0.0080641785908019,0,0.0895634214444978,0,0,0,0,0,0,0.110942953045422,0,0,0,0,0,0,0,0,0,0.0186494508970364,0,0,-0.119010126071697,0,0,0,0,0,0,0,0.291505842403545,0,0,0,0.1117403827811,0,-0.00311205874192156,0.00744590096745646,0,0,0,0,0,0
X000568.SZ,0,0,0,0.133430389862887,0,0,0.110032270300107,0,0.0847343075046684,0,0.0546671093380598,0,0,0.0427032107497432,0.0575358610730949,0,0,0,0,0,0,0,0.240807683787162,0,0,0,0.0136170982552528,0,0,0,0,0,0,0,0,0,0,0,0,0.000789158453672037,0,0,0,0,0,0.054326194869649,0,0,0,0.073569606564446,0,0.0218380782401801,0,0,0,0,0,0,0
