,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X002236.SZ,X002241.SZ,X002475.SZ,X600741.SH,X000625.SZ,X600031.SH,X002456.SZ,X000338.SZ,X600066.SH,X300124.SZ,X000100.SZ,X002008.SZ,X601877.SH,X300136.SZ,X600809.SH,X002085.SZ,X300003.SZ,X600487.SH,X600089.SH,X002508.SZ,X600271.SH,X600177.SH,X600522.SH,X000157.SZ,X000050.SZ,X600118.SH,X002294.SZ,X300115.SZ,X600867.SH,X600699.SH,X000981.SZ,X000559.SZ,X600372.SH,X600566.SH,X600498.SH,X000623.SZ,X002180.SZ,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.179905722119752,0,0.127390165864203,0,0,0,0.00904607467421609,0.119780568688067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0648075036723912,-4.33680868994202e-19,0,0,0,0.0544485510123467,0,0,0,0,0,0,0.0559268013793502,0,0,0,0,0,0,0,0,0,0.035349053998723,-0.00431706490036231,0,0.00470800029699657,-0.0209737950274376,0,0,0,0,0,0
X600104.SH,0,0,0,0.420558667113812,0,0,0,0,0,0,0,0,0.067927256856437,0,0.143103857365996,0.211769049710497,0,0,-0.0713826336539753,0,0.199467523185408,0,0,0,0,-0.0380952158417284,0,0.00804051842091311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0482981144194053,0,0,0.0463880535548742,0,0.0210499829047592,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0277814241476477,0,0,0,0,0.289709892616555,0,0,0.169667724846197,0,0,0.0927669756961085,0,0,0.0384201055325331,0,0,0,0,0,0,0,0.0528609224773532,0.0529556702214068,0.0850634867380526,0,0,0.00924437452062731,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131168285178685,0,0,0,0,0,0.00786687127236472,0.021771825705675,0,0,0,0,0,0
X000651.SZ,0,0.0236891161125337,0,0,0.212416688688026,0,0,0,0,0.15792147151588,0,0,0.0830965374280603,0,0,0,0,0.0977934401349396,0,0,0,0,0,0,0,-0.0187534764687434,0,-8.67361737988404e-19,0,0,-0.0767583879377348,0.0519576408110629,0,0,0,0,0,0,0,0.0110468735315364,0,0,0,0,0,0,0,0,-0.040382680440725,0,0.0633988308365756,-0.0119514798923869,0.0259554717288755,0,0,0,0,0,0
X000858.SZ,0.2842454636967,0,0,0.200864958105221,0,0,0,0,0,0,0,0.223124527603113,0.0808368125958037,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157468010635099,0,0.00881274041824907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00309888361982233,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.060381537454651,0,0,0,-0.0421997320160413,0,0.164737189446228,0.192373733562528,0,0,0,0,0,0,0,0,0,-0.0791294233644808,0,-0.0337336469945126,0,0,0,0,0,0,0,0.0178128922375846,0,0,0,0,0,0,0,0,0,0,-0.149098853543909,0,-0.0498419779498033,0,0.135342664591044,0,0,-4.33680868994202e-19,0,0.0125142378252224,-0.00399505098460724,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.561097109435029,0,0,0,0,0,0.0544215587542783,0.0621715631674142,0,0,0,0,0,0.0447289515058391,-0.190968478115764,0.0258267983394311,0,0,0,0,0,0,0.0542276431932028,0,0,0,0,0,0,0,0,0,0.00744847351744389,0,0,0,-0.0440708502080074,0,0,0,0,0,-0.0315657138770943,0,-0.0675362551219415,0,0,-0.0106981961091498,0.00152942050548129,0,0,0,0,0,0
X000725.SZ,0,0,0.0276736048319349,0,0,0,0,0,0,0.0790334707220389,0.0337423934956323,0,0,0,0,0.0970815297180634,0,0,0,0.128378153453895,0,0,0,0,0,0,0,0,0,0,0,0.0411280565020669,0,0,0,0,0.0309495693711662,0,0,0,0,0,0,0.21936180301011,0,0,0.175657009327588,0,0,0,0,-0.00528968594396342,-0.00189462579085486,-0.0908982818936828,0,0,0,0,0
X000063.SZ,0,0,0.185110183611093,0,0,0,0,0,0,0,0.273009038672469,0.168994925655373,0.0900703594687627,0,0,0,0,0,0,0,0,0.00807791455801083,0,0.0219755175916936,0,0,0.0781566787183327,0,0,0.00618598841700509,0,0,0,0,0,0,0,0,0.103724188867933,0,-0.0803213581599923,0,0,0,0.154807916908004,0,0,0,0,0,0.0195004612156633,-0.0383217064268255,0.0716498841945192,0,0,0,0,0,0
X600690.SH,0,0,0,0.401345820704434,0,0,0,0,0.0346317373252976,0,0,0,0.0372369892320643,0,0,0.319290731159777,0,0,0,0,0,0,0,0.0211537869128622,0,0.0129675954166221,0,0.0647146752970883,0,0,0,0,0,0,0,0,0.0244113248485323,0,0,0,0,0,0,0,0,0.099082039846498,0,0,0,0,0,0.0170301492096269,0,0,0,0,0,0,0
