,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X002304.SZ,X000858.SZ,X600276.SH,X000063.SZ,X000625.SZ,X600703.SH,X002292.SZ,X600690.SH,X600118.SH,X600271.SH,X002241.SZ,X000559.SZ,X000100.SZ,X600031.SH,X600066.SH,X002236.SZ,X600741.SH,X600372.SH,X002475.SZ,X000157.SZ,X000338.SZ,X600089.SH,X300124.SZ,X002465.SZ,X002049.SZ,X000568.SZ,X600177.SH,X002129.SZ,X601877.SH,X002294.SZ,X300003.SZ,X002074.SZ,X002506.SZ,X600582.SH,X000869.SZ,X600867.SH,X002456.SZ,X002426.SZ,X002085.SZ,X300001.SZ,X000547.SZ,X600498.SH,X000977.SZ,X002276.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0338529617115457,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488219684345182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116305683626348,0.0443811930122812,0,0,0.0318562452136451,0,0.0397179119280714,-0.0543070024516713,0,0.0275563747691536,0.0154152260705383,0,0.0326442642757525,0,0,0,-0.0411083547091441,0.0436895473867062,0,-0.0381317012140235,0.0410797428723076,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.253671234655022,0.102775060281207,0,0,0,0,0.0190942947711127,0,0,0.0801044632612195,0,0,0,0,0,0.0129543165275475,0,0.0871190494820344,0,0,0.0361177386349577,0,3.46944695195361e-18,0,0,0,0,0,0.0287470268679974,0,0,0,0,0,0,0,0,0,-0.136062600284026,0,0,-0.035248830772457,0.0376270109935922,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0181840427860392,0,0.0355965519528805,0,0,0,0,0,0,0.0578543228132021,0,0.189703124170455,0.00409692031938631,0,0,0.262763552455912,0.0726926692217582,0,0.0123455368206329,0,0,0,0,0,0,0,0.0592299030950147,0.0250175760928482,0,4.33680868994202e-19,0.0399077361049125,0,0,0,-6.93889390390723e-18,0.0362280941323471,0,0,0,0.00902808458111313,-0.0209582330479395,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.198419955032142,0,0,0.147020621108481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292760927598081,0.00212126777532498,0,0,0,-0.070673462299886,0,0,0,0,0,0,-0.0169977580055574,0,-0.0247911428672019,0,-0.00891111608145392,0,0,0.0136304511159693,0.0141970930665503,0,-0.0247075139966313,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.0343891681425859,0,0.0257387033496111,0,0,0,0,0,0,0,0,0,0,0.0207444382067265,0,0,0,0,0.00405518786617713,0,0.0451527409409464,0,0.212618294631047,0.0934823857901908,0,0,0,0,0,0,0,0,0.0438936220710565,0,0,0,0.0279888332249264,0,0,0.0153249115758509,0,-0.00292568052126261,-0.00125660495413904,0,0,0,0,0,0
X002304.SZ,0,0,0,0.0786755082432305,0,0,0,0,0,0,0,0.0225227956075975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125373294257601,0,0.0986722015811716,0,0,0,0,0,0,0,0,0,0,0,0,0.0778063998193461,0,0,-0.00479167856887009,0,-0.0240793246685006,0.0232460771588658,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0.0540829220266887,0.0444329544021215,0,0,0,0,0,0,0,0.221687555572491,-0.14037796561347,0,0,0,0,0,0,0,0,-0.0605496994940133,0,0,0,0,0,0,0.0108626810007979,0.0588309209500858,0,0.067633589168979,0,0,0,0,0.0400324329942039,0.0674295256327015,0,-0.0344249021576212,0.0790647089318851,0,-0.0123789899384604,-0.0189624068488876,0,0,0,0,0,0
X600276.SH,0,0,0,0.0597709544276163,0,0,0,0,0,0,0,0,0,0,0,0,0.125342454625031,0.0400510435259255,0,0,0,0,0,0,0,0,0,0,-0.153585246728291,-0.0453995216163909,0,0,0,0,0,0,-0.102366416276574,0,0.0188064332157577,0.0114237227161558,0,0.040496366829032,0,0,-0.0296085766768785,0.159076706406711,0,0,0,0,-0.0193600405967157,0.0189519429949274,0,-0.135489883411596,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0458928292245642,0.208819097106051,0,0,0,0.122331009320095,0.131845681338397,0,0,0,0,0.010538441454398,0.0109459552926593,0,0,0.00177562869154864,0,0,0,0.0253755525217023,0.0113767467252272,0.0946434238389721,2.16840434497101e-19,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0.123161897628318,0,0,0,0,0,0,0,0,0,0.00145600594858425,0,0,0,0,0.153669854582457,0,0,0.332921354751381,0,0,0,0,0,0,0,0,0,0,0,0.1629975396516,0.0326017291722372,0,0,0,0,0,0,0,0,0,0,0,0.0264303590677759,0.0669318408451918,0,0,0,0,0,-0.0383266569470639,0,0,0,0,0,0
