,X600519.SH,X600104.SH,X002415.SZ,X600276.SH,X000651.SZ,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X002475.SZ,X000338.SZ,X000568.SZ,X600703.SH,X300003.SZ,X600741.SH,X601877.SH,X600271.SH,X002236.SZ,X002008.SZ,X002007.SZ,X300124.SZ,X600487.SH,X000100.SZ,X000661.SZ,X600498.SH,X002179.SZ,X002456.SZ,X600867.SH,X600566.SH,X000625.SZ,X600809.SH,X300146.SZ,X300142.SZ,X000157.SZ,X000596.SZ,X600177.SH,X002294.SZ,X600372.SH,X002180.SZ,X600089.SH,X002506.SZ,X600066.SH,X600522.SH,X300136.SZ,X002241.SZ,X000977.SZ,X000050.SZ,X600699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.577026837842177,0.17787382147505,0,0,0.0446609873183544,0,-0.033059881325456,0,0,0,0,0,0,0,-0.072947326814933,0,0,0,0.0534594418900561,0,0,0,0,0,0.0348435666236994,0,0,0,-0.0178172725724474,-0.0252196157421222,0,0.150057210743237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00758968807311122,0,0,0,0,0,0,0
X600104.SH,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.0257908231209056,0,0,0,0.139545130118014,0.239286461543481,0,0,0.13133266845216,0,0,0,0,0,0.107918193540058,0.0865861960914932,0,0,0,0,0,0.0873724643581176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193717448779764,0,0,-0.00154099864648399,0,0.0614129088296118,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.000208614810250659,0,0.199299403972367,0,-0.0297181188901424,0,0,0,0.611325275537822,0.221768590176373,0,0,0.0732009798857813,0,-0.0260636900721987,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0619085867883302,0,0,0,0,0,0,0,0,0,0,0.122543712957736,0,0,0,0,0,0.075084454300651,0.0550626996331112,0
X600276.SH,0,0.0677877287891989,0.175136563404423,0,0,0,0,0,0,0,0,0,0,0,0,0.417262715463931,0,0,0,0.0184837856634489,0,0,0,0,0,0,0,0,0.0576307913684618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330276534989371,0,0,0,0,0.0100671766268105,0,0,0,0,0,0
X000651.SZ,0.205255124027095,0,0,0,0,0.103603634419336,0,0,0,0,0,0,0,0.219396342358358,0,0.0646900466274907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0733435593441863,0,0,0,0,0,0,0,0,0,0,-0.017340901306276,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.214014222188805,0,0.00574064894918653,0,0,0,0.0201115093520123,0.0382539243894902,0,0,0.0173886137782161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347815185548628,0,0,0,0.214351267097881,0,0,0,0,0,0,0.0548133080322021,0,0,0,0,0,0,0,0.00703680002477082,0.0498806034702435,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180197879489667,0,0,0,0,0,0,0,0,0,0,0,0.0129172963160028,0,0,0,0,0,0,0.402104388100661,0.0997633437459067,0,0,0.380273851673718,0,0,0,0,0,0,0,0,0,0,-0.0473934644828043,0,0,0.060555687727446,-0.00541344496222875,0.0475561753726637,0,0,0,0,0,0
X000725.SZ,0,0,0,0.0835410443649752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0848916627445751,0.149212829073773,0,0.260601799478898,0,0.0724736369299729,0,0.0491073970152864,0.0233996275838649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269261765147362,0,0,-0.0347974207724755,-0.0131498880789807,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,-1.38777878078145e-17,0.0652934812887787,0,0,0,0,0,0,0.197133285261396,0,0,0,0,0,0,0,0,0.162885752682903,0,0,0,-0.113015262120623,0,-0.0108981403332556,0,0,0.104793565203714,0,0,0,0,0,0,0,0,0,0,0,0.214333875592072,0,-0.0480317455744566,0,0.296482801387952,0,0,-0.094447010051857,-0.00623992660051311,-0.0533619606237674,0,0,0,0,0,0
X000063.SZ,0,0.0328277571562866,0.153019132477227,0,0,0,0,0,0,0,0,0.401452042085018,0,0,0,0,0,0,0,0,0,-0.0164602576709976,0,0.233559499520725,0,0,0.0769007852473211,0,0.141190080529432,0,0,0,0,-0.106273892254271,0,0,0,0,0,0,0.103049812729925,0,0,0,0,0,0,0,0,0,0,0.0383488469827266,-0.149156034427365,0,0,0,0,0,0
