,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X600690.SH,X000568.SZ,X600031.SH,X002475.SZ,X000338.SZ,X600741.SH,X000596.SZ,X601877.SH,X000661.SZ,X600703.SH,X600809.SH,X000100.SZ,X300003.SZ,X600271.SH,X002236.SZ,X002008.SZ,X300124.SZ,X002007.SZ,X000625.SZ,X000157.SZ,X300142.SZ,X600487.SH,X600177.SH,X002179.SZ,X002456.SZ,X300146.SZ,X600498.SH,X600066.SH,X002506.SZ,X002241.SZ,X000977.SZ,X600867.SH,X600522.SH,X600566.SH,X600089.SH,X000050.SZ,X600776.SH,X600183.SH,X600372.SH,X002371.SZ,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.177528676483129,0,0,0,0,0,0.124025486111579,0,0,0,0,4.33680868994202e-19,0,0,0.127784383188888,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0813964713680471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00495162486662074,-0.001874809200981,0,0,0,0.0171125121571787,0,0.00766625368219432,-0.0175503054084364,0,0,0,-0.0424065600136646,0,0
X000858.SZ,0,0,0,0,0,0,0.00234939451475567,0,0,0.193013927034649,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.327488970378841,0,0,0,0.1847712078093,0.0313858111996336,0,0,0,0,0.0878177972061993,0,0,0,0,0,0,0,0,0.0999941450527538,0.0358966660666222,0,0,0,0,0,0,0,0,0,0,0,-0.0146729980721,0.0584334892478515,0,0,0,0,0,0
X000651.SZ,0,0,0,0,-6.93889390390723e-18,0,0.0348234435588262,0,0,0.190771373158109,0,0.148449917146588,0,0.187847935313925,0.0480571589668967,0.0823254980052684,0,0.0568131243183607,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0275108320735686,0,0,0,-0.0296838326304639,0,0,0,0,0,0,-0.0110447717339939,0,0,0,0,-0.0877136146717172,0,0
X600104.SH,0,0,0,0,0,0,0,0.00403787384836196,0,0,0,0.0844758548312029,0,0.0742583610779601,0.160746158197107,0,0,0,0,0,0,0,0,0,0,0,0,0.185772052441458,0,0,0,0,0,0.0778259890941266,0,0,0.0200085145506219,0,0.068061441682157,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0.0094792754985477,0,0,0,0,0.059043537865761,0,0
X600276.SH,0,0,0.101648304569744,0.0681489767536019,0,0,0,0,0,0,0,0,-0.104293291849554,0,0,0,0,0.196091051903676,0.0449940478193005,0,0,0.552095380915213,0,-0.0160135864105352,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,-0.092029104604572,0,-0.0561895614926886,0,0.120161990386412,-3.46944695195361e-18,0,0.0735743319205459,0.0187969446488301,0,0,0,0,0,0.0706906854834709,-4.33680868994202e-19,0,0,0,0.00332993740423005,0,0
X002415.SZ,0,0,0.0858284363360936,0,0,0,0,0.0447768990998357,0,0,0,0.0266876629550196,0.0754173005860856,0,0.0653645188815104,0,0,0,0,0,0,0,0,0.290738174193709,0,0.0110196416554437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146235882559987,0,-0.0299545401612638,0,0,0,0,0,0,0
X002304.SZ,0,0.138146774209748,0.0365043543313832,0,0,0,0,0,0,0,0,0.0923747954635665,0.0682860175078258,0,0,0.0697366598011585,0,0,0,0.126730790570268,0,0,0,0,0,0.036036214915213,0.0544832827904838,0,0,0,0,0,0,0,0.0843085901392017,0,0,0,0,0.0162356039571536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160517301754465,0,0,0,0,0.0895341489504227,0,0,0,0.094115255576595,0,0,0.137882055816245,0,0,0,0,0.131705053051711,0,0.114234373890062,0,0,0,0,0,0,0,0.19223033940791,0,0,0,0,0,-0.0480189447568077,-0.100204505188876,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.140103803082277,0,0,0,0,0,0,0,0.237228198731723,0,0.0250481400428059,0,0,0,0,0,0,0,0,0,0.0106189492229564,0.0111335962726677,0,0,0.0775778007210452,0,0,0,0,0,0,0,0.230716793720026,0,0.101143032957613,0,0,0.098731967343628,0,-0.075547629740191,0,0,0,0,0.0144041937025385,0,0
X600690.SH,0,0.337785883220819,0.0690197318813394,0,0,0,0,-0.0126267075038625,0,0,0,0,0,0,0.106988505313488,0,0,0,-0.0459026748192811,0,0.0536544164202395,0,0,0.0649131482664247,0,0,0,0.0440849882118803,0,0,0,0.118976252498174,0,0.117389037165535,0,0,0,0,0,0,0,0,0,0,-0.0504073708649819,0,0,0,0,0,0,0,-0.0149682517415598,0,0,0,0,0,0
