,X600519.SH,X000858.SZ,X002415.SZ,X600690.SH,X600809.SH,X600276.SH,X002475.SZ,X000651.SZ,X000568.SZ,X003816.SZ,X002371.SZ,X600104.SH,X000725.SZ,X300124.SZ,X000338.SZ,X002304.SZ,X000625.SZ,X000063.SZ,X600031.SH,X000596.SZ,X002179.SZ,X300014.SZ,X000100.SZ,X600089.SH,X002463.SZ,X000157.SZ,X600703.SH,X002241.SZ,X600372.SH,X002028.SZ,X002236.SZ,X600066.SH,X000977.SZ,X000921.SZ,X600584.SH,X600183.SH,X600741.SH,X600522.SH,X002049.SZ,X601877.SH,X000661.SZ,X002129.SZ,X002223.SZ,X002180.SZ,X000800.SZ,X600487.SH,X600060.SH,X601799.SH,X002156.SZ,X600418.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.0915591477187387,-0.00957005837099216,0,0,0.320016569447051,0,0,0,0,0,0,0.0822276430322629,0,0,0,0,-0.135070568116813,0,0,0,0,0,-0.0217069065384632,0,0,0.0091888040124302,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,1.0842021724855e-19,0,0,-0.0261675292459916,0,0,0,0.0238321088980567,0.0436113578840984,0,0,-0.0162366653856787,-0.0185759684091977,-0.0206020730432811,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0037958604517993,0,0.480373124541908,-0.102362774859537,0,0,0.0525096124368939,0,-0.013388033741597,0.0368970402325386,-0.0293177753611813,0,0,0,0,0,0,0,0,-0.0172901699670303,0,0,0,0,0,0,0,0,0,0,0.140240702132035,0,0,0,0.0762578018181712,0,0,0,0,0,0,0,0.0505731727585711,0,0,-0.0185790201903619,-0.0319085719140993,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0592521906622213,-0.0298591951151925,0,0,-0.093877455050393,0,0,0,0,0,0,-0.0871950902340729,0,0,0,0,0.197132766613479,0,0,0,0,0,0,0,0,0,0,0,0,0.00931198577531691,0.174865427784355,0,0,0.0351946518990441,0,0,0,0,0,0,0,0.0612387909096007,0,0,0.103440491989423,0,0,0.00355818854396112,-0.0544548159480785,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.494895503377841,0,0,0,0,0.00344578505534408,0,0,0,0,0,0.00817811526561767,0,0,0,0,0,0,0,0,0,0,0,0,-0.0102424826986566,0,0.194383168344829,0,0,0,0.0543046625608657,0,0,0,0,0,-0.0759464736660672,0,0,0,0,0,-0.0635015991193121,0,0.0131035142940801,2.16840434497101e-19,-0.0896332661738182,0,0,0.122369853609074,0,0
X600809.SH,0,0,0,0,0,0,0.0178544735090537,0,0.135370451103118,0,0.00348233201716787,0,0,0,0,0,0,-0.0913637991939864,0,0.228253231002134,0,0.0183109460719305,8.67361737988404e-19,0,-0.020107570770115,-0.123180922969597,0,0,0,0,0,0.0495125755182001,0,0,0,0,0,0,0,0,0,0,0,0.0384611712056211,0,0,0,0,0,0,0,0,0,0,0,0,-0.00178123710399382,0,0
X600276.SH,0,0,0,-0.233631931354036,0,0,0,0,0,0,0.1042833305391,0,0,0,0,0,0,0,0,0,0,0.102843418684183,0,0,-0.0102537800730568,0,0,0,-0.204971191315363,0.101091085385941,0,0.0384207258727855,0,0,0,0,0,0.0955090175256917,0.0898905461226475,0,0,0.0824711152876285,0,0,0,0,0,0.426406240739055,-0.102824252972322,0,0,-0.0174744613072306,-0.00702623246708823,-0.0469238438484232,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0.140661848516794,0,0,0,0,0,0,0,0,0.0365733138048426,0,0,0,0.204698095071407,0,0,0.179898310498773,0,0,0,0,0,0,0,0.0438706494139922,0,0,0.132787359347378,0,0,0,0,0,0,0,0,0,0,0,0,0.018981674520148,0.0743599026275422,0,0.0921840983956835,0.0140735324917923,-0.027168317725851,0,0,0,0,0
X000651.SZ,0,0,0,0.0920915105442651,0,0,0,0,0,0,0,0,0,0,0,0,-0.0667933341632602,0,0,0,0,0,0,0.269572525764038,0,0.0282453177646614,0,0,0,0,0,0,0,0.0265042153247974,0,0,0,0,0,0,0,-0.0626910098397604,0,0,0,0,0.200767293752543,0,0,0,0,0,-0.0395474064178371,0.0562325507292787,0,0,-0.042758606634776,0,0
X000568.SZ,0,0.886199589001045,0,0,0,0,-0.0294891320334846,0,0,0,0,0,0,0,0,0,0.0525913477736348,0,0,0.282622974685838,0,0.0204153377490074,0,0,-0.042384276076658,0,0,0,0,0,0,0.00254212053428609,0,0,0,-0.0146085603303167,0,0,0,0,0,0,0,0,0,-0.182887900549555,0,0,0,-0.0796780157211448,0,0,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,-0.657043256495284,-0.00758906777905512,0,0,0,0,0,0,0,-0.0247814570317225,0,0,0,0,0,0,-0.0690152914774706,0,0,0,-0.0548962604271716,0,0,0,0,0.0325232566571746,0,0.147793671745413,0,0,-0.0954523668222322,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.162168285579044,0,0,0,0,-0.0199934919390487,0,0,0,0.000463659229139844,0,0
