,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X002304.SZ,X000651.SZ,X000568.SZ,X600809.SH,X600031.SH,X600690.SH,X600104.SH,X000725.SZ,X000661.SZ,X300014.SZ,X300124.SZ,X000063.SZ,X000596.SZ,X003816.SZ,X600703.SH,X000338.SZ,X002241.SZ,X000625.SZ,X000100.SZ,X002371.SZ,X600741.SH,X002179.SZ,X002049.SZ,X601877.SH,X000157.SZ,X002007.SZ,X002129.SZ,X002414.SZ,X600584.SH,X002236.SZ,X600183.SH,X300142.SZ,X000066.SZ,X000799.SZ,X601799.SH,X002074.SZ,X000800.SZ,X000547.SZ,X300003.SZ,X600779.SH,X002008.SZ,X600118.SH,X600372.SH,X002508.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.399475129910915,0,-0.228249323567773,0,-0.00473025509630292,0,0,0.0554593464388469,0,0,0,0,0,0,0,0,0,0,-0.0543335680724959,0,0,0,0,0,0,0,0.0414720845062725,0,0,0,-0.0189983933024843,0,0,0,0.0572092443592134,0,0,0,0,-0.00936228643748193,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0.00463035672944534,0.0380986662151158,0,0,0,-0.000227964097177039,0,0
X000858.SZ,0.229130668631907,0,0,0,0,0.0766518045193482,0,0.299421678151606,0.0735450942813234,0,0,0,0,0,0.00306454948497423,0.01887676755124,0,0,0,0,0,0,0.00120879415701175,0,0.00222259542165462,0,0,0.016787340569614,0,0,0.0253902597801759,0,0,0,0,0,0.0528721856800725,0.0138629408979244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00302738037293851,0,0
X600276.SH,0,0,0,0,0,0,0,0,-0.041568869459082,0,0,-0.0410823203437972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438272804811182,0,0.0702212870944282,0.213873163534445,0,0,0,0,0,0,-0.0213745699064508,0,0,0,0,0,0,0.045324311621131,0,0,0,0,0,0,0,0,0,0,-0.00462985264630099,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0884395751551443,0,0,-0.0927377988028578,0,0,0,0,0,0,-0.0478132870527662,0,0,0,0.00986296741342187,0.0357640722722893,0,0,0,-0.104003505639972,0,0.0690294597935538,0,0,0.119494193867197,0,0,0,0.119731501283067,0,0,0,0.100415304834434,0,0,0,0,0,8.67361737988404e-19,0,0,0.0134547531729653,-0.0118657477644029,0,0,0,-0.00642739238150862,0,0
X002475.SZ,0,0,0,0,0,0,0,-0.0436610981967726,0,0.0217788602207156,0,0,0,0,0,0,0,0.0963077847815957,0,0.0655536659377965,0,0.470259938514767,-0.01737665764562,0,0,-0.0493325428976378,-0.0753575309407335,-0.0729803715252058,0,0,0,0,0,0,0,0.116381894228046,0,0,0,0.0973364685305651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0.0383884169346029,0.262229827039455,0,0,-0.0794964246052929,0,0,0,0,0,0,0,0.0523394898724196,0,0,-0.0676240231858481,0,0.0589601718738249,0,0.189395755717699,0,0,0,0,0,0,0,0,0,0,0.0184513180570394,0.182467911924632,0,0,0,0,0.174879594990368,0.0858243384839776,0,0,-0.0485288183403193,0,0,0,0.00844633660669403,-0.0171478957597383,0,0,0,-0.00694703630403039,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0466024795818869,0,0,0.0658174481972925,0.103906506976784,0,-0.0387962964572962,0,0,0,0,0,0.0140293391810275,0,-0.0829699720467625,0,0,0,0,0.0153953825783221,0,0,0.210603653950022,0,0,0,0,0,0.0567025329673353,0.0230911587146985,0,0,0,0.108238436411298,0,0,0,0,0.0370142068037618,0.0498910156563588,0,0,0,0,0.00122059467096879,0,0,0,0,-0.0224831666121972,0,0
X000568.SZ,0,0.182522558634938,0,0,0,0.10134919951575,0,0,0.371124977925259,0.0470155812433558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0144896746216747,0,0,0,-0.0538646090409287,0,0,0,0,-0.0865842768270174,0.00453115623659708,0,-6.93889390390723e-18,0,0,0,0.090866243819194,0.11392498851187,0,0,0,0,0,0,0,0,0,0,0.000887135115472883,0,0
X600809.SH,0,0,0,0,0,0,0,0.110773885979252,0,0,0.0531608492898517,0.189786113898873,0,0,0,0,0,0,0,0,0,0,-0.163416326768763,0,-0.0782396926917949,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0294999706059535,0.156269387493444,0,0,-0.113172748977189,0,0,0,0,0,0.226215697332288,0,0,0.0137524236478467,0.0864713680207348,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0.168812454304214,0,0,0,0,0.0390977254256524,0,0,0,0,0,0,0,0,0.047788071032256,0,0,0,0,-0.109981900741703,0,0.381237932697723,0,0,0,0.0225672426871039,0,0,0,0,0.018228454370466,0.260665098306436,0,0,0,-0.0796001147578072,0.0507566739150529,0,0,0,0,0,0,-0.0018224741587835,0,0,0,0,0.00959743284798371,0,0
X600690.SH,0,0,0,0.174559846557495,0,0,0.466523250937769,0,0.228711362302588,0,0,0.0270854184835211,0,0,0,0,-0.078259653619283,0.0151605839777437,0,0,0,0.0237496375056023,0.0721912461527704,0,0,0,0,-0.00247774320805388,0,0,0,0,0,0,0,0,-0.0629067974079134,0,0,0,0,0,0,0,0.151015458119308,0,0,0,0.0446230473118864,0,0,0,0.0605664689127893,0,0,0,-0.00467692173065655,0,0
X600104.SH,0,0,0,0,0.18834768177679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219205195394616,0,0,0.353142656529323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0690863690462869,0,0,0,0,0.109597325658217,0,0,0,0,0,0,-0.0272433466238194,0,0,0,-0.0217972726263271,0,0
X000725.SZ,0,0,0,0,0.276885786739807,0,0,0,0,0,0,0,0,0,-0.0223549767399092,0,0,0,0,0,0,0.0502916716027207,0.0358978330726487,0.415485244969584,0.0680170770854407,0,0,0.0182942668282359,0.0590335374811361,0,0,0,0,0.0669366274011077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208736879701681,-0.0386843177814505,0,0,0,0.00301453951238951,0,0
X000661.SZ,0,0,0,0,0,0,0,0,0,0.160589948574648,0,-0.0928712628931941,0,0,0,0,0,0,0,0,0,0,0,0,-0.0484640391261312,0,0,0,-0.319052847977652,0,0.0464875289941659,0.120177652460807,0,0,0,0,0.343240556203676,0,0,0.0635330222052321,0,0,0.287713719872422,0,0.149832153606598,0,0,0,0,0,0,-0.042025526907338,0,0,0,0,0.00618126066556392,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0.050814004047545,0,0,0,0,0,0,0,0,0,0,0.0124592022463139,-0.0263955954338276,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0324899058395745,0.130696403018695,0.266040116911092,0,0.202448305376482,0,0.137922473002827,0,0,0.0754847385835198,-0.281386478241681,0,0,0.0400812660089704,0.000721316294198547,0,0,0,0,0,0
