,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X600276.SH,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X000568.SZ,X000338.SZ,X600741.SH,X600703.SH,X002475.SZ,X601877.SH,X600271.SH,X300003.SZ,X002236.SZ,X300124.SZ,X600809.SH,X000100.SZ,X002008.SZ,X600487.SH,X600498.SH,X000625.SZ,X002007.SZ,X000661.SZ,X600867.SH,X300142.SZ,X000596.SZ,X000157.SZ,X600566.SH,X002179.SZ,X002456.SZ,X300146.SZ,X600177.SH,X600066.SH,X600089.SH,X002506.SZ,X600372.SH,X600522.SH,X002180.SZ,X600699.SH,X002294.SZ,X002241.SZ,X300136.SZ,X000977.SZ,X600201.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.676227200637139,0.168624971540976,0,0,0.0903598169896023,0,0,0,0,0,-0.00885022656352265,0,0,0,-0.105872421353146,0,-8.67361737988404e-19,0,0,0.0812909881974879,0,0,0,0,0,-0.00654353335452179,0.0419437749909969,0,0,0,0,-0.00346093674274318,0,0,0,0,0,0,0,0,0.014111732654309,0,-0.0648249080983101,0,0,0,0.00928262146766513,0,0,0,0,0,0,0
X600104.SH,0,0,1.73472347597681e-18,0,0.213198621161958,0,0,0,0,0,0,0,0,0.254468015781683,0,0,0,0,0.0449012514916208,0.0883034434362988,0,0,0,0,0,0.154914330198636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35525271560688e-20,0,0,0,0,0.148244416246107,0,-0.093832218651702,-0.0117675689179065,0.03039300560684,0,0,0,0.056811631105072,0,0
X002415.SZ,0,0.0370582564587068,0,0,0,0,0.0246424769467241,0,0,0,0,0,0,0,0,0,0,0,0,0.527836453750705,0,0,-6.93889390390723e-18,0.476813280009679,0.0386389504218645,0,0.19240778250173,0,0,0,-0.137378429200285,0,0,0,0,0,0,0,0,0,0,0.00718965703660116,0,-0.074557241143521,0,0,0,0,0,0,0,-0.00105333723089248,0,0,0.0349595849179643,0,0.0641950235110894,0,0
X000651.SZ,0.0890898388654081,0.114836389287503,0,0,0,0.048267361856199,0.0848098631816669,0,0.315834676837524,0,0,0,0,0.111327669807817,0,0,0,-0.00822182754214989,0,0,0,0,0,0,0,0,0,0,0,0,0.066002869859778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0350189260731416,0,0,0,0.0023093283190011,0,0,0,0,0,0,0
X600276.SH,0,0.0582516270758402,0.0637767017700912,0,0,0,0,0,0,0,0,0,0,0,0,0.0442318395265467,0,0,0.326388557158834,0.0309167107534702,0,0.067717601870156,0,0,0,0,0,0,0,0.113848143967877,1.73472347597681e-18,0,0,0.114418703510822,0,0,0.0188158701398403,0,0,0,0,0,0,0.11029376665399,0,0,0,0,0,0.079843670437574,0,0.00732540439175979,0.0331128094688795,0,0,0,0,0,0
X000858.SZ,0.164684156228958,0,0,0,0,0,0.237191244252351,0,0,0,0,0,0,0.130419892669189,0,0,0,-0.0224797347623654,0,0,0,0.195919644884654,0,0,0,0,0,0,-0.0363307940199595,-0.0196802990649427,0,0.198597881159857,0,0,0,0,0.0157537256391347,0,0.0173657439507765,0,0,0,0,0,0,0,0,0,0,0,0,0.00395004249091873,0.0217468702654957,0,0,0,0,0,0
X002304.SZ,-1.73472347597681e-18,0,0,0,0,0.224175954057285,0,0,0,0,0,0.294539505752193,0,0,0,0,0,0,0.105423691982116,0,0,0.308056141131077,0,0,0,0,0,0,0,0,-0.0448832573735538,0.155900135927821,0,0,0,0,0,0,-0.0712240920669774,0,0,0,0,0,0,0,0,-0.0228387445201254,-0.0253661003606007,0,0.0478433337335532,0,0.0569077261538558,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,-0.0280178371322108,0,0,0.045283346960108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188827205701028,0,0,0,0,0,0,0,0.0794755116567551,0.0159837525888288,0,0.27729100135502,0,0,0,0,0,0,0,0.114869498672125,0.0368034130281352,0,0,0,0,0,0,-0.0234945857932204,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.0509836938358839,0,0,0,0,0,0,0,0.14426372013246,0,-0.0432058747293367,0,0,0,0,0.291608924633823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0685280159632217,0.100273263101525,0,0.217422731263631,0,0,0,0,0,0,0,0,-0.0437143494768499,0.299223828368172,0,0,0.000276723261285349,-0.0187319677008,0,0,0,-0.00719353442535054,0,0
X000063.SZ,0.00371702503686218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142854802086346,0,0,0,0.100555490383679,0.479056243080366,0,0,0,0,0.12624284706771,0,0,0,0,0.0931029193001746,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0.042560074029934,0,0,0,0.0313247130289898,-0.0302944136262083,0,0,0,0.179167669422752,0,0
