,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X600690.SH,X000063.SZ,X600031.SH,X600276.SH,X000100.SZ,X000338.SZ,X600741.SH,X600372.SH,X000157.SZ,X002241.SZ,X600703.SH,X600089.SH,X600066.SH,X600271.SH,X002236.SZ,X600118.SH,X601877.SH,X000581.SZ,X000550.SZ,X600177.SH,X002475.SZ,X000800.SZ,X600582.SH,X002129.SZ,X002294.SZ,X000568.SZ,X300124.SZ,X002292.SZ,X000623.SZ,X000559.SZ,X600060.SH,X300003.SZ,X000050.SZ,X000977.SZ,X000400.SZ,X002456.SZ,X300146.SZ,X000869.SZ,X600839.SH,X002465.SZ,X002038.SZ,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0.187719822513851,0,0,0.117017309502511,0,0.133952058864287,0,0.138902141021414,3.46944695195361e-18,0.334888848451107,0,0,0,0,0.133419781779009,0,-0.0143521126715676,0,0,0,0,0.00803130313008785,0.03105895572218,0,0,0,-0.0996928451070756,0,0,0,0,0.0103436648029322,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00876502788252954,0,0,0,0,0,0,0
X600519.SH,0,0,0,0,0,0,0.0882459744087893,0.0296925965692812,0.084245034288248,2.16840434497101e-19,0.11778071600862,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137680045766623,0.0264000035402714,0,0.0416996711974127,-0.0506904594990277,0,0,0,0,0,0,0,-1.6940658945086e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00634441246428602,0,0,0,0,0,0
X000651.SZ,0.0935909039512142,0,0,0,0.223285037319848,0.146521446996984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0649822783957732,0,0.00782800044998692,0,0,0,0,0,0,0,0,0,0,0.0759349115906726,0,0,0,0,0,0,0,0,0,0,0,0,0.0344705687470031,0,0.148936428459728,0,0,-0.0133552097861954,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.359879150422016,0,0,0,0,0,0,0.136138207077066,0,0,0,0,0,0,0,0.0386089660164539,0,0.195168758061892,0,0,0,0,-0.211672420768042,0,0.0974095251177662,0,0,0,0,0.173846897208724,0.0116549718545913,0,0,0.000643806407005775,0,0,0,0.116731549687088,0,0,0,0,0,0,0,0,0,-0.00189746509841553,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.135312893102828,0,0,0,0.199938956529755,0,0,0,0,0.000974331803494374,0,0.0923706637858542,0,0,0,0.11579639752589,0,0.0865214990743136,0,0,0,0.055351564843201,0.0894226715236646,0,0.0318349350736295,0,0,0,0,0,0,0,0,0,0.143152789548488,0.115225948112061,0,0,0,0,0.0125332095271783,0,0,0,0,0,0
X000625.SZ,0.13925884839146,0,0.167760676526527,0,0,0,0.13858018534731,0,0,0.202764265972342,0,0,0,0,0,0,0,0,-0.163453409547109,0,0,0,0,0,0,0,0.275800324866463,0,-0.0432232859302776,0,-0.0268490054064068,0,0.08965049036384,0,0,0,0,-0.0332006909075629,0,0,0.0295879406663173,0,0,0,0,0,0,0,0,0,0,0,0.016926616284438,0,0.0177804273560561,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0.459216673432604,0,0.0176302263844379,0,0.146270032654039,0,0,0,0,0,0,-0.0311116138872272,0,0.256003603158745,0,0,-0.0521572453455368,0,0,0.0315728299081171,6.93889390390723e-18,0,-0.0229009579052217,0,0,0,0,0,0,0,0,0.0322834318763299,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0180717398951499,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.174526361848526,0,0.0315051386053477,0,0.0754788789088781,0.091230925483688,0.233434791126445,0,0.0393383637474204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223843758440931,-0.0524631314718798,0,0,0,0,0.00764614693849462,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0.113484524051491,0,0,0,0,0,0,0.00946918884269487,0,0,0.25767986412957,0.150398473357049,0,0,0,0,0.00558377941135088,0,0,0,0,0,0,0.0514426752579255,0.0669325593519494,0.126794241972292,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10456491664259,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.064511209211683,0,0,0,0.134412778483705,0,0.10118323719603,0.0204807918135644,0,0,0.15641080583484,0,0.0531392531548018,0,0,0,0.0398384473128899,0,0,0.0758951579749981,0,0.0295599165883686,0,0,0,0,0,0,0.0546023905713633,0,0.0664863572721849,0,0,0,0,-0.104165301265329,0,0,0,0,0,0,0,0,0,0.0328070336149386,-0.00274569548560656,0,0,0,0,0,0
