,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X002304.SZ,X002475.SZ,X600690.SH,X600276.SH,X600104.SH,X000651.SZ,X300014.SZ,X300124.SZ,X002371.SZ,X600031.SH,X002129.SZ,X000725.SZ,X003816.SZ,X002241.SZ,X000596.SZ,X000625.SZ,X000063.SZ,X002049.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X601877.SH,X300142.SZ,X002074.SZ,X600741.SH,X000661.SZ,X002180.SZ,X600460.SH,X000733.SZ,X600522.SH,X000100.SZ,X600702.SH,X000799.SZ,X000157.SZ,X600884.SH,X002236.SZ,X600584.SH,X601799.SH,X000800.SZ,X600563.SH,X002176.SZ,X002414.SZ,X600372.SH,X600779.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0869275033155756,0,0,0.093824040228452,0.023171759056361,0,0,0,0,0,0,0.0918435285996447,0,0,0,0,0.140286060317234,0,0.208107250305412,0.00602112363856475,0.00723603263923738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00801517655970966,0,0.0247552394140348,0,0,0,0.0908591807879512,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.463101977488459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00599954169903875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299822465794653,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.220523543827363,0,0.00775440253030643,-0.0665556403696401,0,0,0,0,0,0
X600809.SH,0,0.20394560920559,0,0.0565191642046903,0.343745339033009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199378282209744,0,0.00188521805113847,0,0,0,0.138530564714596,0,0,0,0.0628935016073576,-0.082840550172344,0,0,0,0,0.0652930775064191,0,0.0903773636162774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00760973456608195,0,0,0,0,0,0
X002415.SZ,0,0,1.38777878078145e-17,0,0,0.0132282230467214,0,0,0,0,1.38777878078145e-17,0,0.0869167017076341,0,0,0,0,0,0.142836470673256,0,-0.220541702792254,0,0,0,0,0,0,0,0.132918978885024,0,0,0,0,0,0,0,0,0.24894523697695,0,0,0.0822212240985952,0.554344848458778,0,0,0,0,0,0,0,0,0,-0.0315750543788661,0.16408034583331,0,0,0,0,0,0
X000568.SZ,0,0.147603026087644,0.270432385638934,0,0,0.168888730362568,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.0994509690930213,0,0.247820866394616,0,0,0,0,0,0,0.023848975714356,0,0,0,0,0,0,-0.0230930608982299,0,0,0,0,0,0,0,-0.0507787249301632,0,0,0,0,-0.118245386889854,0,0,0,0.0495347376050383,0,0,0,0,0,0
X002304.SZ,0.0278269123278708,0,0.217186263294199,0.0364719517840733,0.0219178298317471,0,0,0,0,0,0.129679433181347,0,0.0602212130686581,-0.0288116108120602,0,0,0,0.325384987597324,0,0.0563922816278772,0,0.0998908840008034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0396814776696131,0.198622879240193,0,0,0,0,0,0,0,0,-0.0558089881149623,0,0,0,0,0,-0.0244020281684202,0,0,0,0,0,0
X002475.SZ,0,0,0,0.0502778977535115,0,0,0,0,0.0605182447602272,0,0,0,0,0.127116089856591,0,0,0,0,0.429480616296167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019206256179561,0,0,3.46944695195361e-18,0,0,0.0385009446828179,0,0,0,0,0,0,0,0,0,-0.000890005903255279,0.0278807312121427,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.267912208555803,0,0,0,0,0,0.234918722838161,0,0,0,0.0875395011368875,0,0,0,0,0,-0.109514397237537,0.0284176859103293,0,0,0,0,0,0,0.0462213079285401,0,0,0,0,0,-0.120235097103964,0,0,0,0,0,0,0,0.0886403788202863,0.0356058435905587,0,0,-0.0223642004966019,0.124295868232091,0,0,0,-0.0107708777468516,-0.075990072557101,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.120542381116251,0.0433124059040074,0,0,0,0,-0.0725481329216553,0,0,0,0,0,0,0,0.148586481065956,0,0,0,0,0.146030879819644,0,0,0,0.0257370643155297,0,0,0,0,0,0,0,0.213137614592259,0,0,0,0,0,-0.0239662642857588,0,0,0,0,0.223438033231122,0.0393828906484847,0,0,0.0227689667708172,0,0.211260083715266,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147559137862862,0,0,0.154147040860597,0,0,0,0,0,0,0,0,0,0.200344177718485,0,0.0216575461654148,0,0,0.0422078170629697,0,0,0,0,-1.73472347597681e-18,0,0,0.0092626265013824,0,0,0,0,0,0,0.0333398469579652,-0.00974682725926858,0.011328539753033,-0.0512502659841097,0,0,0,0,0
