,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000063.SZ,X000625.SZ,X600690.SH,X600031.SH,X600703.SH,X000100.SZ,X600271.SH,X000559.SZ,X600118.SH,X600066.SH,X000157.SZ,X600372.SH,X002236.SZ,X600089.SH,X002475.SZ,X600741.SH,X000338.SZ,X002292.SZ,X002241.SZ,X300124.SZ,X000568.SZ,X600839.SH,X002465.SZ,X600177.SH,X002294.SZ,X000977.SZ,X600867.SH,X002074.SZ,X000869.SZ,X600582.SH,X002129.SZ,X000800.SZ,X300003.SZ,X600498.SH,X000581.SZ,X600525.SH,X000550.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.138899019116403,0,0,0,0,0.0683063972911562,0,0,0,0,0,0,0,0,0,0,0.301956339435394,0,0,0,0.127113895847894,0,0,0,0.0566562323376223,0,0,0,0,0,0,0,0,0,-0.0342613868775932,0,0,0,0,0,0,0.041354579348433,0,0,0,0,0,0.023558932941679,0.0728848878131702,-0.0146431997120897,0,0,0,0
X600104.SH,0,0,0,0,-0.122938040625569,0,0,0.176877348125655,0,0.130815395922346,0,0,0,0,-0.0405232528589915,-0.0263269888606892,-0.0435222417611688,0.449703889493902,0,0,0,0,0.185250875877836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214368111985075,-0.0586797389196556,0,0,-0.026853731039647,0,0.0183292581077483,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.336933097366444,0,0,0,0,0,0,-0.144139813386501,0,0,0,0.013538849779353,0,0,0,0,0,0,-2.16840434497101e-19,0,0.0968912629639639,0.0116825063608185,0.147587664285503,0,0,0,0,0,0,0,0,0.19619618421018,0,0,0,0,0,0,0,0,0,0,0,0,-0.00494183786588419,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.152782171447994,0,0,0.0570883140021437,0,0,0.0406216869076503,0,0.220349332972355,0,0,0,0.14775621545101,0,0,0,0,0.0657071941158172,-0.0322963675675332,0,0,0,0.0131500814812862,0,0,0,0,0,0,0,0.184969663763406,0,0,0,0,-0.0480671079651119,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0968008396605197,0,0,0,0,0,0,0,0.0779529066390044,0,0,0,0.0257440086928312,0,0,0,0,0.0182287197009131,0,0,0.00705855173753342,0,0,0.356244487040904,0.193018117897276,0,0,0,0,0,0.0303143569216965,0,0,0,0,0,0.0418828694769225,0,0,0,0,0,0,0.00364254642279617,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.197314984480311,0,0,0.279387782990134,0,0,0,0,0,0,-0.0159756940011374,0,0,0,0.0674862106292123,0,-0.0746959070623487,0,0,0.0185200440275081,0,0,0,0,0.150548140781735,0,0,0,0,0,0,0,0,0,0,2.77555756156289e-17,0,0,0,0,0,0,0,3.46944695195361e-18,-0.0647562536708927,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.184471185515274,0,0,0,0,0,0,0,0,0,0,0,0.0920018369529837,0.0428930884168592,0,0,0.0285455031298042,0.162267893467141,0,0.264217134971819,0,0,0,0,0,0,0,0,0,0,0,-0.04470153931092,0,0,-0.159817432118722,0,0,0,0,0.102947833166828,0.104143611353032,0,0,0.0538589483975178,0,0,0,0,0,0,0
X002304.SZ,0,0.165720005216216,0,0,0,0,0,0,0,0,0.258590845877569,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0.105236948534648,0,0,0,0.223494253248298,0,0,0,0,0,-0.0109615556064056,0,0.00589493930283538,0,0,0,0,0,0,0,0,0,0,-0.222549797085314,0,0.0198277077366271,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0.0121889066896892,0,0,0,0,0,0,0,0.26114170961082,0.0247111062500788,0.00414311350547197,0,0,0,0.413910658104925,0,0,0,0.107184840748417,0,0,0,0,0.0501691259093917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0105997804964022,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0.0689087665093088,0,0,0,1.73472347597681e-18,0,0.039892977549664,0,0,0.081263383462712,0.0564740971600039,0,0,0.00552756970352195,0,0.0193840129499153,0,0,0,0.208651943219118,0.268527615562973,0,0,0,0,0,0,0.0361808033005193,0,0,0,0,0,0,0,0.0227394951362711,0,0,0,0,0,0,0,0.0145658455190456,-2.16840434497101e-19,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0.284067822060343,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.142716846789746,0.0508162693282208,0,0,0.171970192759897,0.0163770316142823,0,0,0,0,0,0.00411930026608063,0,0,0,0,0.0561002848596085,0,0,0.0128756187552084,0,0,0,0,-0.0354829779970227,0.0409585274390144,0,0,0,0,0,0
