,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600031.SH,X600690.SH,X000100.SZ,X600276.SH,X000338.SZ,X600372.SH,X000157.SZ,X600741.SH,X002241.SZ,X600703.SH,X600066.SH,X600089.SH,X600118.SH,X600271.SH,X000550.SZ,X601877.SH,X002236.SZ,X002475.SZ,X000581.SZ,X000800.SZ,X000623.SZ,X600582.SH,X000568.SZ,X600177.SH,X300124.SZ,X000559.SZ,X002129.SZ,X600060.SH,X000050.SZ,X002294.SZ,X000400.SZ,X000977.SZ,X300146.SZ,X600839.SH,X000869.SZ,X002465.SZ,X002456.SZ,X002292.SZ,X300003.SZ,X600312.SH,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0.172804176978563,0,0,0,0,0,0.152502252698752,0,0,0,0,0.303775772982815,0,0,0,0.0862835103179415,0,0,0.0112607680649266,0,0,0,0,0.0890287727243719,0.151749554236164,0,0,0,0,-0.0489423261904072,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600519.SH,0,0,0,0,0,-0.0309963836932751,0.0960042009709327,0.150875901511877,0,0,0.176083479172913,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117857339395059,0,-0.0126594282951054,0,-0.0888005589734155,0.00818479719476339,0,0.121178760847981,0,0,0,0,0.111942463347161,0,0,0,0,0,0,0,-0.0537283022485469,0,0,0,0,0,0,0,-0.0108227284249552,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.234060396486107,0.296685919947736,0.0824086919009169,0,0,0,0,0,0,0,0,0,0,0.0844463566846607,0,0,0,0,0.0329330627631246,0,0,0,0,0,0,0,0,0,0,0.168993738288728,0,0,0,0,0,0,0,0.134638276460514,0,0,0,0,0,0,0,0,0,-0.00303770875988791,-0.0145830742623791,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.245230092962798,0.0688574827977229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183654447932648,0,0.27307445657202,0.103909509965015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285036097237243,0,0,0,0,0,0,0,0,-0.00175922073116403,0.00245426192674932,-0.0345636530189736,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.184498179675146,0,0,0.0987133086515167,0.0475277771533507,0,0,0,0,0,0.072326623406291,0.0755828051851106,0,0,0,0,0,0.0611152580245967,0.0393389274125372,0,0.151045315440703,0.156720437620135,0,0,0,0,0,0,0,0,0,0.114547761285367,0,0.102876528160324,0,0,0,0,0,0,0,-0.0061489882529292,0,0.0592544842733511,0,0,0,0
X000625.SZ,0.2091082133647,0,0.221711510000566,0,-2.77555756156289e-17,0,0,0,0.068772100917034,0,0,0,0,0,-0.0738537206227576,0,0,0,-0.144147988092767,0,0,0,0,0.402532676825255,0,0,0,0,0,0.0893402794962108,0,0,0,0,-0.0352862855394272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015291649584474,0,0.290883161307114,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0.25799225027484,0.0575966659969263,0,0,0,0.133474988688747,0,0,0,0,0,0,0.237208332431772,0,-0.0824360261579484,0,0,0,0,0,0,0,0,0,0,0,0,0.06452851981803,0,0.0558892685587737,0,0,0,0,0,0,0.114648376861618,0,0,0,0,0,0,0,-0.00192326255933653,-0.0157045321372253,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0927000336751475,0,0.123721910608391,0.0165842923268247,0.0781087754142553,0.0909235666315795,0,0.235331711643117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512004068692994,0,0,0,0,-1.73472347597681e-18,0.00434606918777096,0,0,0,0,0,0.0015612559958494,0,0,0,0,0,0,0,-0.0036892651171239,-0.0184977776038953,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.107960445713065,0,0,0,0,0.128488529643945,0,0.0104536619564518,0,0.0228563636093582,0,0.0217554818431854,0,0,0.0172858999712584,0,0.130480679629118,0.0171490489652225,0,0,0,0,0,0.144751007779272,0,0,0,0.00183866864864369,0.174128700703249,0.0589402307585763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13827923954127,0,0,-0.00525249653080904,0,0,0,0,0,0
X600031.SH,0.158224971483055,0,0,0,0,-0.10629673775959,0.0333259248397709,0,0.0044643989375092,0,0,0,0,0,0,0.910306930315971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046634982149042,0,0,0,0,0,0,0,0,0,0,0,-0.0310139602939796,-0.00673121403061114,0,0,0,0,0,0
