,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X002415.SZ,X600276.SH,X002304.SZ,X000063.SZ,X000725.SZ,X600690.SH,X002475.SZ,X000338.SZ,X000568.SZ,X600031.SH,X600741.SH,X601877.SH,X000596.SZ,X600703.SH,X600271.SH,X002236.SZ,X000100.SZ,X000661.SZ,X600809.SH,X300003.SZ,X300124.SZ,X000625.SZ,X002008.SZ,X600487.SH,X300142.SZ,X002007.SZ,X000157.SZ,X600498.SH,X600776.SH,X002456.SZ,X002506.SZ,X000977.SZ,X600066.SH,X600522.SH,X000050.SZ,X600867.SH,X600177.SH,X002241.SZ,X002179.SZ,X002129.SZ,X600089.SH,X600372.SH,X002371.SZ,X002180.SZ,X300146.SZ,X600118.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.250708934335719,0,0,0,0.0851398276747868,0,0,0,0,0,0,0,0,0,0,0.102169007517542,0,0,0,0,0,0.0389651887966374,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,-0.0182449411077955,0,0,0,-0.00360219703476275,0,0,0,0,0,0,0,0,0,0,0,0.00934194203429618,0,0,0,0,4.33680868994202e-19,0,0
X000858.SZ,0,0,0,0,0,0,0.0835056940534373,0,0,0.344937019381258,0,0.253030101954675,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.13469347859963,0,0,-0.0440819470423675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0762161240510748,0,0,0,0,0,0,0.0777624641346622,0,0,-0.0242380085988724,0.0647698915731546,0,0,0,-0.00534257907421728,0,0
X000651.SZ,0,0,0,0.167040872170704,0,0.139598813713309,0,0,0,0.251659210258386,0,0,0,0.106815984950351,0,0,0.0977190034207867,0,0,0.0364352138109039,0,0.00152541706504318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138810082712361,0,0,0,0,-0.100881702096881,0,0
X600104.SH,0,0,0.022502377016145,0,0,0,0,0.0680232473247605,0,0,0.0638101660244093,0.143229903118719,0,0,0.244929143243928,0,0,0,0,0.0964465285320226,0,0.00449449262216308,0,0,0,0.106476434514905,0,0,0,0,0,0,0,0,0,0,0.0251248142860075,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0618932368792381,0,0,0,0.00360458158933734,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.0210071423053855,0,0.0147860618907332,0,0,0,0.146505652853619,0,0,0,0,0.221831027751292,0,0,0,0.0198273029355924,0,0,0.0667764562273388,0,0,0,0,0.047940756713244,0,0,0,0,0,0,0,0,0,0.0765373757336636,0,0.0478326261670491,0,0,0,0,0,0,0,-0.0197329570731126,0,0,0,0,0.00451274720608354,0,0
X600276.SH,0,0,0.254096004380508,0,0,0,0,0,0,0,-0.343414216509722,0,0,0,0,0,0,0.239770421337023,0,0,0,0.117050209179812,0,0.505626440088994,-0.0268391507621838,0,0,0,0,0,0,0,0,0,-0.0807208698634146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294779933662188,0.0226650477809219,0,0,0,0,0,0
X002304.SZ,0,0.106347265799881,0.153982122953738,0,0,0,0,0,0,0,0,0,0.0328213902418483,0.0805320504393795,0,0,0.189880596394698,0,0,0,0,0,0.108998673128726,0,0,0,0,0,0.00373980592376676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130983272546206,0,0,0.00350181490788944,-0.0187142109856197,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0.0704314800183633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751807015922438,0.151015057154929,0,0,0,0,0,0,0.0284461322717193,0,0,0,0,0,0,0.0441283900192123,0,0,0,-0.0513298150218884,0,-0.0600698344208666,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0.075582778125748,0,0,0.217821990516003,0,0,0,0,0,0,0,0.0752875712466471,0,0.18586259100813,0,0,0,0,0,0,0,0,0,0,0,0.0123771361545471,0.0208354274779115,0,0,0.0675335108295206,0,0.119117665191673,0,0,0,0.0248235039855271,0.158322612711618,0,0,0,0,0,0,0,-0.0562514634081692,0.0270587361613045,0,0,0,0.0677359287854588,0,0
X600690.SH,0,0.191033092491366,0.0214197710396832,0,0,0,0,0,0,0,0,0.111531541794585,0,0,0.159612711596723,0,0,-0.0975578072840337,0,0.130832161257082,0,0,0,0,0.054390061984897,0,0,0,0,0,0,0,0,0.156592240724507,0,0.0238889526288991,0,0,-0.0257289318289717,0,0,0,0,0,0,0,0,0,0,0,0,-0.00215761509275467,-0.0604911360338648,0,0,0,-0.01446065170898,0,0
