,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X002304.SZ,X600276.SH,X600690.SH,X002475.SZ,X000651.SZ,X300124.SZ,X300014.SZ,X600104.SH,X000596.SZ,X600031.SH,X003816.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X002371.SZ,X002129.SZ,X002049.SZ,X000338.SZ,X600703.SH,X002179.SZ,X600089.SH,X002180.SZ,X000661.SZ,X300142.SZ,X000100.SZ,X002241.SZ,X601877.SH,X000733.SZ,X600741.SH,X600702.SH,X002074.SZ,X600522.SH,X000157.SZ,X000799.SZ,X600460.SH,X600779.SH,X600584.SH,X300003.SZ,X600884.SH,X300146.SZ,X002007.SZ,X601799.SH,X000800.SZ,X002236.SZ,X002294.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.164917184459138,0.131910420438882,0,0.168308085034872,0,0,0,0,0,0,0.142041237094153,0,0,0,0,0,0,0,0,0,-0.00551358254192324,0,0,0,0,0,0,0,0,0,0,-0.12412436625971,0,0.0694494767689889,0,0,0,0.00277158548483375,0,0.079347833272218,0,0,0,0,0,0,0,0,0,0,-0.0249385631700968,0,0,0,0,0,0,0
X000858.SZ,0,0,0.0383712446969545,0,0.473656760298285,0.113279199725504,0,0,0,0.0791652727145781,0,-0.032189604001919,0,0,0.0544496423072458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0145583729356881,0,-0.0016179354081341,0,0,0,0,0,0,0,0,0,0,0,0.048681839930265,0,0,0.106884611226073,0,0,0,-0.0182433653492053,-0.0104907125243708,0,0,0,0,0,0
X600809.SH,0.365111776869521,0,0,0,0.395563779537397,0,0,0,0,0,0,0.0166375762502241,0,0.0102192123533032,0.0352207973773985,0,0,0,0,0,0,-0.09832467028251,0,0,0,0,0,0,0.0020759771781384,0,0,0,-0.0515785982843003,0,0.0228649644131622,0,0,0,0.106293439895276,-0.0424621741277759,0.0938090995149118,0,0,0,0,0,0,-0.0349270559318456,0,0,0,0.00957927580151538,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00209211385214756,0,0,0,0,0,0,0.120857213983641,0,0,0,0,0,0,0,0.0584422037307305,0.0589280795227459,0,0,0,0.0300883302044473,0.0186737759675765,0.139252710379077,0.120949164868683,0,0.0980564089297476,0.121045806080204,0,-0.00365766537532222,-0.0289496818777454,0,0,0,0,0,0
X000568.SZ,0.563414235761071,0.114544252494706,0.404444000312189,0,0,0,0,0,0,0,0,0,0,0.283568262506234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018617593540181,0.0346246046572167,0,0,0,0,0.0678612932544967,0,2.77555756156289e-17,0,0,0,-0.0672719688311516,0,0,0,0,0,0,0,0,-0.00583288544018289,0.0559856646872878,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.473640421070512,0,0,0,0.150933041402384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0330897142848823,0,0,0,0,0,0.0118746734907757,0,-0.0860166367377794,0,0,0,0,0,0,0,0.133088049510088,0,0.0223805784765169,0,0,0,0,-0.00803755659376491,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245415337761287,0,0,0,-0.224341823971367,0,0.27281589567887,-0.0284535057453006,0,-0.129700101360317,0,0,0,0.0601824269615091,0,0.0340636430344617,0,0,0.00416795452130105,0,0,0.0710436365602013,0.132642449769913,0,0,0.0186114071902938,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.256183358708966,0,0,0,0.11404650832951,0.183484683151287,0,-0.116443111118842,0,0,0.192993030343219,0,0,0,0,0,-6.93889390390723e-18,-0.00519715258721482,0.0552181763787517,0,0,0,-0.0167201441305467,0,0,0,0,0,0,0,-0.0193308924611077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024671758241608,-0.0143153204717973,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0825105101020425,0,0,1.73472347597681e-18,0,0,0,0,0.197571457181083,0.0816357680489272,0,0,0.0117725276016117,0,0,0,0,0.0153106529015893,0.0434651533244988,0.155497107914792,0,0,0,0,0.0417440508414752,0,0,0,0,0.00167664101991737,0,0,0,0,0,0.0347658585342414,0,0,0,0,-0.00765815592448039,-0.00430204254031146,0,0,0,0,0,0
X000651.SZ,0,0.0372896178185053,-0.0606292415486422,0,0,0,0,0.177203391942873,0,0,0,-0.083636625978843,0,0,0.246210305018594,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.0542943841465592,0,0,-0.145962500640248,0,0.107047241710109,-0.0466325323023137,0,0,0,0,0,0,0,0,0,0.0948567756202354,0,0,0,0,0,-0.0201369834818899,0.0118323395452127,0,0,0,0,0,0
