,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600690.SH,X600276.SH,X000568.SZ,X002475.SZ,X000651.SZ,X003816.SZ,X600104.SH,X002371.SZ,X300124.SZ,X000725.SZ,X000338.SZ,X002304.SZ,X600031.SH,X000625.SZ,X000596.SZ,X000063.SZ,X000100.SZ,X300014.SZ,X600089.SH,X002179.SZ,X000157.SZ,X600703.SH,X002463.SZ,X002241.SZ,X600372.SH,X000921.SZ,X002028.SZ,X600066.SH,X002236.SZ,X000977.SZ,X600522.SH,X600741.SH,X002049.SZ,X600183.SH,X601877.SH,X600584.SH,X002129.SZ,X000661.SZ,X002223.SZ,X000800.SZ,X002180.SZ,X600487.SH,X600177.SH,X002074.SZ,X002156.SZ,X600418.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.282896024618796,0,0,0,0,0,0,0,0,0.0271509801660465,0,0,0,0,0,0.0165063964387688,0,0,0,0,0,0,0,0,0,0,0,0.0229291564851544,0,0,0,0,0,0,0.0220077588674155,0,0,0,-0.0235706026285256,0,0,0.00454763657967476,0.0231291371469969,0,0,0,5.42101086242752e-20,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.425281989196047,0.0154206285470042,0,0,0,0,0,0,0,0.23150919920869,0,0,0,0,0,0,0,0,-0.00603476896271598,0,0.0494781898739775,0,0,0,-0.0355620625873985,0,0,0,0,0,0.00895014282502223,0.00119787212426962,0,0,0,0.0607749800858128,0,0,0,0,0,0.0234011433371189,0.0348228747936485,0,0,0,-0.0140193611218758,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0184799979934246,0.0787119080056413,0,0,0,0,0,0,0,0.208255734226795,0,-0.0154147377022072,0,0,0,0,-0.0169153855565047,0,0,0,0,0,0,0,0,0,0.143995454380611,0.0160148186068406,-0.0520014559774559,0,0.107972077418595,0,0,0.00801049661922314,0,0,0,0.124073447521106,0,0,0,0,-0.0117449117937536,0,0,0.0352584306656651,-0.0256385546934988,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0.10544425036041,0,0,0,0,0,0.0257749653162877,0,0,0,0,0,0.274580560479865,-0.103151459142088,0,0.0205599943441676,0,0,-0.169803455937305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0207893031846146,0,0,0,0,0.114875020365785,0,0,0,0,0,0,0,0.00651200812159707,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0.235370604673229,0,0,0,0,0.0797493602478302,0,0,0,0,0,0,0,0,0,0,0,0,-0.0586247179595396,0,0,0.359700906877644,0,-0.0840075692713784,0,0,0,0,0,0,-0.00900223572708744,0,0,0,0,0,-0.0198938899827841,0,0,0,0,0,0,-0.0158610725750323,0.000821125727799728,-0.111413773667586,0,0,0.0913774563879143,0,0
X600276.SH,0,0,0,0,-0.230517819131054,0,0,0,0,0,0,0.114268752659116,0,0,0,0,0,0,0,0,0.143969805044519,0.0787969513615881,0,0.200325278489476,0,0,0,0,-0.204119849251651,0,0.174686259347042,0,0,0,0.179351602028972,0,0,0,0,0.0837995571116824,0,0,0,0,0,0,0,0,0,-0.0272194178513026,0,0.0627913631449761,-0.0344312331117902,-0.0869353168849288,0,0,0,0,0
X000568.SZ,0,0.975053854874414,0,6.7762635780344e-21,0.0481517800134353,0,0,-0.00829647931349165,0,0,0,0,0,0,0,0,0,0,0.0901107053175744,0,0,0,0,0,0,0,-0.043460372242194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.167978642155224,0,0.121534469795309,0,-0.0358997546105912,0,-0.00499466464844135,0,0,0,0,0,0,0
X002475.SZ,0,0,0.0769512302738668,0,0,0,0,0,0,0,0,0.000171039432292101,0,0,0,0,0,0,0,0,0,0.0139288413804592,0,0,0,0,0,0.290302485906687,0,0,0,0,0.013933296641776,0,0,0,0,0.223138321739565,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.0690345074614696,0.0876783159842067,0,0.0573396114760104,0.0486612400187969,-0.0242299199879596,0,0,0,0,0
X000651.SZ,0,0,0,0,0.193744866937808,0,0.111319949688331,0,0,0,0,0,0.112495230918637,0,0,0,0,-0.171177111076237,0,0,0.110078504286328,0,0.248773834921428,0,0.136853304761378,0,-6.93889390390723e-18,-0.019085890618405,0,0.117863515128172,0,0,0,0,0,0,0,0,-0.0741611418572067,0,-0.0623682176682179,0,0,0,0,0,0,-6.93889390390723e-18,-0.0176775949414188,0,0,0,-0.0280625007776241,0.0570438467906726,0,0,0,0,0
X003816.SZ,0,0,0,-0.403460870322681,0,0,-0.0444722705846754,0,0,0,0,0,0,0,0.0422817287133812,-0.295517129196378,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.0271093864778077,0,0,0.016379789963242,0.0645706280470473,0,0,0,0,0.0946099844385793,0,0,0,0,0,0,0,0,0,0,0.0531363856252183,-0.0540292769093965,0,0,0,-0.0348806059836216,0,0,0,0,0,0
