,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X002304.SZ,X600690.SH,X000651.SZ,X600104.SH,X000725.SZ,X600031.SH,X300124.SZ,X300014.SZ,X002241.SZ,X002371.SZ,X002129.SZ,X003816.SZ,X000063.SZ,X000338.SZ,X600703.SH,X002049.SZ,X000596.SZ,X000625.SZ,X601877.SH,X002179.SZ,X000100.SZ,X600741.SH,X300142.SZ,X600460.SH,X600089.SH,X000661.SZ,X002074.SZ,X002180.SZ,X600702.SH,X600522.SH,X000157.SZ,X600884.SH,X000733.SZ,X002236.SZ,X000799.SZ,X002008.SZ,X002414.SZ,X000977.SZ,X600584.SH,X600779.SH,X002007.SZ,X600563.SH,X600183.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.517672873905905,0,0,0,0,0,0.120413847526481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0893694626811528,0,0,0,0,0,0,0,0,0,0,0,0.0707147449069774,0,0,0,0,0,0,0,0,0,0,0.0108724299671724,0,-0.0165571767982209,0,0,0,-0.00833682111913969,0,0,0,0.0157336210135028,0,0
X000858.SZ,0.147509631689709,0,0,0,0.14893349708214,0.0218436637351235,0,0.0970119002159422,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046762393939681,0,0,0,0,0,0,0,0,0,-0.0241337178156082,0,0,0.0698271787375299,0.0961511027454909,0,0,0,0,0,0.0950072631650591,0,0,0.00615798662133984,0,0,0,0,0,0,0.0044053222912933,0,0,0,0,0,0,0
X002415.SZ,0,0.109460868183872,0,0.0106434723931354,0,0.107446189441944,0,0,0,0,0,0,-0.0337072429023262,0,-0.0734949910552793,0,0.154367166674275,0,0,0,0,0,0.0148515736404848,0,0,0,0,0,0,0,0,-0.141289838938953,0,0,0,-0.152937373429392,0,0,0.146211951896479,0.141373366496983,0.0515815793897648,0,0,0,0,0,0,0,-0.0339021375684084,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0.132099838042919,0,0,0.0347145669343136,0,0,0,0,0,0,0,0,0.0145893720340492,0,0,0,-0.237289898462932,0,0.0958417763762363,0,0,0,-0.154351635289702,0,0,-0.179449010537888,0,0,0,-0.0566599268909521,0,0.0638747275980552,0,0,0,0,0,0.295352367583902,0,0,0,0,0.0609689913904971,0,0,0,0.0892925632471328,0.00765097335297308,0,0,0,0,0,0,0
X000568.SZ,0.524761622176105,0.00273603291326154,0,0,0,0.0551353922542665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207891206209175,0,0,0,0,0,0.0625249656627414,0,-0.0374095611012476,0.0795869666181153,0.00384130491491594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032186968591206,0,0,0,0,0,0,0
X002475.SZ,0.0532503587067407,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0447792285184419,0.245112923816639,0.340945672315386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.041302739515989,-0.0225048114623113,0,0,0,-0.142095337068849,0,0,0,0,0,0.105815448765683,0.0159368385446165,0,0,0,0,0,0,-0.0379590847533191,-3.46944695195361e-18,0,0,0,0,0,0
X600276.SH,0.0088883571946302,0,0.0270413566850506,0,0,0,0,0,0.225400996128922,0,0,0,0,0,-0.03774465601236,0,0,0,0,0.372438223755325,0,0,0,0,0,0,0,0,-0.0918998650221814,0,0,0,0.0179820970308028,0,0.11963304028869,0,0.0332112003632488,0,0,0,0,0,0,0.0125293997768272,0,0,0,0,0,0,0,0,-0.00456776909333227,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.0222501503339033,0,0,0.0141812190205196,0,0,0,0,0,0,0,0.10063306433263,0,0,0,0,0,0.0993262708565242,0.206079627923504,0,0,0,0,0,0,0,0,-0.0308947257038678,0,0,0,-0.00949739610054075,0,0,0,0,0,0,0,0,0,0,0,-0.0832483766367128,0,0,0,0.00950106405525125,0,0,0,0,0,0
X600690.SH,0,0.263290807848905,0,0,0,0,0.21373731981108,0,0,0,0,0,0.0704076927046363,0,0,0,0,0,0,0,0.163875375138494,0,0,0,0,0,0,0,0,0,0,0,0,0.143408263773626,0,0,0.0588020565763087,0,0,0,0,0,0,0,0,0,0.00488522224653721,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0241750023241279,0,0,0,0,0,0,0,0.0599124878451606,0.189418787108769,-0.0634177768661936,0,0,0,0,0.239980651746497,0.031254485411549,0,0,0.0311838643881455,0,-0.0933497272926764,0,0,0,0,0.010958042757486,0,0,0,0,0,-0.0604761065615028,0,0,0,0,0,0,0,0.00595738417045359,0,0,0,0,0,0,0,-0.00602015234566674,0,0,0,0,0,0
