,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X600690.SH,X002304.SZ,X300014.SZ,X600104.SH,X000651.SZ,X600031.SH,X002241.SZ,X000725.SZ,X002371.SZ,X300124.SZ,X000338.SZ,X600703.SH,X000063.SZ,X003816.SZ,X000596.SZ,X002129.SZ,X000625.SZ,X002049.SZ,X000661.SZ,X601877.SH,X002179.SZ,X300142.SZ,X002074.SZ,X600089.SH,X000100.SZ,X600741.SH,X600460.SH,X600702.SH,X002236.SZ,X000799.SZ,X000157.SZ,X600779.SH,X600522.SH,X601799.SH,X002180.SZ,X000733.SZ,X002414.SZ,X600884.SH,X600584.SH,X002008.SZ,X600183.SH,X002007.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.46985294124289,0,0,0.0409787737658871,0,0,0,0,0,0,0,0,0,-0.143535918075423,0,0,0,0,0,0,0.0320283731439991,0,0,0,0,0,0,0,0,0,0,0,0,0.0528616715540373,0,0.0345291674307922,0,0,-0.00643521829604468,0,0,0,0,0.00475218187549463,0,0,0,0,0,0,0,-0.00481272577857993,0,0,0,0,0,0
X000858.SZ,0,0,0,0.362548591193885,0.0464715426198238,0,0,0,0,0.111017282029517,0,0,0,0,0,0,0,0,0.0429833716546562,0,-0.0101437846739126,0,0,0,0,0.300320483612821,0,0,0,0,0.0261918052009045,0,0,0,0.0399660861866589,0,0,0,0.123773956050198,-0.0381836720373388,0,0,0,0,0,0,0,0,0,0,0,-0.0255447832127788,0.0234089385101555,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.0638820397028616,0.272774323684279,0,0,0,0,0,0,0,-0.0139745508847843,0.0252397168294908,0,0,0,0,0,0,0,-0.0731593704952067,0,0,0,0,-0.0181955584009743,0,0,0,-0.0696115504551858,0.241512633512927,0,0,0,0,0,0,0,0.0638608355283189,0.026517743895943,0,0,0,0,0,0,0.0241780965431258,0,0,0,0,0,0,0
X600809.SH,0,0.113354512670933,0,0,0,0,0,0,0.0231804739371267,-0.107570787861776,0,0,0,-0.0517783191771785,0,0,0,-0.176417993686343,0,0,-0.150176790724155,0,0,0,0,0,0,-0.322350849234835,0,0,0.0187456878894998,-0.0853100604105216,0,0.275853659614927,0,0,0.626767994010406,0,0.0516425463135018,0,0,0,0,0,0,0,0,0,0,0,0,0.0111663862594458,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0.11879856183073,0,0,-0.110220668831518,0,0,0,0,0,0,0.0336170350048995,0,0,0.0695332875245228,0,0,0,0,0.445115279977284,0,0,-0.0667297180895409,0.139741661461633,0,0,-0.000929214307453154,0,0,0,0,0,0,0,0,0,0.123175435832301,-0.114620839862765,0,-0.0105033774620406,0,-0.150112065528491,0,0,0,0,0.102380344031346,0,0,0,0.0275838372940044,0,0,0,0,0,0
X002475.SZ,0,0.107561465850011,0,0,0,0,0.134108192771616,0,0,0,0,0,0,0,0,0.0510780274999768,0.197233311947372,0,0,0,0,0,0,0,0,0.0366862058559264,0,0,0,-0.0458736596202882,0,0.109026275237194,0,0,0.00586837107137414,0,0,0,0,0.0249828779566309,0,0,0,0,0,0,0,0,0,0,0,0.0157769166060835,0,0,0,0,0,0,0
X600276.SH,0,0,0.0987859706470684,0,0,0.0422320730898118,0,0,0,-0.0637021012003394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123156515429042,0.0290126893788366,0.126093889645711,-0.212118725259223,0,0,0,0.0696014400579911,0,0,0,0,0,0,0,0.013208582093546,0,0,0,0,-0.0822287408244764,0,-0.0879166085581778,0,0.232067049489168,0,0,-0.0135912547422408,0.0165937890951503,0,0,0,0,0,0
X600690.SH,0,0.000126046792347083,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.0159192462175242,0,0,0,0,0,0,0,-0.0780462411299642,0.0229301323071542,0,0,0,0,0,0,0,0,0.0280524655683131,0.30384077832522,0,-0.131213611542018,0,0,0,0,0,0,0,0,0,0,-0.0340740373839881,0,0,0.0570313622287594,0,0,0,0.00765148069090757,0,0,0,0,0,0,0
X002304.SZ,0,0.258135715197699,0.0329977208000449,0.140451875292533,0,0,0,0.249178478990568,0,0,0,0,-0.157716352451957,0,0,0,0,0,0.0591749336905341,0,-0.115566471317823,0,0,0.0120718219363481,0,0,0,0,0.0435161564658278,0,0,0,0,0,0,0.0985243218000149,0,0,0.101068522131012,-0.0767301667947666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X300014.SZ,0,0,-0.453162507307788,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112226644887091,0,0,0,0,0,0,0.0455403137165466,0.078623948628365,0.0189172086918164,0,0,0.0693608864555505,0.0806066356944198,0,0,0,0,0,-0.0136851529683988,0,0,0,0,0.00473383905776256,0,0,0,0,0,0,0,0,0,0,-0.0417254380690581,0.130506797357631,0,0,0,0,0,0
