,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X600690.SH,X002475.SZ,X000651.SZ,X003816.SZ,X600104.SH,X300124.SZ,X002304.SZ,X000725.SZ,X000625.SZ,X000338.SZ,X002371.SZ,X600031.SH,X000063.SZ,X000596.SZ,X000100.SZ,X300014.SZ,X600089.SH,X002179.SZ,X000157.SZ,X600703.SH,X002129.SZ,X002241.SZ,X600372.SH,X002236.SZ,X600741.SH,X002049.SZ,X000661.SZ,X000977.SZ,X600584.SH,X601877.SH,X600522.SH,X002463.SZ,X002028.SZ,X000800.SZ,X601799.SH,X600183.SH,X600066.SH,X000921.SZ,X002007.SZ,X600460.SH,X002074.SZ,X002223.SZ,X600177.SH,X002294.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0227825690936783,0.353000072224224,0.152450757588898,0,0.0107176661296548,0,0,0,0,0,0,0.0230788326468355,0,0,0,0,0,0,0.0107220622269965,0,0,0,0,0.015014640515786,0,0,0,0,0,0,0,0,0,0,0,0,0.0976892002036559,0.0807180811063617,0,0,0,0,0,0,0,0,0,0,0,-0.0192014649332244,0,0,0,0,0,0
X000858.SZ,0.0343238016829876,0,0,0,0.0205379974563152,0.361198360785354,0.191469167103733,0,0,0,0,0,0,0,0,0,0,0,0.0304021123670714,0.0326310023821816,0.0188543888826139,0,0,-0.00433186105458504,0,0,0.0664298518302017,0,0,0,0,0,0,0.0421142391703349,0,0,0.0261455573767455,0,-0.101498404702531,0,0,0,-0.0582775617104599,0,0,0,0,0,0,0,0.0242492769190102,-0.00419812949259656,0.00303607347950544,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.248646745909387,-1.73472347597681e-18,0,-0.0123183395657579,0,0,0,0,0.190451408138779,0,0.12150804655636,0,0.102542169838384,0,0,0,0,0,0.0601455301909348,0,0,0,0.0338586024733662,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,-0.0304570837611009,0.0259817441343727,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,-0.0379740331413027,0,0,0,0,0,0,0.159549414623032,0,0,0,0,0,0,0,0,0,0,0,0,0.0436910150828595,0,0,0,0.394633941952606,-0.0720282305339933,0,0,0.0663041078782729,0.06780058651733,0,0,0,0,0.124793091927887,0,0.0635490277520027,0,0,0,0,0,0,-0.0123535095228673,-0.00501855267659582,0.0578538155690645,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.40908928090338,0,0,0,0,0,0,0,0,-0.0017134274784659,0,0,0,0,0.427987964708701,0.107333020894831,0.0909716540482636,0,0,0,0,0.0625614782634756,0,0,0,0,0,0,0,0,0,0,0,0,-0.0539519638037747,0.0572010733835853,-0.171628476513559,0,0,0,0,0,0,0,0,0,-0.0181846022770753,0,0.0900089919434414,0,0,-0.0431076436102067,0,0
X000568.SZ,0.171934713475251,0.683235091697194,0,0,0.232655962251274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135369518047996,0,0,-0.0626503519836292,0,0,0,0,0,0,0,0,0,0.00840655978822045,0,0,0,0,0,0,0,1.73472347597681e-18,0.00119123049955559,-0.104647715104398,0,0,0,0,0,0,0,0.0137507812601629,0,0,0,0,0,0,0
X600690.SH,0,0.160045878376004,0,0,0,0.225170136393042,0,0,0.0783118624839229,0,-0.0380366964568169,0,0,0,0,0.118963945670635,0,0,0,0,0,0,0,-0.0495879761485652,0,0,0,-0.0340975879051221,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.37250639122585e-05,0,0.0546781368952098,0,0,0,0,0,0,0,0,0.0216114230693286,0,0,0,0,0,0
X002475.SZ,0.251851808871892,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0575304652788729,0,0,0,0,0,0,0.0532622482159696,0,0,0,0,0,0.366721578932122,0,0,0,0,0,-0.0865446742845096,0.144833494304842,0,0,0,0,0,-0.0460121055861018,0.113343407212154,-0.0235703154812093,0,0,0,0,0,0,0,0,-0.0825030685788402,0.0566850289214909,-0.114210497829055,0,0,0.0430730818209091,0,0
X000651.SZ,0,0,0,0,0,0,0.451735685229351,0,0,0,0,0,0,0,0,0,0,0,0,0.0501847814516909,0,0,0,0,-0.281704185376724,0,0,0,0,0.344379675010891,0,0,0,0.120410177602925,0,0,0,0,0,0,0.0477545033168814,0,0.0333472535609404,0.437656901388747,0,0,0,0,0,0,0,0.0857694220390899,-0.0554301798306965,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0647679807955645,0,0,0,0,0,0.0555461948401619,-0.10000301710264,0,0,0.0422523337281575,0,-0.0248025628829936,0,0,0,0,0,0,0,0,0,0,0,0.0012050509572497,0,0,0,0,0,0.308701438578602,0,0,0.0462370231849138,0,0.0179456181472911,0.102725163326036,-0.0499105384890907,0.0397453227505633,0,0,0,0.0634120126304782,0,0
