,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X600276.SH,X002304.SZ,X600690.SH,X002475.SZ,X300124.SZ,X000651.SZ,X300014.SZ,X600104.SH,X000596.SZ,X003816.SZ,X600031.SH,X000725.SZ,X002129.SZ,X000063.SZ,X000625.SZ,X002371.SZ,X002049.SZ,X002179.SZ,X000338.SZ,X600703.SH,X600089.SH,X002180.SZ,X000661.SZ,X000100.SZ,X300142.SZ,X000733.SZ,X002241.SZ,X601877.SH,X600522.SH,X600741.SH,X002074.SZ,X600702.SH,X000157.SZ,X600460.SH,X000799.SZ,X300003.SZ,X002007.SZ,X600584.SH,X600884.SH,X600779.SH,X600487.SH,X300146.SZ,X002294.SZ,X002414.SZ,X601799.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.110566166090275,0.132216918196348,0.171909846814071,0,0,0,0.124310705476417,0,0,0,0.0251173091175986,0,0,0,0,0,0,0,0,0,-0.0288943948791517,0,0.00485805157075513,0.0715740489215781,0,0,0,0,0,-0.0795137600098293,0,0,0,0,0,0.0976257556160938,0,0.0335260084546087,0.0550877684170455,0,0,0,0,-3.46944695195361e-18,0,0,0.0556761307617932,0,0,0,-0.0339863268568522,0.00231099996109048,0,0,0,0,0,0
X000858.SZ,0,0,0.182884003207987,0.350930326768782,0,0,0,0,0,0,0,-0.0679377924643507,0,0,0,0.200942499102826,0,0,0,0.0185919669130106,0,0,0,0,0,0,0,0,0,0,0,0,0.00613823467122807,0,0,0,0,0.0184028751073346,0,0,0,-0.00718734872484633,0,0,0.0916659475222557,0,0,0,0,0,0,-0.0148929880244178,-0.0230893888709122,0,0,0,0,0,0
X600809.SH,0.213950245161797,0,0,0.386981852145313,0,0,0,0,0,0,0,0.0478366261478149,0,0,0,0.0842169053354289,0,0.0127420778871134,0,0,0,-0.0656985329502743,0,0,0,0,0,0,0,0.0516023585409403,-0.139401862505951,0,0,0,0,0,0.0797478603888382,0,-0.00721554057825102,0,0,0,0,0,0.142305815499283,0,0,0,0,0,0,0,0,-0.0244567072877711,0,0,0,0,0
X000568.SZ,0.167210967407877,0,0.461222540462482,0,0,0,0,0,0,0,0,0,0,0.234181104048713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117319811619723,0.103136144817933,0,0,0,0,0,0.187099194313023,0,-0.00761074804549299,-0.0159093167022207,0,0.170469916122863,0,0,0,0,0,0,-0.0111985341198955,0.00649621654308579,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.10802466852326,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157112382424153,0,0,0,0,0.0570857706867447,0,0,0,0,0,0,0.0495326521493599,0,0,0,0,0,0,0,0,0,0.00373290398399528,0,0,0.169114945464432,0,0,0.0774870119318928,0.156797968547685,0.032314715882717,0,-0.00495163700937906,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.0256118047395519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214353287783913,0,0,0,0.0218620614710171,-0.24801061844592,-0.0709397767136281,0.357765210563535,0,0,0,-8.67361737988404e-19,0,0.0453988267717822,0.0112469700500845,0,0,0.0109909002408855,-0.0365164430242578,0,0.183287286394342,0,0,0,-0.00576760271087611,0.0236961867780178,0,0,0,0,0,0
X002304.SZ,0,0,0,0.489044689470933,0,0,0,0,0.180706271537881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0150568923045736,0,-0.0286043618491686,0,-0.0849920303449203,0,0,0,0,0,0,0,0,0,0,0,-0.00401771472361501,0.110466389504939,0,0,0.0037023779469393,0,-0.00870775677390891,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.00469668433951237,0,0,0.174958134045215,0,0,0,0.428393848378686,-0.000517446292425467,0,0,0,0.226540299755944,0,0,0,0,0,0,0,0,0,0,0,0,0.0380049542636974,0,0,0,0,0.00635724403561707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121601098895844,0,-0.030935509759149,-0.0125813401807375,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0693733585948717,0,0,0,0,0,0.0403453067231261,0,0,0.137279083338446,0,0,0,0,0,0,0,0,0,0,0.209160989942346,0,0,0,0.00838655672136572,0,0,0,0,0.0233362806122942,0,0,0,0,0,0,0,0,0,0,-0.00335733427058603,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0738328301266364,0,0,0,0,0,0,0,0,-0.133403585327794,-0.0138034950457929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127405278906627,0,-0.0686874642555112,0,-0.0151065989621977,0,0,0,0,0,0.135598184167511,0,0,0.0788211914577151,0,0.0190525106275712,0,0,0,0,0,0,0
