,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X000338.SZ,X002475.SZ,X600031.SH,X000568.SZ,X600741.SH,X601877.SH,X600703.SH,X600271.SH,X002236.SZ,X000100.SZ,X300124.SZ,X002008.SZ,X600809.SH,X300003.SZ,X000625.SZ,X000596.SZ,X600487.SH,X000661.SZ,X600498.SH,X002456.SZ,X000050.SZ,X002007.SZ,X002179.SZ,X000157.SZ,X300142.SZ,X300146.SZ,X600066.SH,X600522.SH,X600177.SH,X600776.SH,X600089.SH,X002129.SZ,X002180.SZ,X600566.SH,X002241.SZ,X600867.SH,X600372.SH,X002506.SZ,X000977.SZ,X600118.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.00374539414775901,0.188397900428225,0,0.0424638124658729,0.157123637261355,0,0,0,0,0,0,0,0,0,-0.0601037717015201,0,0,0,0,0,0,0.0187423174939821,0,0,0,0,0.0408998157302358,0,0,0,0,0,0,0.0830563430505675,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.00349292426657835,0,0,0,0,0,-0.0223255775478933,0.0206817942278875,0,0,0,0,0,0
X600104.SH,0,0,0,0.121390460042552,0,0,0,0,0.123266654371013,0,0,0,0.0398428353940964,0,0.218691575802591,0,0,0,0.08520350644988,0,0,0,0,0,0,0,0,0,0,0,-0.0156959816264104,0,0,0,0,0,0,0,0,0,0,0,0,0.226176604796406,0,0,0,0,0,0,0,0.00577915652130431,-0.0469299506529888,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.215783470530612,-0.0309264068952276,0,0.167810155012868,0,0.117835707591433,0,0,0,0,0.535368682225966,-0.0220046559017988,0,0,0.0911724215510947,0.0239205635774034,0,0,0,0.0641766454832505,0,0,0,-0.198567084462493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0426778112497461,0.0481035735271238,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.0257535571648895,0.103590338044305,0,0,0,0,0,0,0.349599184698301,0,0,0,0,0.058108161894257,0,0,0.0241032036516648,0.034438951103059,0.012589579163849,0,0,0,0.0192429693731269,0,0,0,0,0,0,0,0,0,0,0,0.00390837518098192,0,0,0,0,0,0,0,0,0,0,0,-0.000776217371564687,-0.00513141684188296,0,0,0,0,0,0
X000651.SZ,0,0.267482891878495,0,0,0,0,0,0,0.175098645315067,0,0,0,0,0,0.0571102765893044,0,0.0270448791578303,0,0.0284867825537229,0,0,0,0,0,0.041254605927435,0,0,0,0,0,-0.00383308319002484,0,0,0,0,0.0456773866388889,0,0,0,0.0191274257831055,0,0.0611186485958405,0,0,0,0,0,0,0,0,0,0,0.00331968951219548,0,0,0,-0.00447627923811442,0,0
X600276.SH,0.232502054189549,0,0,0,0,0,0.156153934290288,0,0,0,0,-0.159738839903308,0,0,0,0,0.389950390305061,0,0,0,-0.214197565368745,0,0,0.353978505389012,0,0,0,0.0896054060070635,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.089755782204372,0,0.0945839007989432,0,0.0636640121944026,0,0,0,0,0,0.0117910986208935,0.0758965789489706,0,0,0,-0.00967798254823061,0,0
X002304.SZ,0,0,0,0.222997523254914,0,0,0,0,0,0,0,0,0,0.0627311947918986,0,0,0,0,0,0,0.22277486371016,0,0,0.0886940326666581,0,0.242514409913963,0,0,0,0,0,0,0,0,0,0.0769513477937499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0519189520864269,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.105529888074295,0,0,0,0,0,0.0720808391738288,0,0,0.0270225746539317,0.0644513120615303,0,0,0,0,0,0,0,0,0,0.0796249175650828,0.120616784864631,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0250603630819151,0,0.0560174846031661,0,0,0,0,-0.0544780632887551,0.00688072178894028,0.0115391738251897,0,0,0,0,0,0
X600690.SH,0,0.216642464497029,0,0,0.120176095039375,0.0335269376682566,0.161171211042938,0,0,0,0.00806837746979978,0,0,0,0,0,0,0,0,0,0,0,0.0405008686439351,0,0,0,0,0,0,0,-0.0551432832050269,0,0.077151699720924,0,0,0,0,0,0,0,0,0.0428648865525913,0.114748233244235,0,0,0,0,0,0.15143476312517,0,0,-0.00358974660107044,-0.00963534910881736,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00774531699515402,0.047430741873039,0,0,0,0,0,0,0,0,0.266825459117725,0,0.232230607466561,0.0150123087681754,0.0341141136386696,0,0,0,0,0,0,0.111571740708909,0,-0.00765348312902198,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0123500758217375,-0.0158471365931887,0,0,0,0.129462488259064,0,0
