,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X002304.SZ,X600276.SH,X600690.SH,X000651.SZ,X600104.SH,X000725.SZ,X600031.SH,X300124.SZ,X300014.SZ,X003816.SZ,X002241.SZ,X000063.SZ,X002129.SZ,X000338.SZ,X002371.SZ,X000596.SZ,X600703.SH,X002049.SZ,X002179.SZ,X000625.SZ,X601877.SH,X600741.SH,X000100.SZ,X300142.SZ,X600089.SH,X600460.SH,X002180.SZ,X000661.SZ,X002074.SZ,X000157.SZ,X600702.SH,X002236.SZ,X000733.SZ,X600884.SH,X600522.SH,X000799.SZ,X002414.SZ,X600584.SH,X600779.SH,X002008.SZ,X002007.SZ,X300146.SZ,X000800.SZ,X601799.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.530718456556762,0,0,0,0,0.0569280769765348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116014841616118,0,0,0,0,0,0,0,0,0,0,0.0239859065266498,0,0,0,0.0482508874767254,0,0,-0.0137806185549679,0,0,0,0,0.0483464886683045,0,0,0,0,0,0,0,-0.016335011255372,0,0,0,0,0,0
X000858.SZ,0.163553120706593,0,0,0,0.157854602282961,0.0729280316799218,0.0131667807708197,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00465480511552392,0,0.094373383310716,0,0,0,0,0,0,0,-0.0290369345522809,0,0,0,0,0,0.120956554747225,0.0370460531229813,-8.67361737988404e-19,0,-0.0227637661859799,0.0743922871692421,0,0,0,0,0,0,0,0,0,0.0239268818534838,-0.0128606163534126,0,0,0,0,0,0
X002415.SZ,0,0.0915176603609526,0,0,0,0.0478451846237396,0.0542669856935325,0,0,0,0,0,-0.110095404758141,0,0,0,0,0,0,0,0.140683043361291,0,0,0.0695377438671203,0,0,0,0,0,0,-0.142787895375717,0,0,0,0,0,-0.107408360286103,0,0,0.0833376157858257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0
X600809.SH,0,0,0,0,0.301203843929648,0,0.132454101488907,0,0,0,0,0,0,0,0,0,-0.0226192923818233,0,0,-0.389932019318334,0,0,0,0.0649244181160899,0,-0.0715401436405012,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0.153256188254195,0,0,0,0,0,0.124040377143592,0,0.0574603859218591,0,0,0,0,0,0.00237356682312087,0.0253320872322535,0,0,0,0,0.0479125205158485,0,0
X000568.SZ,0.231350372936915,0.221149463002884,0,0.0505136627419152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27325876041505,0,0,0,0,0,0,0,0,0,0,0,0.114538800726669,0,0,0,0,0,0,-0.0608381824705331,0.000702337412106728,-0.102988900865573,0,0,0,0,0,0,0,0,0,0.0112604300326271,0,0,0,-0.025098224842324,0,0
X002475.SZ,0,0,0,0,0,0,0,0.0622088649847777,0,0,0,0,0,0,0,0,0.255444303203159,0,0,-0.128829564170219,0.259114387162812,0,0.0736453018365974,0,0,0,0,0.0591816198584231,0,0,0,0,0,0,0,-0.0890464107480511,0,0,0,-0.0406660635563867,0,0,0,0,0,0,0,0,0,0,0,-0.073536181271659,0,0,0,0,-0.0562504612150565,0,0
X002304.SZ,0,0.138439657689405,0.0549042020459364,0,0,0,0,0,0.00251297542661605,0,0,0,0,0,0,0,0,0,0,0,0.134013276413932,0.185755608485095,0,0.0878508644863362,0,0,0,0,0,0,0,0,-0.0634516725747437,-0.0188147588785141,0,0,0,0,0,0,-0.0308200185136006,0,0,0,0,-0.0739426012633728,0,0,0,0,0,0.00320407391346435,0,0,0,0,0,0,0
X600276.SH,0,0,0.0766347001977093,0,0,0.140933473207032,0,0,0.16216713912505,0,0,0,0,0,-0.120732411327388,0,0,0,0,0,0,-0.00263376704368993,0,0,-0.183155205263647,0,0,0,0,0.110313278446106,-0.07433664205665,0,0,0.0421528455488746,-0.0688348492167511,0,0,0,0,0,0.0934864617045369,0,0,0,0,0,0,0.0351354949084984,0,0,0,-0.0349380209297156,0,0,0,0,-0.00765334558900802,0,0
X600690.SH,0,0.265221905572997,0,0,0,0,0,0.0954541806930083,0,0,0,0,0,0,0,0,0,0,0,0.295396408872746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108633004465167,0,0.0215143155146426,0,-0.0422338873028472,-0.068996480056217,0.0706096553107488,0,0,0,0,0,0,0.0736288455322217,0,0,0,0,-0.00572096908881508,0,0,0,0.00496446104501827,0,0
X000651.SZ,0,0,0,0,0.063704658077188,0.0753323471663845,0,0,0,0,0,0,0.170305834526092,0.235736458332766,-0.0935612199251742,0,0,0.0510257903223909,0,0.0304931014678846,0,0,0,0,-0.0405337328071254,0,0,0,0,-0.0636418551405135,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,-0.067408045368494,0,0,0,0,0,0,0,0,0,0,0.0240944722688521,0,0,0,0,0.0191091830148202,0,0
X600104.SH,0,0,0,0,0.0642505604214929,0,0.0336975444170521,0,0,0,0,0,0,0,-0.0284120134419084,0.200716349317825,-8.67361737988404e-19,0,0,0.0677246260170906,0,0,0,0,0,0.0687190139736776,0.0128114651309421,0,0,-0.0629922195388552,0,0,0,0,0,0.105046917356089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0090882500912091,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0.0777784463529216,0.0632306090415603,0,0.0412053309844921,0,0,0,0,0,0.00592994092457151,0,-0.00602841765064011,0.028744995930863,0,0,0.0127501411035399,0,0.00601214620474759,0.00595069722037817,0,0,0.336879355919689,-0.0465869873082328,0,0.0274781067608254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00251178147506568,0,0,0,0,0,0,0
X600031.SH,0,0,0,-0.0536158126542218,0,0,-0.0398081215796655,0,0.241664072895382,0.157426864878947,0,0,0,0.0478106458614263,-0.00841505398878995,0,0,0,0,0.167530029148081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227649216987495,0,0,0,-0.0381004108644471,-0.0434322114232826,0,0.0499014259030568,0,0,0,0.137288809410537,0,0,0,0,0,0,0,0,0,0.0434865979455472,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.693691624434616,0,0,0,0,0,0,0,0.0666848963339695,0,0,0.0616762261862099,0,0,0,0,0,0,0,0.115849887677585,0,0,0,0,0.0187574699475965,0,0,0.142265265922764,0,0.0344264485293997,0.266522368346805,0,0,0,0,0,0,0,0,0,-0.0296331073543297,-0.0341926198314101,0,0,0,0,0
X300014.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0609246412776473,0,0,-0.00906736914459426,0,0.148211888358935,0,0,0,0,0.0503738111133594,0,0,0.107907045068854,0.249995686184283,0,0.212050507967206,0,0,0.185884730171227,0.0213669260658716,0,0,0,0,0,0,0,0,0.0931059074426914,0,0,-0.0318514682490508,0,0,0,0,0,0
