,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600276.SH,X002475.SZ,X600690.SH,X002304.SZ,X300014.SZ,X600104.SH,X000651.SZ,X000725.SZ,X600031.SH,X002371.SZ,X300124.SZ,X002241.SZ,X600703.SH,X000338.SZ,X000063.SZ,X003816.SZ,X000596.SZ,X000625.SZ,X002129.SZ,X002049.SZ,X000661.SZ,X601877.SH,X002179.SZ,X002074.SZ,X300142.SZ,X000100.SZ,X600460.SH,X600741.SH,X600702.SH,X600089.SH,X000799.SZ,X002236.SZ,X600779.SH,X000157.SZ,X601799.SH,X002414.SZ,X600884.SH,X000733.SZ,X002180.SZ,X600584.SH,X600522.SH,X600183.SH,X002008.SZ,X002007.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.498862811925098,0,0.0474619979956823,0.0430236965198654,0,0,0,0,0,0,0,-0.131722798571448,0,0,0,0,0,0,0,0,0.00697352857882517,0,0,0,0,0,0,0,0,0,0,0,0.0313119023896574,0.00643507574469344,0,0,0,0,0,0,0,0,0,0,-0.000446543054832877,0,0,0,0,0,0,-0.00223708531060845,0,0,0,0,0,0
X000858.SZ,0.166037699404663,0,0,0.341375016506875,0.144845177846508,0,5.27024381805842e-05,0,0,0,0,0,0,0,0,0,0,0.0224824437109247,0,0,-0.112174141874977,0,0,0,0,0.278763414437021,0,0,-0.00960456595358776,0,0,0,0,0.0260212953073129,0.126827645326278,0,0,0,0,0.0337065273907294,0,0,0,0,0,0,0,0,0,0,0,-0.0221857103489582,0.0151283729959241,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0109189997907157,0.100739762368563,0.280995107496068,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,-0.0629801712678068,0,0,-0.00241745843593275,0,0,0,0.069237405016526,-0.0392075464445093,0.000141272855531301,0,0,0,0,0,0.0735934054171759,0,0,-0.156428648847106,0,0,0,0,0,0,0,0,0.00408147628338971,0,0,0,0,0,0
X600809.SH,0,0.160157786871857,0,0,0,0,0.0504005909034433,0,0.091707362021913,-0.0437091191030322,0,0,0,0,0,0,-0.0826297971751945,0,0,0,0,0,0,0,0,0.141775811852967,0,-0.0610103701850273,0,0,-0.170248152217503,0.126075657476246,0,0,0,0.403172309413389,0,0.0262001895090767,0,0,0,0,0,-0.0700016709567529,0,0,0,0,0,0,0,0,-0.0648423650679266,0,0,0,0,0,0
X000568.SZ,0.0922305068232759,0,0,0.0499365255939629,0,0,0,0,0,0.00462294093923897,0,0,0,0,0,0.0750200405178935,0.00630546296988068,0,0,0,0,0.47840410749134,0,0,-0.0981431656505991,0.0525486585155116,0,0,0,0,0,0,0,0,0,0,0,0.102707627048077,0,0,-0.186354367842227,0,0,0,0,-0.122766224322566,0,0,0,0,0,0.00692782472108999,0.0223376929475109,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.00108454712144273,0.00758566908215094,0,-0.0898839522826657,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.00571135899819712,0,0.148816621039252,-0.284482369280274,0,0.0435483131177983,0.150121279473305,0,0,0,0,0,0,0,0,0,0,-0.079281849500769,0,0,0,0.052616939992484,0,-0.100329321816274,0.182222947086034,0,0,-0.0195761526475088,0.0351576001290601,0,0,0,0,0,0
X002475.SZ,0.017360326188645,0.219444821130973,-8.67361737988404e-19,0,0,0.0133506524619813,0,0,0,0,0,0,0,0,0.0939756286545115,0.181001530395414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166397681197286,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,-0.0699537368106803,-0.0645761029037821,0,0,0.116223719556568,0,0,0,0,0,0.0187161835986418,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0903421936196508,0.0770237330001048,0,0.000878810240256546,0,0,0,0,0,0,0.289107127786729,-0.135738827187738,0,-0.00229364459434346,0.0240596575542377,0,0,0,0,0,0,-0.0396380931201338,0,0,0,0,0.053144093391544,0,0,0,0,0.0087249018851977,0,0,0,0,0,0,0
X002304.SZ,0,0.295244994661213,0,0.202349172244365,0,0,0,0.229785153662981,0,0,0,0,0,-0.117902112499508,0,0,0,0,0,0,-0.0858570381276182,0,0.0605776812898418,0,0,0,0,0,0,0.0479787989636116,0,0,0,0.00992651247650319,0,0,0.146720383447604,0.0569189875583309,0,0,0,0,0,0,0,-0.0387287588420793,0,0,0,0,0,0.0128383371400578,0,0,0,0,0,0,0
X300014.SZ,0,0,-0.460874992115888,0,0,0,0,0,0,0,0,0,0,0,0,0.105334411103641,0,0,0,0,0,0,0.0580000407870276,0,0.0691471696424041,0.0251402251439669,0,0,0.0803314255252719,0.0711683386562731,0,0,0,0,0,0,-0.00624928856137276,0,0,0.0294344007940024,0,0,0,0,0,0,0,0,0,0,0,-0.0436502141824606,0.129542128492041,0,0,0,0,0,0
