,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X600271.SH,X600066.SH,X002241.SZ,X000568.SZ,X000100.SZ,X600118.SH,X002292.SZ,X600031.SH,X002236.SZ,X002475.SZ,X002074.SZ,X600372.SH,X000559.SZ,X600177.SH,X002506.SZ,X000157.SZ,X300003.SZ,X000338.SZ,X002085.SZ,X300124.SZ,X002456.SZ,X002007.SZ,X002180.SZ,X000050.SZ,X002249.SZ,X002294.SZ,X600867.SH,X002426.SZ,X600089.SH,X000869.SZ,X002465.SZ,X002049.SZ,X002508.SZ,X600699.SH,X002179.SZ,X600498.SH,X601877.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.431989335247933,0,0,0,0,0,0.0204426644311287,0,0,0,0,0,0,0,0,0,-0.0405348060955325,0,0,0.0268915010908652,0,0,0,0,0,0,0,0.0184658907081564,0.191043448534905,0,0.12095704280649,0.0112382173425551,0,0,0,-0.141084883783425,-0.086347151165106,0,0,0,-0.0845406763729791,0,0,0,0,0,0,-0.0937686557988295,0.123596196020561,0,0,0,0,0,0
X600104.SH,0,0,0,0.0280243931394807,0,0,0,0.0595157032174552,0,0,0,0.102073756165113,0.0433619839851612,0,0,0,0,0,0,0,0,0,-0.0297977553620415,0,0,0,-0.00515034047284842,0,0,0,0,0,0,0.00162081471743417,0.00827120313235091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0524608538985861,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0493878550530564,0,0,0,0,0,0,0,0,0,0,0,0,0.0800479802408929,0.00859636247074454,0,0.082068765125081,0,0.0705966302618394,0,0,0,0,0,0,0,0,0.0283261012869074,0.0600112031899343,0.0678354678810755,0,0.0120387221564523,0.104848015091982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369391027516535,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.265937635860917,0,0,0,0,0.154659470595372,0,0,3.46944695195361e-18,0,0,0.0358776205532214,0,0,0,0,0,0,-0.00289100519284751,0.0365183280667224,0,0,0.0483265545493368,0,0,0,0,0,0,0.0140703687540473,-0.0153013876843831,0,0,0,0,0.0701470582392365,0,0,0,0,0,0,0,0.0830952313389828,0,0,0,-0.00102821500198033,0,0,0,0,0,0
X002304.SZ,0,0,0,0.575098214221197,0,0,0,0,0,0,0,0.0854422729115054,-0.126224613105604,0.0901269707720985,0,0.200649766436634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0753739558769438,0,0.208416906544135,-0.0632768464883279,0,0,0,0,-0.00924881551933363,0,0,0,0,-0.0952763227759475,0,0,0,0,0,0.0479931704381606,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110565982015155,0,0,0,0,0,0,0,0,0.0733260866183783,0.130191839382596,0,0,0,0,0,0,-0.0470695632541879,-0.067865520814314,0.018307504961052,0,-0.0423533423193815,-0.00787010345705339,0,0,0,0,0,0,0,0.0334463506069939,0,0,0.0189354611201758,0,0,0,-0.00118190356394244,-0.0197908693221441,0.163999249821293,0,0,0,0,0
X000725.SZ,-0.00281171942737931,0,0,0,-0.00117812096540817,0,0,0,0,0,0.0821018701890601,0,0,0,0,0,0.113954154413532,0,0.0664946935689394,0,0,0,0,0,0.178743511111246,0,0,0,0,0,0,0,0.0830491774128385,0.0485970371084114,0,0,0,0,0,0,0,0,0.0891428878298244,0,0.0240129855397178,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0
X000625.SZ,0,0,0,0.143433348663956,0,0,0,0,0,0,0,0,0,0,0.350388730778189,0,0,0,0,0,0,0.0557722665620278,0,0,-0.281002607495699,0,0.089003876043304,0,0,0,0,-0.163339102873405,0,0,0,0.0341209536766737,0.128312279298295,0,0,0.217661238709382,0,0,0,0,0,0,0,0,0.0905076429118084,0,0,0.0469984014749941,0,0,0,0.274709337394193,0,0
X000063.SZ,0,0,0,0.0110547925749944,0.259594584970573,0,0,0.193844965496184,0,0,0,0,0,0,0,0,0,0,0.07543374849858,0.224370071573116,0,0.234787484011961,0,0,0,0.149285130789588,0,0,0,0,0,0,0,0,0.0637779663259652,0,0,0,0,8.67361737988404e-19,0,0,0,0.0447316150034197,0,0,0,0,0,0,-0.0825506487616215,-0.0294241058240542,0,0,0,0,0,0
X600690.SH,0,0,0,0.186694115597204,0,0,0,0,0.0353506361141938,0,0,0,0,0,0,-0.0950808702293217,0,0,0,0,0.0389404757615836,0,0,0,0.0824333996817765,0,-0.012250468295747,0,0,0,0,0,0,0.0356292190372152,0.0356094931769029,0.0436208995717337,0,0,0,0,0,0.0632977604052597,0,0,0.0461647462544271,0,0.0992589937786504,0,0,0,0,0.0102076778701215,0,0,0,0,0,0
