,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000651.SZ,X002475.SZ,X000568.SZ,X002304.SZ,X600690.SH,X600031.SH,X600104.SH,X000725.SZ,X300014.SZ,X300124.SZ,X000338.SZ,X002371.SZ,X600703.SH,X000063.SZ,X000625.SZ,X002129.SZ,X002241.SZ,X003816.SZ,X300142.SZ,X000661.SZ,X002049.SZ,X601877.SH,X000596.SZ,X000100.SZ,X002179.SZ,X600460.SH,X000157.SZ,X000799.SZ,X600741.SH,X600702.SH,X002007.SZ,X002074.SZ,X002414.SZ,X002236.SZ,X600584.SH,X600779.SH,X600089.SH,X600183.SH,X000800.SZ,X601799.SH,X300146.SZ,X300003.SZ,X600884.SH,X000066.SZ,X000733.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600031.SH,0,0,0,0,0,0,0,0,0.0279113934900149,0,0,0,0,0.0792032442742415,0,0,0,0.154670882739939,0,0,0,0,0,0,0,0,0,0,0,0.0350559061632187,-0.166722545439297,0.0224820070762396,0,0,0,0,0.0515982479066249,0,0,0,0,0,0,0,0.105145351326891,0,0,0.0102361254379699,0,0,0,0.00170875979313411,0.00853021746594923,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.0958386584233331,0,0,0,0,0,0,0,0,0,0,0.135295821802023,0,0,0,0.0457258320819351,0,0,0.00976207539984972,-6.93889390390723e-18,0,0.154392910940893,0,0,0.0386411330464825,0.0284931321261477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293451825320168,-0.149718371698646,0,0,4.33680868994202e-19,0,0,0,0,0,0
X000725.SZ,0,0,0,-0.00629800072082596,-0.0265538288342221,0,0.000660419153427989,0,0,0,0.0114349189963453,0,0,-0.0198592984314472,0,0,0,0.0029619183065963,0,0,-0.0213948720815224,0,0,0,0,0,0,0,0.404104830122544,3.46944695195361e-18,0,0,0,0,0.00959599574996294,0,0,0,0,0,0,0,0,0.195863861941737,0,-0.0221833239936985,0,0,-0.0154314718035699,0,0,0,0,0,0,0,0,0,0
X300014.SZ,0,0,0.283972641271894,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.00228559901629108,0,0.106176081782683,0.0663679484572679,0,0.169825881901928,0.277224783633956,0,0,0,0.0166290249530399,0,0,0,0,0,0,0,0,0,0,0,0.233611341217614,0,0,0,0,0.0459990287742478,-0.108489242323807,0,0,0,0,1.73472347597681e-18,0,0.101224766895677,0,-0.0251986969026822,0,0,0,0,0,0,0
X300124.SZ,0,0,0,-0.00760403413620669,0.313267209927524,0,0,0,0,-0.0550245257409952,0,0,0,0.195712540228133,0,0.315830295844909,0.0342849413187079,0.0293653969631672,0,0,0.0770754377777885,0,0,0,0,0,0.100036123752839,0,0,0,0,0,0,0,0,0,0,0.155400619234242,0,0,0,0,0,0,0,0,0,-0.264755762519181,-0.0496963308241441,0.111123306247405,0,0.157536893369455,0,0,0,0,0,0,0
X000338.SZ,0,0.0999685469854073,0,0,0,0,0,0,0,0,0.187091731598571,0,0,0,0.0050768933310832,0,0,0,0,0,0,-0.122781252448126,0,0.0135607715799535,0,0,0.0201746543397912,0,0.21564066129585,0,0.127330319661396,0.00797817512191287,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0162836660782054,0,0,0,0,0,0.109531672831441,-0.071829551454884,0,0,0,0.0563319783580386,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,-0.219624455459578,0,0,0.0116715107977216,0,0,0,0.10595651711755,0,0,0.165961813023165,0,0,0,0,0,0,0,0,0,0.135720992739897,0,0,0,0.0803405242837486,-0.189681741953677,0.0286715922218814,0,0,0.266484638097067,0.020821278922962,0,0,0,-0.0447582985665819,0,0,0,0,0,0,0.0222047621158782,-0.0562710734114909,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0.101605370562573,0,0.115608926865777,0,0.0636887338381982,0,0,0,0,0,0.30125856664171,0,0,0,0.140993661581465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0847745074662241,0.0175941317214952,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0421601734198654,0,0,0.00508723001609116,0,0,0,0,0,0
X000063.SZ,0,0,0,0.11862785420403,0,0,0,0,0,0,0,0,0,-0.0553122448744869,0,0,0.000427079766857419,0,0,0,0,0,0,0.258557583821908,0,0,0,0,0,0,0,0,0,0,0.15227252617352,0,-0.0300211761964476,0,0,0,-0.201817461924904,0,0,-0.221505340910773,0,0,0,0,0,0,0,0.0456168790000833,0.0525075562385902,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,-0.0794663832661568,0,0,0,0,0.195585090600257,0,0.255135599535987,0,0,0,0,0,0,0.193285296863438,0,0,0,0.11565190821631,0,0,-0.234933045796811,0.164494791824504,0,0,0,0,0,0,0,0.148018643919256,0.335007627198624,0,0,-0.0470712918598635,0,0,0,0,0,0,0.0849617899097578,0,0,0,-0.0575647894319632,-0.200185540957382,0,0,0,0,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.0982864489649383,0,0.290996667820452,-0.0765337345656752,0,0.0364420673949755,0.121514390965514,0,0,0,0,0,0.0130300357980099,0,0,0.184238439887595,0,-1.73472347597681e-18,0,-0.037688260109037,0,0,0,0,0,0.25758875774063,0,0,0,0.060244453480506,0,0,0,0,0,0,0.0204338018880771,0,-0.0411202293218514,0,0.0336202227100507,0,0,0,0,0,0,0
X002241.SZ,0,0,-0.0993846358721961,0,0,0,0.528142848599992,0,0,-0.056594075977289,0,0,0,0,-0.300192807392334,0,0,0,0,0,0,0,0,0,0,0,0,-0.0404491078674098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172083415475959,0,0,-0.129337483198451,0,0,0,0,0,0
X003816.SZ,0,0,0,0.0601786656596496,0,0,0,0,-0.0134567841311477,0.0332034890407463,0,0,0,0,0,0,0,0.00302305723090775,0,0,0,-0.0464293307766048,0,0,0,0,0,0,0,0,0,0,0,0.00821621630163786,-0.026736979418311,0,-0.0497150896844038,-0.0361103307913662,0,0,0,0,0,0.0366786675422532,0,0,0,0,0.0038970900249725,0,0,0.007947217667883,0,0,0,0,0,0,0
X300142.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118292792363929,0,0,0.167432516751743,0.054539491232369,0.0688178143991013,0,0,0,0,0,0,0,0,0,0,0,0.00226156940438488,0,0,0.0803743708519866,0,0.175421376216406,0,0,0,-0.255069367716969,0,0,0,0,0.186517947148292,0,0,-0.162449121467312,0.50804760045495,0,0,0.0208415711125301,-0.0349900111209663,0,0,0,0,0,0
X000661.SZ,0,0.0305004337317478,0,0,0,0,0,0,0,0,0,0,0,0.0925608607585717,0,0,0.0879205873397795,0,0,0,0.244008779785178,0,0,0,0,-0.345793905281678,0,0,0,0,0,0,0.0528904503509794,0,0.215087996278617,0,-0.10547368082116,0,0.276014608933395,0,-0.233035537901516,0,0,0,0,0,0.357500917425181,0.14836729151249,0,0,0,0.0575570788647571,-0.277789667010662,0,0,0,0,0,0
X002049.SZ,0,0,0,0,0,0,0.0942259722007028,0,0,0,0,0,0,0,0.111440906732834,0,0.194196660049223,0.106257025886268,0,0.15284254924634,0.0337830391557918,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273655848666631,0,0.00508521047513197,0,0,0.144573931811269,0,0,0,0,0,0,0,0,0,0.0643220926537474,0,0,0,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0.0588265954203808,0,0,0,0,0,0.135151678099006,0,0,0,0,0,0.012569654234096,0,0,0,0,0,0,0,0,0,0,0,0,0.156099059848901,0.0209286485472731,0,0.116746049571332,0.0124459479336099,0,0,0,0,0,0,0,0,0,0.111302479531073,0,0.0949242326382881,0,-0.00931635390297629,-0.0356283533651265,0,0,0,0,0,0
X000596.SZ,0,0,0,0,0,0,0,0.0100890614599702,0.076442495848727,0,-0.190350413016502,0,0,0,0.0490107848573059,0,0,0,0,0.0610168414074199,0,0,0,0,0,0,0,0,0,0,0,0,0.486786494608752,0,0.142302097503446,0,-0.0447255754312929,0,0,0.0963984692315705,0,0,0,-0.0124875840909713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
