,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600741.SH,X600703.SH,X600066.SH,X002236.SZ,X000568.SZ,X002241.SZ,X600271.SH,X600031.SH,X000100.SZ,X600118.SH,X600177.SH,X002292.SZ,X002456.SZ,X002007.SZ,X600372.SH,X002475.SZ,X000338.SZ,X000559.SZ,X000157.SZ,X002180.SZ,X300003.SZ,X000981.SZ,X002074.SZ,X600867.SH,X002506.SZ,X600522.SH,X300124.SZ,X002085.SZ,X002294.SZ,X002426.SZ,X600089.SH,X000869.SZ,X002508.SZ,X601877.SH,X600498.SH,X002249.SZ,X002465.SZ,X000050.SZ,X002179.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.463688359205765,0,0,0,0,0,0,0.143357881216667,0,0,0,0,0.0668963591839795,0,0,0,0,0,0,0,0,0,0.0107472411785771,0,0,0,0,0,-6.93889390390723e-18,0,0,0.0775056728583368,0,0,0,0,0.15744133292084,0,-0.0962450006146143,0,0,-0.171296631462379,0.0294283417404302,0,0,0,0,0,0,0.00713287410746979,0,0,0,0,0,0,0
X600104.SH,0.189552229219691,0,0.0597334704846365,1.73472347597681e-18,0,0,0,0.236562229768175,0.0727529310549434,0,0.140902755604721,0,0,0,0,-0.00904172276679656,0,0,0,0,0,-0.0118543269826096,0,0,0,0,0,0,0,0.0157458666057504,0,0,0,0,0,0,0,-0.0748380342325023,0,-0.0137061708047491,0,0,0,0,0,0,0,0,0,0,0.0494737042371878,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.0968277747379713,0,0,0,0,0,0,0,0,0,0,0.042997691917171,0,0,0,0.102927169113587,0,0.105608770384057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13234943014269,0.0808270533239702,0,0.126541327553188,0,0,0,0,0,0.0274152788133123,0,0,0,0,0,0,0
X000858.SZ,0.133251348675121,0,0,0,0.204686142841274,0.234751226387326,0,0,0.150821173640322,0,0.00308993970366283,0,0.0781771856889484,0,0.345330985455124,-0.0197945044181169,0,0,0,0,0,0,0,0,-0.0293389645315347,0,0,0,0,0.00342433556982874,0,0,0.00416589982336873,0,0,0,0,0,0,0,0,0,0,0,0.0790757933292913,0,0,0,0,0,0,0,0.0111651326278937,0,0,0,0,0
X002304.SZ,0,0,0,0.7214162182156,0,0,0,0,0,0,0,0,0,0,0,0.0395854900849256,0,0,0,0,0,0,0,0,0.0590451991099189,0,0,0,0,0.0444682442416976,0,0,0,0,0.0207121801697808,0.0036683911319451,0,0,0,-0.0239040322385236,0,0,0,0.0140557220380282,0,0,0,0,0,0,0.00316223790106925,0,0,0,0,0,0,0
X600276.SH,0.0327266847035308,0,0,0.131602469858034,0,0,0,0,0.0740921429513311,0.0614000762313586,0,0,0,0.0410180681891772,0.00574925127403571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585379733833486,0,-0.0308453540182227,0.0672980309748628,0,0,0,0,0,0,0.0232776027440397,0,0,0,0,0,0,0,-0.0135077187307156,0,0,0.0030587641368034,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.10131210443095,0,0,0.05808030838406,0,0,0,0,0,0,0.203214082023418,0,0,0,0,0,0,-0.0214562544662385,0.145821392233612,0,0,0.00852320211330287,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190383898367737,0,0,-0.0138865800741265,0.0347901357888148,0,0,0,0,0,0
X000625.SZ,0,0.149752587906771,0.0501164075072165,0,0,0,0,0,0,0,0.173306441875612,0,0.03035734912183,0.0432483469651872,0,0,0.107793003064183,0,0,0,0,0,0,0,0,-0.0860112296092249,0,-0.0444358803297569,0,0,0,0,0,0,0,0.029623248403297,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,-0.00716997785623027,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.0588763459263098,0,0,0,0.00907979737584616,0,0.0197286987557846,0.0934352658366657,0,0.00160284056018388,0,0.0560812180153543,0,0.0305460167583487,0,0,0,0,0,0,0.173038314634611,0,0,0,0,0,0,0.0149251778582624,0.0287448215397889,0,0,0,0.0399112162544769,0,0,3.46944695195361e-18,0,0.0424113317150923,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.0794479323637327,0,0,0,0,0,0
X000063.SZ,0.0556434842063452,0,0,0.104013758909839,0.031805301093694,0,0,0.0485748399583353,0,0,0,0,0,0,4.33680868994202e-19,0.0264064164913489,0,0,0,0,0,0,0.104800707305754,0,0,0,0.11265455498578,0,0,0.0818540764250542,0,-1.0842021724855e-19,0,0,0,0.0132841807025834,0,0,0,0,0,0.0252198775202637,0,0.067701914429109,0.0691473529526387,0,0,0.069325934511784,0,0,-0.00480035992738203,0,0,0,0,0,0,0
