,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X003816.SZ,X002415.SZ,X600690.SH,X000651.SZ,X600809.SH,X000568.SZ,X002371.SZ,X000725.SZ,X600104.SH,X600031.SH,X002304.SZ,X000625.SZ,X000063.SZ,X300124.SZ,X000338.SZ,X000596.SZ,X002179.SZ,X000100.SZ,X002241.SZ,X300014.SZ,X002463.SZ,X600089.SH,X600584.SH,X000157.SZ,X600372.SH,X002028.SZ,X600703.SH,X600741.SH,X000977.SZ,X600066.SH,X002236.SZ,X600418.SH,X600522.SH,X600183.SH,X601877.SH,X002049.SZ,X600487.SH,X000800.SZ,X002180.SZ,X000921.SZ,X002294.SZ,X601799.SH,X002074.SZ,X600177.SH,X002129.SZ,X000661.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.180047977469954,0,0,0,0,0,0,0.123752088468403,0.242174445812709,0,0,0,0,0.00805312644585647,0,0,0,0.0449894733715555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329410355938481,0,0,0,0,0,0,-0.057514759378631,0,0,0,0,0,0,0,-0.0416346278434339,0,0,0,0.0201597471897685,0,0
X000858.SZ,0.290320682200589,0,0.0682842275864585,0.00786897980486057,0,0,0,0,0.20771113576135,0,0,0,2.16840434497101e-19,0.0688699639830374,0,0,0,0,0.0623225997951154,0.0890506625417268,0,0,0,0,0,0,0,0,0,0.0376607697197999,0,0.203963202467656,0,0,0,-0.0704215449959703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00529340192329585,0.0989420486111146,0,0,0,0.0200172517719391,0,0
X600276.SH,0,0,0,0,0,0,0.0217858919068958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0637543233998265,0,0,0,0,0,0,0,-0.0168371869622839,0,0,0,0,0,0,0,0,0.285951542272791,0,0,0,0,0.192378888925067,0,-0.0676860924353898,0.0192619795966933,0.00518956528661982,0,0,0.00619711230363327,0,0
X002475.SZ,0,0,0,0,0,0,0,0,-0.121126680542556,0,0,0,0,0,0,0,0,-0.0679212388198121,0,0,-0.0918485007737049,0,0.489965181740988,0,0,0,0.208815403734502,0,0,0,0,0,0,0.0394524511851635,0,0,0.0278153220710052,0,0,0,0.116330327286934,0,-0.0438837208299492,0,0,0,0,0,0,0,0,0,-0.0903559409703066,0,0,0,-0.0322178672785672,0,0
X003816.SZ,0,0,0,0,0,0,0,0,-0.0494704015638999,0,0,-0.115356585485334,0,0,0,0.100056098023752,0,-0.0871349829920665,-0.00401573629277778,0,0,0,0,0,-0.0478379405942213,0,0,0,0,0,0,0,0,0,0,0,0,-0.054257570097311,0,0,0,0,0,0,0,0,-0.0541440611409046,0,-0.406333149587011,0,0,0.0401923358890223,0,0,0,0,-0.00518688469445578,0,0
X002415.SZ,0,0,0,0,0,0,0.166631719770739,0,-0.0171211978087407,0,0,0,0,0,0,0,0,0,0,0,0,0.0539276327164611,0,0,0,0,0,-0.0803601883638769,0,0,0,0,0,0,0.117790414027871,0.029481449105335,0,0,0,0.248183594643478,0,0,-0.120401749183854,0,0,0.0735421207796302,-0.0386667377117041,0,0,0,0,0.0502984316897022,0,0,0,0,0.0149684172766419,0,0
X600690.SH,0,0,0.0377192729248589,0,0,0,0,0.295847743798926,0,0,0,0.0284716920280047,0,0,0,0,0,0,0.099126954737901,0,0,0.0623536596700799,0,0,0.0074595094178366,0,0,0,0,0,0,0,0,0,0,0,0.10768899201385,0,0.0541794648136006,0,0,0,0,0.23938441732798,0,0,0,0,0,0,0,0,0,0,0,0,-0.0198397155705324,0,0
X000651.SZ,0,0,0,0,-0.0820979954610635,0,0.0401493349196101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106878335349647,0,0,0,0,0,0,0,0,0,0.126422420439459,0,0,-0.0949542341784138,0,0.0461207985223924,0,0,-0.0293972675513162,0,0.0266230417971663,0,0,-0.0103888578231415,0,0
X600809.SH,0,0,0,0,0.0542673488037382,0,0,0,0,0.176282683303254,0,0,0,-0.0670741919409037,0.0157402584862923,0,0,0,0,0.628323872417795,0,0,0,0,0,0,0,0,0.0580302120786137,0,0,0,0,0,0,0,0,0,-0.0450814791005583,0,-0.128918723834406,0,0,-0.00178918989075401,0,0,-0.0327970027873028,0,0,0,0,0.0190752959567484,0,0,0,0,0,0,0
X000568.SZ,0.210169534523416,0.383786690853521,0,0.0959714590010345,0,0,-0.00621455161654626,0,0.225762767162227,0,0,0,0,0,0,0,0,0,0,0.121892964320723,0,-0.0560143384528684,0,0,0,0,0.0498371227698087,0,0,0,0,0,4.33680868994202e-19,0,0,0.062374028647253,0,-0.0766863586368285,0,0,-0.0661612894903109,0,0,0,0,0,0,0,0,0,0,-0.000116087950036229,-0.020165898084862,-0.0616268625359179,0,0,-0.00878780747178868,0,0
