,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600066.SH,X600703.SH,X600271.SH,X600741.SH,X002241.SZ,X000100.SZ,X002236.SZ,X002292.SZ,X600031.SH,X600177.SH,X600118.SH,X002506.SZ,X002475.SZ,X000559.SZ,X000568.SZ,X600372.SH,X000157.SZ,X002074.SZ,X000338.SZ,X300003.SZ,X002085.SZ,X300124.SZ,X002007.SZ,X002426.SZ,X600867.SH,X002456.SZ,X000869.SZ,X600089.SH,X002294.SZ,X000050.SZ,X002180.SZ,X002508.SZ,X601877.SH,X000981.SZ,X002465.SZ,X600498.SH,X002179.SZ,X600060.SH,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.166907272445638,0.0466820429773943,0.000850298665552618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0426608964067991,0,0.0356246846603708,0,-0.0133338310247557,0,0,0.257974106157892,-0.0864358611135494,0,0,0,0,0,-0.0213177912571674,0,0.109306053216692,0,0,-0.109042024870786,0,0,0,0,0,-0.0703176137738678,0.0760102228181685,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.0862419685337953,0,0.119828028239154,0,0,0,0.152708769478046,0,0,0,-0.00386443682158005,0,0.0524851301945723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325433799139613,0,0,-0.0181043787195187,-0.0325731356296431,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.156835092714022,0,0,0,0,0.0920102358830542,0.0184454668564747,0,0.0318162936819734,0,0,0,0.0352122402499611,0,0,0,0,0,0.0201041806088343,0,0.0657697101683994,0,0,0,-0.122728888414248,0,0.167271492041689,0,0,0,0.0198954623524873,0,0.0521034303798864,0,0,0,0.0690689103195746,0,0,0,0,0,-0.0112336287353893,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0.0266335305390402,0,0,0.160138422894571,0,0,0,0.056384501538416,0,0,0,0.0139401070134764,0,0,0,0,0.0831526410703045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137990698147393,0,0,0.0817055062155491,-0.012775294147245,0,0,0,0,0,0,0,0,0,0.00186169116660587,0,0,0,0,0,0,0
X002304.SZ,0.106414132753526,0,0,0,0.722474329809104,0,0,0,0,0,0,0.0719716730821501,0,0,0,0,0,0,0.0340848781949694,0,0,0,-0.0511582827911246,0,0,0,0.07615825105112,0,0,0,0,0,0,0,0,0,-0.00160633514598312,0,0,0,0,-0.00654842307645113,-0.106593747496092,0,0,0,0,0,0,0,0,-0.0170324245433915,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220804606250067,0,-0.0316418942086903,0,0,0,0,0,0.139061228666688,0,0,-0.00201460754783118,0,0.0670086109859546,0,0,0,0,0,0,0,0,0,0,0,0,0.0569958681330098,0,0,0,0,-0.00555098061673365,-0.0222267372955877,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095336125105055,0,0,0,0,0,0,0.116065795638101,0,0.132219448450097,0,0.0422267836826386,0,0,0.120565956618766,0,0,0,0,0,0,0.097569392197966,0,0,0,0.0796748021588799,0,0,0,0,0,0,0.00226730420562749,0,0,0,0,-0.00773577743476297,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0.23346270415325,0,0,0,0,0,0,0,0,0,0.409609195004069,0.0326248937795079,0,0,0,0,0,0,0.0236246817129517,0,0,0,-0.115491502831309,0,0,0,0,0,-0.107551047040955,0,0.116548903447423,0,0,0,0,0,0.122625741610574,0,0,0,0,0,-0.0739125303737732,0,0.214318626074287,0,0,0,0.104673236574463,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.304277933350796,0,0,0,0.2573784754955,0,0,0,0,0,0,0,0,0,0,0.0470210281913638,0.271642188851167,0.174090853604993,0,0.104394833459035,0,0,0,0,0,0,0,0,0,0,0.01255898812868,0,0,0,0,0,0,0.0242679634857691,0,0,0,0,0,0,0,0,0,-0.0750820784352199,0,0,0,0,0,0,0
