,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X002304.SZ,X600276.SH,X000858.SZ,X000063.SZ,X000625.SZ,X600690.SH,X600118.SH,X600703.SH,X600031.SH,X600271.SH,X000100.SZ,X000559.SZ,X600066.SH,X600372.SH,X000157.SZ,X002236.SZ,X600741.SH,X600089.SH,X002241.SZ,X002475.SZ,X000338.SZ,X002292.SZ,X300124.SZ,X002465.SZ,X000568.SZ,X600177.SH,X300003.SZ,X600839.SH,X002129.SZ,X002294.SZ,X000977.SZ,X000547.SZ,X002074.SZ,X600867.SH,X002506.SZ,X000800.SZ,X600582.SH,X002008.SZ,X000623.SZ,X600498.SH,X000550.SZ,X002180.SZ,X000869.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.00532212878910397,0,0,0,0.198797593557281,0.246605317526365,0,0,0,0,0,0,0,0,0,0,0.0667474448078194,0,0,0,0,0,0,0,0,0.0178153620647827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0768629551239505,0.121636343416684,0.0287466472727807,0,0,0,0,0
X600104.SH,0,0,0,0,0,0.191155318009278,0,0,0,0.0890647112864528,0.293790342478132,0,0,0,0.0219919812181069,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0486484947083785,0,0,0,0,0,0,0
X002415.SZ,-1.73472347597681e-18,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,-0.146352927426026,0,0,6.93889390390723e-18,-0.0377479916094535,0,0.0071698942250134,0,-0.250993895528642,0,0.300637583396139,0.0664776733934807,0,0.186515435960684,0.114089072181734,0,0,0,0,0,0,0,0.0452848964459292,0,0,0,0.0582879294012081,0,0,0,0,0,0,-0.0400033225047757,0,0,0.0393736854581108,-0.0463466990526778,-0.0297742945800585,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264819567628015,0,0,0,0,0,0,0,0,0.127164530089267,0,0,0,0,0.158977170617921,0,0,0,0,0,0,0,0,0,0.0246523464165389,0,0.188056999404804,0,0,0.0319135755708026,0,0,0,0,-0.00976811742458221,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.123146797191239,0,0,0,0,0.285444830566259,0.0349031071546618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0574905774680652,0,0,3.46944695195361e-18,0,0,0,0.0126626616085116,0.0520217184042044,0,0,0.318096427289798,0,0,0,0,0,-0.0108536384469482,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0.0115192672880846,0,0,0,0,0,0,0.0310907719565912,0.120811244002497,0,0.236703127701264,0.263431406040479,0,0,0,0,0,0,0,0.125838842127842,0,0.0452231901195563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000355388050787539,0,0,0,0,0,0,0
X600276.SH,0.0506617374127237,0,0,0,0,0,0,0,0,0.0903162375398639,0,0,0,0.071064112163098,0,0,0,0,0,0.0952604514658343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525842208184631,0,0,0,0,-0.0786995152500283,0,0,0,0,0,0.190715168982691,0,0,0,-0.071427898965612,0.131235276322811,0,0,0,0,0,0
X000858.SZ,0,0,-0.00287628304859473,0,0,0,0.0488129643576443,0,0,0.0591376757514035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0903537728137436,0,0,0,0,0,-0.00611184542379761,0,0,-0.0180432163047348,0.0453120415472244,0.0307688337541914,0,0.0800005737446904,0.0258267753334251,0,-0.114266362558669,0,0,-0.208317832752112,0,0,0,0.0199079856823484,0.0451826161695024,-0.0652280949096548,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.120579953674968,0.264340961304752,0,0,0,0.124053873768767,0,0,0,0,0,0.101030799728082,0,0,0,0,0,0,0,0,0,0,0,0,0.0980892038164895,0,0,0,0.00812420388564925,0,0,0,0,0.0332335567395149,0,0,0,0,-0.0155371623259812,0,0,0,0,0,0,0
X000625.SZ,0,0.178337818168998,0,0,0,0.0348624784264457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640968851770135,0,0,0.197576970547605,0.0943144859751856,0.0286961496961544,0,0,0,0,0,0,0.0357332705350991,0,0,0,0,0,0,0.208407935037916,0,0,0,0,0,0,0,0,0.00438771530374191,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.064519785891237,0,0.137462795532038,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.373400989530813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888429025303994,0,0,0,0,0,0,0,0,0,-0.032769309322487,0,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0459652588293461,0.0621972198785817,0,0,0,0.539561761387347,0,0,0,0,0,0,0,0,-0.190168253796305,0.109412416438715,0,0,0,0,0,0,0.0692090120593728,0.112545206945779,0.0555527817746561,0,0,0.0177588177363487,0.334627424018843,0,0,0,-0.108374073671039,0,0,0,-0.0217898373364815,-0.0240574762527975,0,0,0,0,0,0
