,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X600031.SH,X002475.SZ,X000338.SZ,X002236.SZ,X000625.SZ,X601877.SH,X600487.SH,X002456.SZ,X002241.SZ,X002008.SZ,X600066.SH,X000100.SZ,X600809.SH,X300136.SZ,X002508.SZ,X300124.SZ,X300003.SZ,X002294.SZ,X600522.SH,X600867.SH,X600271.SH,X600089.SH,X000157.SZ,X002085.SZ,X000981.SZ,X000596.SZ,X600177.SH,X600699.SH,X600566.SH,X600498.SH,X002179.SZ,X300142.SZ,X600118.SH,X000661.SZ,X002129.SZ,X002049.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600066.SH,0,0,0.0359892040642843,0,0,0,-0.0412065166675625,0,0,0.0312902944711602,0,0,0,0.189711829570895,0,0,0,0,0,0,0,0,0.169559697037465,0,0,0,-0.110791362745873,0,0.278615583247362,-0.2458081011214,0,0.0918421769764865,0,0,0,0,0,-0.097173108746867,0,0,0,0,0,0,0,0,0,0,0.0283403573854873,-0.331685023290326,0,-0.0312443954362578,0.0858227896179627,0,0,0,0,0,0
X000100.SZ,0,0,3.46944695195361e-18,0,0,0,0.234667413940031,0,0.0681920910921376,0,0.046041619403768,0,0,0,0,0,0,0,0,0.00310953357873683,0,0.0585321293654612,0.225971463298616,0,0,0,0,0,0,0,0,1.0842021724855e-19,0.102927517095996,0,0,0,0,0,0.0391327860269048,0,0,0,0.0175554290028079,0.120660391481838,0.0826627377617323,0,0,0,0,0,0,-0.00851189864723801,0.02377529998196,0,0,0,0,0,0
X600809.SH,0,0,0,0.424357378794113,0,0,0,0,-0.0734611058814263,0,0.152363982795027,0,0,0,0,0,0,0,0.0136183737828045,0,0,0,0,0,0,0,0,0,0,0,0,-0.0485397384251354,0,0,0,0,0,0,0.170950087644273,0,0.14174002647118,0,0,0,0.00156852922580704,0,0,0,0,0.0349219749870038,0,0.0121130863293268,0,-4.33680868994202e-19,0,0,0,0,0
X300136.SZ,0,0,0,0,0,0,0,0,0.0260746253011454,0,0.0625898770655021,0,0,0,0,0,0,0,0,0.0776141467818602,0.240974639232631,0,0.0277390558547123,0,0,0,0,0,0,0,0.151674787492629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0748563124271976,0,0,0.0464498180433727,-0.0632424077921065,0,0,0,0,0,0
X002508.SZ,0,0,0.145813468291894,0,0,0,0,0.073928328170623,0,0.140023100980993,0,0,0,-0.0283279472536969,0,0,0,0,0,0,0,0,-0.0941060449138623,0,0,0,0.141576597527765,0,0,0.129425405436574,0,-0.104366791234987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14323729409662,0,0,0,0,-0.0265688834927489,0.0234459396566505,0,0,0,0,0,0
X300124.SZ,0,0,0,-0.20469076792057,-0.191406477314943,0,0,0,0,0,0,0,-0.0142907736189825,0,0,0.208729848812157,0,0,0.270176435575216,0,0,0,0.171443496103776,0.159046008157715,-0.116403247967711,0,0,0,0,0,0.37416516406457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0307997289258223,0,0,-0.0104188632218191,0.00829865121532491,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0416341695223215,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234187017359038,0.013521614236281,0.111461624427865,0,0.133135472861097,0.113018311624742,0,0,0,0.0206268802473459,-0.0250694802287145,0,0,0,0,0,0
X002294.SZ,0,0,0,0,0,0.143257930071585,0,0,0.0989593520045351,0,0.110931064054672,0,0.166222303860504,0,0.0212574930108271,0,0,0,0,0.0470036906879454,0,0,0,0,0,0,0.169309256960311,0,0.015372373331888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0220234937936877,0,0,0,0,1.73472347597681e-18,0,0,0.00985530274709554,-0.0495440279929729,0,0,0,0,0,0
X600522.SH,0.253931986293983,0,0,0,0,0,0,0,0.0449082247549567,0,0,0,0,0,0,0,0,0,0.0525327696118674,0.145708566301021,0,0,0.121153534034004,0,0.0909671649523342,0,0.0812113338058469,0,0,0,0,0,0,0.0858647311071429,0,0,0,0,0,0,0,0,0,0.100649971762492,0,0.0531703015228249,0,0,0,0.141411867115439,0,-0.0109247073191718,0.0561498282695838,0,0,0,0,0,0
X600867.SH,0,0,0,0,0,0,0.0196349463826188,0,0,0,0.0626031285366347,0,0,0,0,-0.0580387889768261,0,0,0,0.115571849355761,0,0,0.03485397059656,0,0,0,0,0,0,0,0,0.218528432940551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139884865303805,0,0,0,0,-0.0122423260866511,0.00275168773758323,0,0,0,0,0,0
