,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X003816.SZ,X002304.SZ,X000568.SZ,X002475.SZ,X000725.SZ,X000063.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000596.SZ,X000661.SZ,X600183.SH,X002236.SZ,X300003.SZ,X601877.SH,X002179.SZ,X002007.SZ,X600703.SH,X000157.SZ,X000100.SZ,X002241.SZ,X300142.SZ,X600271.SH,X002463.SZ,X000625.SZ,X300124.SZ,X300014.SZ,X600867.SH,X000977.SZ,X002008.SZ,X000066.SZ,X002049.SZ,X600066.SH,X300146.SZ,X600498.SH,X300136.SZ,X002506.SZ,X600177.SH,X002129.SZ,X002371.SZ,X000050.SZ,X600118.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.385460257527263,0,0.0531975114065014,0.0463675305879635,0,0,0,0,0.165921807934768,0,0,0,0,0,-0.184216619347472,0,0,0.0275820089591695,-0.0813358537285851,0,0,0,0,0,0.0566228184361968,0,0,0,0,0,-0.0183297813740807,0,0,0.0261250983320431,0.0607701908034345,0,0.0213362053801972,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00321564225852692,0.00817854894926744,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.276809222862403,0.249106901960822,0.0482154074850461,0,0,0,0,0,-0.0326840866454398,0.257475237560504,0.0348851440310786,0,-0.0497295931607232,0,0,0,0,0,0,0,0,0,0,0,-0.0297300538044078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090536662104071,0.0765303374877359,0,0,0,-0.0189441961635662,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.0336544976319621,0,0,0,0.174577188092528,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.190113017848223,0,0,0,0.0196833889280612,0,0,0,0,0,-0.00152354226751413,0.186193474652882,0,-0.0271761944700913,0,0,0,0.179385347898128,0,0,-0.115541843842612,0.16078185170356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.030739386929495,0,0
X000651.SZ,0,0,0,0,0,0,0,0.222605618937115,0,0.0924086444330101,0,0,0,0,0,0.14196421377503,0.164543934826845,0,0,-0.0620976831626743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0337646179157642,0,0.0429308463438908,0,0.117826651564686,0,0,0,0,0,0,0,0,0,0,0.00437890599500281,-0.0201025403771036,0,0,0,0,0,0
X002415.SZ,0,0.0727741906860955,0,0,0,0,0,0,0,0.161297116706191,0,0,0,0,0,0,0,0,0.125470358266595,0,0.190388904016865,0,0,0,0,0,0,0,0.202513278698344,0,0,0,0,0,0,-0.0210541289387211,0,0,0,0,0,0,0,0,0,0,0.0389103118107352,0,0,0,0,0,0.012170298055812,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0685135070591646,0.257935741335812,0,0,0,-0.11837443479583,0,0,0.0104927416188321,0,0,0,0,0,0,0,0,0.0309636066260134,0.0818505910941812,0,0,-0.00705911057862744,0.0520617575857398,0,0,0,0.089953282735827,0.00760439579978777,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0867458959413491,0,0,0,0,0,0,0,0,-0.0185464337569892,0,0,-0.0282047850552759,0,0,0,0,0,0,0,0,-1.0842021724855e-19,-0.0363059428434826,0,0,-0.0316810705622555,-0.0496277843599267,0,0,0,0.375581546780164,0,0
X002304.SZ,0,0.159035508423754,0,0,0.00175691991075438,0,0,0,0.41268090798024,0,0,0,0,0,0,0.11743238282506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402518321475377,0,0,-0.0254829578322948,0,0,0,0,0,0,0,-0.123673261742057,0,0,0,0.188846749449801,-0.022110727408983,0.0460957174870184,0,0,0,0.0310840944354059,0,0
X000568.SZ,0,0.631212874975402,0.188297122551506,0,0,0,0,2.16840434497101e-19,0,0.0238831977333601,0,0,0,0,0,0.0620342336734795,0,0.0856346021911264,0,0,0.00572887760662169,0,0,0,0,0,0,0,-0.169963176255041,0,0,0,-0.124787253184138,0,0.0237646575820176,0,0,0.052478400696286,0,0.0596685230255395,0,0,0,0,0,0,0,0,0,0,0,-0.00216711982701152,0,0,0,0,0,0,0
X002475.SZ,0.151486818144367,0.305439699589475,0,0.189947026959806,0,0,0,0,0,0,0,0,0.0755625754973509,0,0,0.0685013491045175,0,0,0,0,0.279909755142648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102855195338297,0.027822532297638,0,0,-0.0314835049951683,0,0.145996449551661,0,0,0,0.00229178855903808,0,0,0,0.0490867938644609,-0.0433476607073019,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0.0266864675841934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331729379643933,0,0,0.0186395294728668,0,0,-1.0842021724855e-19,-0.00515660223756071,0,0,0,0.137888436158351,0,0,0,0.0674132789147962,-0.0692437703931849,0,0,0,0.0889037670881352,0,0,-0.0710436335093328,0.101061464095011,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0915158221687595,0,0,0,0,0,0,0.115226879590192,0,0,-0.0362793930573122,0.345634227720658,0,0,-0.115963195962259,0,0,0,0,0,0,0,0.0836160069361896,-0.148568815167538,0,0,0,0,0,0.155784629801712,0.14578755958106,0,0,0.160390004455693,-0.0427010339997808,0,0,0,0,0,0.556374628616771,0,0.0404274212501929,0.0196127715538863,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0.111348356522826,0,0,0,0,0.0434165984892069,0,0,0,0.0651392544200047,0,0,0,0,0,0,0,0.270534390649017,0,-0.0520973686942586,0,0,0,0,0,0,-0.0637503870960753,0.0445955319301652,0,0.0733974940824497,0,0,0,0,0,0,0,0,-0.00821623028340231,0,0,0,0,0.0189699177168201,0,0,0,0,0,0
