,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002475.SZ,X000651.SZ,X002304.SZ,X600690.SH,X600104.SH,X600031.SH,X000725.SZ,X300124.SZ,X300014.SZ,X000661.SZ,X000338.SZ,X000063.SZ,X002241.SZ,X000625.SZ,X600703.SH,X003816.SZ,X002371.SZ,X000596.SZ,X002129.SZ,X000100.SZ,X300142.SZ,X002049.SZ,X000799.SZ,X002179.SZ,X600741.SH,X000157.SZ,X600702.SH,X600460.SH,X601877.SH,X600779.SH,X002007.SZ,X600584.SH,X601799.SH,X002236.SZ,X002414.SZ,X300003.SZ,X002074.SZ,X300146.SZ,X600183.SH,X000800.SZ,X600089.SH,X002508.SZ,X000066.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.115019933260388,0.115634305145138,0,0.0239554692095291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245663753203423,0,0,0,0,-0.0185881696447066,0,0,0.0420744621803683,0,0,0.0695636980875691,0.0676440851558744,0,0,0,0,0,0.0505799751611689,0,0,0,0,-0.156658980711185,0.00412141253444985,0,0,0,0.0214436596852491,0,0,0,0,0,0
X000858.SZ,0,0,0,0.231398801447476,0.104817004100327,0.317000711505149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222736961675597,0,0,0,0,-0.0169341088659454,0,0,0,0,0,0,0,0,0.0749714349161231,0.0630587762455562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.101106654905722,0,0,0,0.0126033977869542,0,0,0,0,0,0.097804006744533,0,0,0,0,0,0,0.0147014969996963,0,0.0720825871660108,0,0,0.0258418506520784,0,0.0731977644235146,0,0,0,0,0,0,0,0,0.0944697555989087,0,0,0,0,0,0.00701497825675783,0,0,-0.0139570584480109,0,0,0,0,0.00308469871771443,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.0611993812758491,0,0,0,0,0,0,0,0,0.096955391287735,0,0,-6.93889390390723e-18,0,0,0,0,0,0.0418325461220313,0.114855712438817,0,0,0,0,0,0.0180307187189428,0,0,0,0,0,0,0,0,0,0,0,0,-0.0801944691944743,0,0,0,0,0.160303893524053,-0.0104221062370579,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.212027671108435,-0.010456916084701,-0.103890875275746,0.0954092839695696,0,0,0,0,0.233061181116472,0,0,0,0,0,0,0,0,0,0,-0.0672346239781599,0,0,0,0.530593179604161,0,-0.290974745811764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0258372405144686,0,0,0,0.0461646091326994,0,0,0,0.011246317863751,0,0
X000568.SZ,0,0.677166611797533,0,0,0.0507450019167261,0,0,0,0.0745879246972749,0,-0.240654010411212,0,0,0.0541542223279936,0,0,0,0,0,-0.0170341481368839,0,0,0,0.169278178371907,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0541254190715651,0.00791572239604187,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0150797038530224,0,0,0.018770038844306,0,0,0,0.014465712574263,0,0
X002475.SZ,0.14189661592093,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133418524394518,0,0,0,0.0669180140754043,0,0.178766511832716,0,0,-0.142590906127785,0,0,0,0,0,0,0,0,0.0266262252539958,0,0,0.0154082981197603,0,0,0,0,0,0,0,0,0,0,0,-0.0146484082323849,0,0,0,0.02042872180263,0,0,0,0,0.0818962842064247,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.230813326235131,0,0,0,0,0.136410593811582,0,0,0.0449467311435897,0,0.0302567831046503,0,0,0.0701529390259061,-0.00305715169469835,-1.73472347597681e-18,0,-0.0251336391132813,0.033874029075041,0,-0.123282953960616,0.00878242913236749,0,0.0403632328989257,0,0,0,-0.0761900927488167,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0608408896714576,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.15281678564457,0,0,0,0,0.327355896808096,0,0,0,0,-0.17936757356158,0,0,0,0,0,0.498172973970282,0,0,0.0263630101614452,0,-0.0585085542352829,0.0724142880819656,0,0,0.127314248017503,0,0.0585609211108618,0,0,0,0,0,0,0,0,0,0,0.0532036781495029,0.260449705109266,0,0,0,0,0,0,0,-0.13474802845668,0.081448008437313,0,0,0,0,0,0
X600690.SH,0,0,0.206401137196512,0,0,0,0,0,0,0,0,0,0.417775764579289,0,0,0,0,0,-0.0354225284689898,0,0,0,0,0,0.0181539490028149,0,0.0601464657795025,0,0,0,0,0,0,0.0257086010008598,0,0,0,0.041197290881756,0,0,0,0,0.00560444210244668,0,0,0,0,0,0,0,-0.068167046747832,-0.0275052905575737,0.0143914532616527,0,0,0,0,0,0
