,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000858.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X002292.SZ,X600271.SH,X600118.SH,X000100.SZ,X600031.SH,X000559.SZ,X002241.SZ,X600066.SH,X002475.SZ,X002236.SZ,X600741.SH,X600372.SH,X000157.SZ,X000338.SZ,X002049.SZ,X600089.SH,X002465.SZ,X300124.SZ,X600582.SH,X600177.SH,X000568.SZ,X601877.SH,X002074.SZ,X002506.SZ,X002294.SZ,X300003.SZ,X000869.SZ,X300001.SZ,X002129.SZ,X600867.SH,X002085.SZ,X600839.SH,X600252.SH,X000977.SZ,X002426.SZ,X000547.SZ,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.139009067064893,0,0,0,0,0.0467692329509721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0.166685243021739,0,0,0,0,0,0,0,0.0592683600096217,0,0,0,0,0,0,0.0301682014892111,0,0,-0.0278470221943069,0,0,0,0,-0.00138806344889886,0.00328831450660728,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.332148405620083,0,0,0.0845560007909949,0.0202918771732312,0,0,0,0,0,0,0,0,0,0,0.080222373103679,0,0,0.0193711647756277,0,0,0,0,0,0,0,0,0.00779148393359147,0,0,0,0,0.0482867244478668,0,0,0,0.0199019575767014,-0.159794781810886,0,0,0,0,-0.00363223271113376,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0184155149850381,0,0.13208933840307,0,0,0,0.0911502333457327,0,0.0989404490153758,0,0,0,0,0,0.0791611696440549,0,0.0103880776167792,0.241749025303711,0,0,0,0,0,0.0348832742524066,0,0,0,0,0,0,0,0,0,0.0189463364989711,0,0.0147104187034958,0,0,-0.0161650833499412,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0.144600635751665,0,0,0,0,0.0423405613243473,0,0,0,0,0,0.0847880870808303,0,0,0,0,0,0,0.0322684481580759,1.73472347597681e-18,0.0760877091749009,0,0,0,0.0570070432517568,0,0,0,0,0,0,0.044386484144409,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.0711841636474377,0,0,0,0,0,0,0,0,0.0455533563304238,0,0,0,0,0,0,0,0.0318910272354014,0.0270240165575868,0,0,0,0,0.0276003307537773,0,0,0,0.017163910147525,0,0,0,0,0.140980130175517,0,0,0.129479447513493,0.0200422138338666,0,0,0.038578981011667,0,0,-0.00953094441597992,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0587543117076578,0,0.0142112587290695,0,0,0,0,0,0,0,0.0768713238156269,0,0,0,0,0.11816862343164,0,0,0,0,0,0,0,0,0.105517026140991,0,0,-0.160032056355032,0,0,0,0,0,0,0,0.0681320344270637,0,0,0,0,0.0439182858902325,0,0,-0.0576686646802145,0.0442468325803595,0,-0.188622663024657,0,0,0,0
X002304.SZ,0,0,0,0.0380170285885275,0,0,0,0,0,0,0,0,0.0845821175971406,0,0,0,0,0,0,0,0,0.13335377064278,0.372569262852544,0,0,0,0,0,0,0,0,0,0,0,0,0.0260824230132878,0,0.119926661643702,0,-0.00245643093639256,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.000636154249358774,0.0164514026588543,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.0619326001473718,0,0,0,0,0,0,0.0676558264955035,-0.0518714189462936,0,0,0,0,0,0.158006583738114,0,-0.102496154562027,0,0,0,0,-0.0570973021398054,0,0,0,0,0,0,0,0.0167269423354667,0.038855232442183,0,0,0,0.0933874023596471,0,0,0,0,0,0,-0.0780427129348864,0.0732456741778762,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0.0652310039732585,0,0,0,0,0,0,0,0,0,0,0.0557375717415692,0,0,0,0,0.0743113618928787,0,0.181675407685608,0,0,0.23237039051484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259315827787092,0,0,3.46944695195361e-18,0.072030129494058,0,0,0,0.096411255587657,0,0,-0.0244959140224882,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.113363534869878,0,0.0175949138318832,0,0,0.0135341889226472,0,0,0,0,0,0.0490392713862141,0,0,0.00330876900710641,0,0,0.212110106066646,0.0287536922328771,0,0,0,0,0,0,0,0,0.00612834474594804,0.093432074484633,0,0,0,0,0,0,0,0.0412322390112546,0,0.0088626704905013,0,0,0,0,0,0,0
