,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X000651.SZ,X002304.SZ,X600690.SH,X002475.SZ,X002371.SZ,X000063.SZ,X300124.SZ,X600104.SH,X000725.SZ,X003816.SZ,X600031.SH,X000596.SZ,X002129.SZ,X300014.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002049.SZ,X600089.SH,X002236.SZ,X002179.SZ,X000100.SZ,X600372.SH,X002241.SZ,X000661.SZ,X000977.SZ,X600584.SH,X600702.SH,X002180.SZ,X601877.SH,X000157.SZ,X600522.SH,X300142.SZ,X600460.SH,X600741.SH,X002074.SZ,X002463.SZ,X600183.SH,X000733.SZ,X300003.SZ,X000066.SZ,X002007.SZ,X600487.SH,X002294.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.126277116140581,0,0,0,0.122022307984387,0,0,0,0,0.019639100957651,0,0,0,0,0,0,0,0,0.0820410452168264,0,0.0108844069676593,0,0,0,0,0,0,0,-0.00927272396672109,0,-0.0084307201454259,0,0.201139859497402,0,0,0,0,0,0,0,0.179598481219532,0,0,0,0,-0.0383539975433454,0,0,0,0,-0.0161003313937449,0.0114755131668153,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0395870739398569,0.460554705194554,0.0517929179578865,0.044829319669932,0,0.0106410350477013,0,0,0,0,0,0.0421531775938048,0,0,0.0937681683723352,0,0,0,0,0.056095579421192,0,0,0,-0.0712082787851965,0,0,0,0.0117756077625176,0,0,0,-0.0136175702820959,0,0,0,0,0,0,0.0366761153553863,0,0,0,0,0,0,-0.0355499968796702,-0.0162781873247178,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.173164379639684,0,-0.0343817760142316,0.0795099100990275,0,0.0242709304333414,0,0,0,0,0,0,0,0.0194181656264454,0,0.0595319171685039,0,0,0,0,0,0.172997683484266,0,0,0,0,0,0.0809873832751525,0,0,0,0.184292586085492,0,0,0,0,0,0,-0.160731300585297,-0.00179027689925554,0.0832326430962708,0,0,0,0,0,0,0,-0.000385054127221268,0,0,0,0,0,0
X000568.SZ,0.000125425514231156,0.360927713220096,0.127483138816679,0,0,0,0,0.378205108937058,0,0,0.133306835502867,0,0,0.0183807028314617,0,0,0,0,0,0,0,0,0,-0.0623435240547032,0,0.0976371784697244,0,0,0,0,0,0,-0.241245025503092,0,0,0,0,0,0,0,0,0,0.0531185503657956,0.021213178034612,-0.0146923266379707,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0
X600276.SH,0,0.0936253670783074,0,0,0,0,0,0,0,-0.022728308784975,0,0,0,0,0,0,0,0,0,0,0.124044506590548,0,0,0,0,0.0334865427039152,0,0,0,0,0,0,0.116280026181493,0.109540038149925,0,0,0,0,0,0,0,0,0,0,0,0.148108534077204,0.0233670886792752,0,0,0.0989413357910034,0,-0.0116707044899683,0,0,0,0,0,0,0
X600809.SH,0,0.156548557180879,0,0,0,0,0,0.139090682844141,0,0,-0.00750033033258269,0,0,0,0,0,0,0.0767869866479543,0,0,0,0,0.0558905191781734,0,0,0.045763525775886,-0.202712304028513,0,0,0,0.0690347214616361,-0.0276534106220626,0,0,0.142052521867043,0,0,0,0,0,0,0,0,0,0,0,0.00975420761429865,0,0,0,0,0,-0.0386173354265724,0,0,0,0,0,0
X000651.SZ,0,0.0580582169524477,0,0,0,0,0,0,0.155849824267249,0,0,0.0229743467911443,0,0,0,0,0,0,0,0,0.205692840185999,0,0.000615914050356619,0.0101912502523317,0,0,0,0,0,-0.00316355659048555,0,0,0,0,0,0,0,0,0,0.0812994055701383,0,0,0,0,0,-0.0367240218760412,0.00382885372734592,0,0,0,-0.0353121607893978,0,-0.0415953011111415,0,0,0,0,0,0
X002304.SZ,0,0.381397479276476,0,0.266176823513142,0.143576162137894,0,0,0,0,0,-0.00136808818114401,-0.0789315433554511,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0896433765153255,0,0,-0.0976045279151524,0,0.0187321052858488,0.0695187271184147,0.115410819836679,0,-0.064918730657154,0,0,0,0,0,0,0,0.0151595736859713,0,0,0,0,0,0,-0.0890713581778087,0,-0.0203643128767756,0.00867110327599908,0,0,0,0,0,0
X600690.SH,0,0,0,0.0633205391165519,0,0,0.230532878198428,0.324870390819203,0,0,0,0,0.0482525787727697,0,0,0,0,-0.199642185707842,0,0,0,0,0,0,0,-0.234415170973841,0,0,0.0664433132968054,0,0,-0.00130941317749877,0.0948602420668534,0,-0.000139572339320922,0,0,0,0,0,0,0,0,0.0464176250705719,0,0,-0.00416531727370918,0,0,0,0,0.0311400729641992,0,0,0,0,0,0,0
X002475.SZ,0,0,0.0302160251995104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283428248741386,0,0,0.0991166540423297,0.258843863115959,0,0,0,0,0,0.00730842746093817,0,0,0,-0.0107846976468037,0,0,0,0,0.0493305908884906,0.0365220177832093,0,0,0.120142250319347,0,0,0,0,0,0.0519578946151146,0,0,0,0.0575085874423917,0,0,0,0,0,0
