,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X600276.SH,X002475.SZ,X600690.SH,X002304.SZ,X300124.SZ,X000651.SZ,X600104.SH,X300014.SZ,X002129.SZ,X000725.SZ,X003816.SZ,X600031.SH,X000596.SZ,X002371.SZ,X002049.SZ,X000625.SZ,X000063.SZ,X002179.SZ,X000338.SZ,X600703.SH,X600089.SH,X002180.SZ,X300142.SZ,X000661.SZ,X600522.SH,X000733.SZ,X002241.SZ,X601877.SH,X000100.SZ,X002074.SZ,X600741.SH,X600460.SH,X000157.SZ,X600702.SH,X600584.SH,X300003.SZ,X600884.SH,X000066.SZ,X002414.SZ,X600487.SH,X002294.SZ,X000799.SZ,X002007.SZ,X600563.SH,X002236.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.119573661365734,0.114475458266637,0,0.295323032141178,0,0,0.220415767702648,0,0,0,0,0,0,0,0,0,0,0,-0.0965893177724484,0,0,0,0.204056306100926,0,0,-0.00239930360612086,0,0,0,-0.0233455465943808,0,0,0.108283399315598,0.00305023574690496,0,0,0,0,0,0,0,0,0.0108617412713148,0,0.0557199532750113,-2.16840434497101e-19,0,0,0,0,-0.00923084520128721,0,0,0,0,0,0,0
X000858.SZ,0.202683868606273,0,0.0197650300919084,0,0.311942958812935,0.0894429428309015,0,0,0.0620040690995147,0,0.113797956814023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0575086126841544,0,0.0071974719323979,0,0,0,0,0,0,0,0,0,0.100792208624374,0,0,0,0,-0.0484861299605846,0,0,0,0,-0.0242609468185567,0,0,-0.0192168857063697,0,0,0,0,0,0,0
X600809.SH,0.283495166642567,0,0,0,0.441747612764776,0,0,0,0,0,0,0,0,0,0,0,0,0.0156840593138254,-0.0187275442731276,-0.185170681296849,0.0209453113994344,0,0,0,0,0,0,-0.0119035976042522,0,0,0,0,0,0,0,0.072744828909127,-0.0456145028636491,0,0.198210098250417,0,0,0,0.0247020294776095,-0.0224625601985144,0,0,0,0,0,0,0,0,0,-0.000840963124800666,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.0192069326505434,0,0,0,0,0,0,0.0259594201812787,0.200818605502943,0,0,0,0,0,0,0,-0.0552540955916758,0.156700095698552,0.0731913682496567,0.140335289114827,0,0.16986561402969,0,0,0,0,0.0227754782816435,-0.0172571870420606,-0.0448188015723134,0,0,0,0,0,0
X000568.SZ,0.400183907086592,0.205378104314361,0.657907372982775,0,0,-0.0530923876180394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0180693321905635,0,0,0,0,0,0,0,0.0729477242260795,0.0636345429182001,0,0,0.0151906815031613,0,0,0,0,0,0,-0.0809623838329819,0,0,0,0,0,0,0,0,0,0,0,-0.0266319112651267,0.0369926614504889,0,0,0,0,0,0
X600276.SH,0,0,0,0.0197665399327376,0,0,0,-0.00463601127140225,0,0,0,0,-0.0929962898728642,0,0,0,0,0,0.0168379577248443,0,0,0,0,0,0,0,0,0.0582413079718637,0.117770190019184,-0.14189159296184,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.091843769910552,0,0,0,0,0.0250975644312763,0.0479341410742271,0.0527887726550489,-0.0386208966447549,0.0852891068921178,0,0,-2.71050543121376e-20,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.137722697251057,0,0,0.121394722895573,0,0,0,0,0,0.0642373259955532,0,0,0,0,0,0,0,0,0,0,0,-0.0366263074623001,0.233360937523557,0,0,0,0,0,0,0.0391577005040716,0,0.118020774564659,0,0,0.036026650832056,-0.11736261150875,0,0,0,0,0,0,-0.0138550848564541,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.342318067590122,0,0,0,0,0,0.16632267711164,0,0,0.0103909247195336,0,0,0,0,0,0,0,0,0,0,0.0266475850943545,0.106210271818094,-0.110411544154373,0,0,0.0122963541958561,0,0.0205919421499537,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0522279452627472,0,0,0,0,0,-0.0320225655859673,0,0,0,0,0,0,0
X002304.SZ,0.112157769221504,0.129783371680192,0,0,0.0477426330156243,0,0.0856212116015884,0.0525987849705864,0,0,0,0,-0.0518290741176732,0.0738707267563388,0,0,0,0,0,0,0,0,0,0,0.0597336319816797,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0.0362594899101192,0,0,0.1737192587199,0,0,0,0,-0.280430321815094,0,0,0,0,0,0,0,-0.0306321167582643,-0.025016923549358,0,0,0,0,0,0
X300124.SZ,0,0,-0.211404054713493,0,0,0,0.403562573977821,0,0,0,0,0,0,0,0,0,0,0,-0.0454602176599115,0.0581012751667928,0,0,0,0,-0.131707696355663,0,-0.00134028241410944,0,0.15306107185791,0,0,0,0,0.0119996429185741,0.28594176934754,0,0,0,0,0,0,0,-0.0143254825564152,0,-4.33680868994202e-19,0,0,-0.198139577670375,0,0,-0.0183654585865679,0.00699825189373083,0,0,0,0,0,0,0
