,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600031.SH,X600276.SH,X600690.SH,X000100.SZ,X000338.SZ,X000157.SZ,X600372.SH,X600089.SH,X600741.SH,X600703.SH,X002129.SZ,X002241.SZ,X600271.SH,X600118.SH,X600177.SH,X600066.SH,X600582.SH,X002236.SZ,X601877.SH,X000581.SZ,X000800.SZ,X000568.SZ,X000559.SZ,X000623.SZ,X000550.SZ,X600060.SH,X600839.SH,X002475.SZ,X002294.SZ,X000977.SZ,X300124.SZ,X300146.SZ,X002292.SZ,X000869.SZ,X000050.SZ,X002007.SZ,X000400.SZ,X002465.SZ,X600166.SH,X002008.SZ,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0.109759447593324,0,0,0,0,0,0.163562231521584,0.0616182924912945,0,0,0,0,0,0,0.0212786248217638,0,0,0,0,0,0,0,0,0,0.0962299203378843,0,0,0,0,0,0.026205788825077,0,-0.0210195557939543,0,0,0,0,0,0,0,0,0,0,0.0515983952803252,0,0,0,0,0,0,-0.0119090022926088,0,0,0,0,0,0
X600519.SH,0,0,0.201099943302436,0,0,0,0.122526467810078,0,0,0,0.0235470350120522,0,0,0.10004112657857,0,0.0777651083178457,0,-0.00437603099644884,0,0,0,0,0.0300851198680053,-0.0380335944204932,0,0,-0.0371892384234893,0,0.065768353677051,0,0,0,0.00960921618507999,0,0,0,0,0,0,0,-0.0534932145162234,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.0290965093992864,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,-0.07637995028861,0,0,0,0,0,0,0,0,0,0,0.083618561770074,0.174684108982473,0,0,0,0,0,0,0,0.168460356306194,0,0.0386825850601038,0,0,0.169120453511934,0.108579864499278,0,0,0,0,0.0987851959500369,0,0,0.105758282230221,0.210848734581698,0,0,0.0396814079219879,0.0865273078227466,0,-0.0357589946527043,0,0,0,0,0,0,0
X000651.SZ,0,0.1933515076641,0,0,1.73472347597681e-18,0,0.0126595718938218,0,0,0,0,0.0594191974749364,0,0.248247218939186,0,0,0,0,0,0,0,0.0168733111585656,0,-1.73472347597681e-18,0,0,0,0,0,-0.00609770476848019,0,0,0.0249822683873435,0,0,0,0,0,0,0,0,0.0218707892647188,0,0,0,0,0,0,0,0,0,4.94881602935769e-05,-0.0732624733714669,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.13109057168373,0,0,0,0.0758215278474321,0,0,0,6.93889390390723e-18,0.0958566220065751,0,0,0,0,0,-0.127876402405077,0.0742166406839151,0,0.0346508772412143,0,0,0.0396541025339837,0,0,0.223567246953521,0.23100526223515,0,0,0,0,0,0.0448197644785484,0,0,0,0,0,0.133306673501591,0,0,0,0,0,0.0127405158359651,-0.019622136428426,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0.146298993916825,0,0,0,0,0.0346481622665057,0,0,0.0338337500044377,0,0,0,0,0.197290715686499,0,0.0287571200705618,0,-0.0288911631702233,0.0280468014208754,0,0.0441510055899714,-0.0648341358657115,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0673161739466381,8.67361737988404e-19,0,0,0,-0.0359829753915719,-0.00521211360875457,0,0,0,0,0,0.0251138447969056,-0.0338054431480188,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0.249197350726422,0.0603688793930107,0,0,0,0.0302626143739057,0,0,0,0,0,0,0,0,0,0,0.169173742645868,0.192375335410042,0,0,0,0,-0.126457880745071,0,0,0.00267276164097842,0,0.0605233912869261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00411237302040867,-0.0620766261242237,0,0,0,0,0,0
X000858.SZ,0.0109464118981252,0,0.0409369503660367,0,0,0,0.108571970869125,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.0476759070477029,0,0,0,0,0,0,0.0485339303603208,0.0145899396199824,0,0,0,0,0,0.122734068288661,0,0.103563850662293,0,0,0.172445110890606,0,0,0,0,0,0,0,0.0346754978207081,0,0,0,0,0,0,0,0,0.012863574734179,0,0,0,0,0,0
X000063.SZ,0.000262384419612176,0,0,0.0110017840895634,0,0,0,0,0,0.0261135647076544,0,0,0.160780897005464,0,0,0,0.0405399642937408,0,0,0.029291486026866,0,0,0,0.0375310227656002,0,0,0,0,0,0,0,0,0.136400496430898,0,0,0,0,0,0,0,0,0,0,0,0,0.0842529275473845,0,0,0,0.00663439290275439,0,0,-0.0145426724681644,0,0,0,0,0,0
X600031.SH,0.18232432412222,0,0,0,-0.0184668926031961,0,0,0,0,0,-0.0213086053675397,0,0,0,0.581523285196188,0,0.0844294488303031,0,0,0,0,-0.0117013630422665,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00793546379214734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159639732367936,0,0,0,0
