,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X000725.SZ,X003816.SZ,X002304.SZ,X600031.SH,X600690.SH,X000568.SZ,X000338.SZ,X600703.SH,X000661.SZ,X000100.SZ,X600741.SH,X002241.SZ,X600809.SH,X300014.SZ,X002371.SZ,X000596.SZ,X601877.SH,X002236.SZ,X600183.SH,X000977.SZ,X300003.SZ,X002007.SZ,X002129.SZ,X300124.SZ,X000625.SZ,X000157.SZ,X002456.SZ,X002180.SZ,X600584.SH,X300142.SZ,X000066.SZ,X600118.SH,X300136.SZ,X600271.SH,X002008.SZ,X002179.SZ,X002463.SZ,X002049.SZ,X002414.SZ,X000050.SZ,X002185.SZ,X600699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,-0.0206696084674517,0,0,0,0.21640581785888,0,-0.0887719874463732,0,0,0,0,0,0.117959201859443,0,0,0.139938977336185,0,0,0,0,0.0713854853664289,0,0,0,0,0,0,0,0,0.176703845845096,0,0,0,0,0,0,-0.174862617714833,0,-0.0487340381619956,0,0.0266196380647496,0.0989021700300784,0,0,-0.0589872379828808,0,0,0,-0.0740887394953573,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.0130715037017732,0,0,0,0,0.440571801776393,0,0,0,0.0770025263819029,0,0,0,0,0.0219953570673847,0.17775709208304,0,0,0,0,0,0,0,0,0.0479787753562684,0,0,0,0,0,0.0226595898884699,0,0.0650967049216698,0,0,0,0,0,0,0,0,0.0214538143245553,0,0,0,0,0,0,0,0,0
X600276.SH,0.159948958040055,0,0,0,0,0,0.0214139859072138,0,0,0,0,0,0,0,0,0,0.118439734944771,0,0,0,0,0,0.0157317868554057,0,0,0,0,-0.0875199178676737,0.16538793582042,0.0978281543772461,0,0,0,0,0,0,0,0.0297360479263285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139632629022643,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0163171587276795,0,0,0,0.0292045533298169,0,0,0,0.142869800448686,0,0,0.0361673268544904,0,-1.73472347597681e-18,0,0.0835542198320784,0.0279820576146974,0.0193052747910226,0,0,0,0,0,0,0.0860137918368756,0,0,0,0,0.049783203733071,0,0,0,0,0,0,0.0799638329115127,0,0,0,0,0,0,0.0453301752975515,0,0,0,0,0,0,0.000423301305241417,0,0
X002415.SZ,0,0,0,0,0,0,0.138228797906312,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0.0299691702450382,0,0.123625932736769,0,0,0.0265031457737117,0,0,0.236567526609249,0,0,0,0,0.0477652690779584,0,0.234482433782728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00261984874580043,0.00772433752325549,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.223009513369547,0,0,0.0437659361798406,0.0322958673780806,0,0,0,0,0,0.182163152052463,0,0,0,0,0,0,0,0.00545676033121436,0,0,0,0.138826984044648,0.110841974506052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288768730150514,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0.0286207761825219,0,0,0,0,0,0,0,0,0,0,0,0.133787297268578,0,0,0.188861917340483,0,0.0524600704438082,0,0,0,0,0,0,0,0,0,0,0,0,0.00098187096188181,0,0,0,0,0,0,0,0.405092874168458,0,0,0,0,0,0.00238837720394436,0,0,0,0,0,0,0,0.00777304950315991,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0417046126699014,0,0,0,0,0.220748334983758,0,0,0,0,0.0507682608825594,0,0,0,0,0,0,0,0,0.0533244866179155,0,3.46944695195361e-18,0,0,0,0.0545181286876408,0,0,0,0.215582125170513,0,0,0,0,0,0.00957773462379635,0,0.102377681426297,0.133834910774032,0,-4.33680868994202e-19,0.0206549969681759,0,0,0,-0.000324523727631024,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.158760302184268,0,0,0,0,0,0.0122525445761415,0,0.403563360805557,0,0,0,0.0602297167097078,0,0,0,0,0.0185163066777021,0,0,0,0,0,0,0,0,0.053253167624003,0,0,0,0,0.125178458007834,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,-0.0096641331423845,0,0,0,0.0082133168139087,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.235516280116794,0.00256008249278913,0,0,0,0,0,0,0,0,0,0.0280673597117145,0,0,0.0720979270552957,0,0,0,0,0,0,0,0.115961559361197,0,0,0,0.145926963719094,0,0.196155760108005,0,0,0,0,0,-0.00548823315433484,0.0128024839008843,0.0509554324278049,0,0.0665545732123732,0.0121293654903467,-0.000233822086298538,0,0,0,0,0,0
