,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X003816.SZ,X002304.SZ,X000725.SZ,X000063.SZ,X600031.SH,X000568.SZ,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000661.SZ,X600703.SH,X002241.SZ,X300003.SZ,X000596.SZ,X600183.SH,X000100.SZ,X601877.SH,X002236.SZ,X000157.SZ,X002007.SZ,X300142.SZ,X300124.SZ,X000066.SZ,X300014.SZ,X002179.SZ,X000625.SZ,X000977.SZ,X002371.SZ,X002463.SZ,X300136.SZ,X600271.SH,X002008.SZ,X002456.SZ,X600177.SH,X600584.SH,X002506.SZ,X000050.SZ,X600066.SH,X002180.SZ,X600487.SH,X600498.SH,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.219029757278281,0,0,0,0,0.151401155749554,0.437002144813873,0,0,0,0.0408327949777822,0,0,0,0,0.149091230374903,0,-0.0206394642668172,0,0,0,-0.00672822220406729,0,0,0,-0.120230317689897,0,0,0,0,-0.0447910769213099,0,0,0,0,0,0,0,0,0,0.0465553339913041,0,0,0,0,-0.0185413743939278,-0.00539178527719664,0,0,0,0.022188923698249,0,0
X000858.SZ,0,0,0,0,0,0,0.0623257663595588,0,0,0,0.0689548290863295,0,0.661394424362588,0,0,0,0.095004336094203,0,0,0,0.013015300556584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131098624911548,0,0,0,0,0.014330584710631,0,0,0,0,0,0,0,0,0,0,0.000945249822564553,0.0115065232168303,0,0,0,-0.0192083701645374,0,0
X600276.SH,0.0454028340711811,0.0323957102633295,0,0,0,0,0,0,0,0,-0.0729382584065674,0,0,0,0,0,0,0.455739834231818,0,0,0,0.091875246072699,0,0,0,-0.0238578007092726,0.010788037059505,0,0,0,0.00596669898772819,-0.0429210306271152,0,0.133501853123198,0,0,0,0,0.109269417578382,0.038695184266487,0,0,0,0,0,0,0,0,0,0,0,0.0178083741563675,-0.0234992887438605,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0442238243338,0,0,0,0,0,0.409414994388226,0,0,0,0,-0.11062396016819,0,0,0.0424535283559631,0,0,0,0,0,0,0,0,0.0419007940213847,0,0,-0.213316070231312,0,0,-0.0425340302557726,0,0,0,0,0,0,0,0,-0.0716886666576,0.0545924174576786,0,0,0.1530654079114,0,-0.0131181119985005,-1.73472347597681e-18,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0.115116818110299,0,0,0,0,0,0,0,-0.0168406669044253,0,-0.0460940972435524,0.0367538492560562,0.504082229452589,0,0,0,0.0284260385306445,-0.0234255326182014,0,0,0,0,0,-0.0479599101525481,0,0,0.0296938308907003,0,0,0,0,0,0,0,0,0,0,0,0.0629854171615796,-0.0948233032528303,0,0,0,0,0,0
X600104.SH,0,0,0,0,-0.00228921221346961,0,0,0,0,0,0,0,0,0,0,0.190931949342204,0,0,0.0230017973277148,0,0,0,0,0,0,0,0,0,0,0,-0.0192143640037371,0,0,0,0,0,0.052412449675129,0,0,0,0,0,0.0394629531666149,0,0,0,-0.0339050448573304,0,0,0,0,0.0066967564004075,0.00426000321506077,0,0,0,0,0,0
X002475.SZ,0.111851850486414,0,0,0,0,0,0,0,0.0843730093150708,0,0,0,0,-0.0938900214718076,0.0337921949676639,0,0,0,0,0.116083840045103,0,0,0,0,0,0,-0.00570676033953011,0,0,0,0.191795655733687,0,0,0,-0.0858954957119188,-0.0228758455664986,0,0.0364377525299113,0,0.509618631626303,0,0,0,0,0,0,0,0,0,0,0,0.011523585613476,0.0544114667742339,0,0,0,0.0130116171826834,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0.267633196936484,0,0,0,0,0.202287089424706,0.0957600987071495,0,0,0,0.146764156898726,0,0,0,-0.0424928382152226,0.0675148303269167,0,0,0,0,0,0,-0.0707248906102382,-0.145990988664337,0,0,0,-0.150823759263469,0,0.157689107897135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134471048481482,0.0938929517902159,0,0,0,0,0,0
X002304.SZ,0.0109671905630595,0.164349551838242,0,0,0,0,0,0.12250318773125,0,0,0,0,0,0,-0.000822399245223208,0,0,0,0.0417854676469665,0,0,0.183647799434042,0.0638554640553543,0,0,0,0,0.0445882280517604,0,0,0,-0.00773753926332061,0,0,0,-0.0289134040893879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006549697516584,0.0446510407402672,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0550410531718705,0,0,0,0.0386524806496186,0,0,0,0,0.190228621517168,0,0,0,0,0,0,0.0308793926861045,0,0,0.054696702684779,0,0,0.0350779986268984,0.0107319705308842,0,0,0,0,0.104991334212301,0,0,0,0,0,0,0,0,0.0369840773077966,0.0214168010620145,0,0,0,0,0,0
