,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X002415.SZ,X600104.SH,X002475.SZ,X003816.SZ,X000725.SZ,X002304.SZ,X000063.SZ,X600031.SH,X600690.SH,X000568.SZ,X000338.SZ,X000661.SZ,X600703.SH,X600741.SH,X600809.SH,X002241.SZ,X000100.SZ,X300003.SZ,X000596.SZ,X002236.SZ,X601877.SH,X300014.SZ,X600183.SH,X300124.SZ,X000157.SZ,X300142.SZ,X000066.SZ,X002007.SZ,X002456.SZ,X000625.SZ,X002371.SZ,X300136.SZ,X002179.SZ,X000977.SZ,X002008.SZ,X600271.SH,X002463.SZ,X600584.SH,X002180.SZ,X600177.SH,X000050.SZ,X600066.SH,X600487.SH,X600498.SH,X002129.SZ,X002506.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,-0.098544436604601,0.0722773850324622,0,0,0,0,0.142826044626468,0,0.515365096021539,0,0,0,0,0.0197109298564051,0,0,0.0361408673188647,0.17646346542808,0,0,-0.102843250832217,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0904814370054268,-0.0358379717238675,0.0723282650686079,0.0182994937890153,0,-0.0225413694733468,0,0,0,0,0,0,-0.00736224064927061,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0706770316158008,0,0,0,0,0,0,0.515184103063055,0,0.0137273587717078,0.0349243086654532,0,0,0.0132814878586282,0,0,0.0363412525241294,0,0,0,0.0170740385475086,0,0,0,0.0086935484630912,0,0.000884724962771586,0,0,0,0,0.0297768784053995,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0118395494395576,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.112074155246414,0,0.298166350853898,0,0,0.187946178061693,0,0,0,-0.0617295626289945,0,0,-0.0592229170505757,0.0537701525120439,0.0618715215037897,0,0,0,-0.0220343395234085,-0.198987154026282,0,0,0,0.0171988264181264,0,0,0,0,0,0,0,0,0,0,0,0.0401554774202067,0,0,0,0,0,0.338090646404163,0,0,0.0189671011304405,0.028277778748282,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.104076646625687,0,0,0,0.342159725940303,0,0,0,0.00455415038880352,0,0.0491552828209533,0,0,0,-0.0346047527163795,0,0,0,0,0.00506901195639301,0,0,0.0838148690035023,0,0,0,0,0.0528870184709273,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0307361527818064,0,0,0,0.0348666707414252,0,0
X002415.SZ,0,0,0,0,0,0,0,-0.0993225523410603,0,0,0,0,0.124990116614019,0,0,0.0123913901470145,0,0,0,0,0,0,0,0.610495083973679,0,0,0.0319444916251526,0.029251493591285,0,0.0470607996211289,0,0,-0.0953969139481677,0.0351943413903654,0,0,0,0.0436300374776356,0.0928978731641405,0,0,-0.0320631756068157,0,0,0,0,-0.0492137613836401,0,0,0,0,0.0761347127559967,-0.0689120528294703,0,0,0,-0.0769575348788903,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0970306089695282,0,0,0,0,0,0,0,0,0.0104559958084123,0.0128128162810719,0,0,0,-0.0359616758181355,0,0,0,-0.0455556337592409,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0563629809172754,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316426194775153,0,0,0,0,0.242604693306414,0,0,0,0,0,0,0,0,0,0,0.205911979551098,0,0,0,-0.111769293959224,0,0,-0.0832936563013688,0.285852048638163,0,0.0885465110443934,0,0,0,0,0,0,0,0,0,0,-0.031434725881195,0,0,0,0,0.0237694219040287,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.148115686635285,0,0,0,0.0683027731968982,0,0,0,0,0,0,0,0,-0.0322207366090049,0,0,0,0,0,0,0,-0.046367421872749,-0.102726105335151,0.0591570838221212,0,0,0,0,0,0,0,0,0.169322652977248,0,0.121395211245172,0,0,0,0,0.121971717909404,0,0,0,0,-0.0967781954489285,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0845833653116541,0,0,0,0,0.0445848391760958,0.175199812640267,0,0,0,0,0.0371506410926851,0,0,0,0,0.0163123771876365,0,0.00677987326446438,0,0,0,0,0.0018273940800104,0,0.0324452686951722,0,0.126990647602804,0.00989437445071051,0,0,0,0,0,0.0545270763124242,0,0,0.0185344604287972,0.0209385980656025,0,0,0,0.0299599555736903,0,0
X002304.SZ,0,0,0.0266563479941939,0,0,0,0,0,0,0,0,0,0.0279286204809639,0,-0.0184404114655011,0,0.0157411920077511,0,0,-0.0455586252447341,0,0,0.24117349094464,0,0,0,0.0457975693843993,0,0,0,0,0.036529700949846,0,0,0,0,0,0.054683854293167,0.0565950628422327,0,0.020038251564954,0,0,0,0,0,0,0,0,0,0,0,0.0392508404394714,0,0,0,0,0,0
