,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X600276.SH,X000568.SZ,X002475.SZ,X002304.SZ,X600690.SH,X300124.SZ,X300014.SZ,X600104.SH,X000651.SZ,X002371.SZ,X002049.SZ,X002129.SZ,X003816.SZ,X000725.SZ,X600031.SH,X000625.SZ,X000596.SZ,X000063.SZ,X002179.SZ,X600703.SH,X000338.SZ,X600089.SH,X002180.SZ,X002241.SZ,X600522.SH,X000661.SZ,X000733.SZ,X300142.SZ,X002074.SZ,X601877.SH,X000100.SZ,X600741.SH,X600460.SH,X300003.SZ,X000157.SZ,X600702.SH,X600584.SH,X600884.SH,X600487.SH,X601799.SH,X600563.SH,X002414.SZ,X000799.SZ,X002236.SZ,X002025.SZ,X002176.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.101559080735044,0.288793086833791,0,0,0.0594381043685047,0,0,0.0706905629093965,0,0.0274611673004857,0,0,0.0314005117845931,-0.0174504385948057,0.0519426775962131,0,0,0,0,0,0,0,0.0201994068908312,0,0,-0.0320675942153962,0,0,0,-0.200016516562494,0,0,0,0,0,0,-0.0521840890107964,0,0,0,0,0,0,0,0,0.111527604305654,0,0,0.036229874620635,0,0.0448268457729652,0,0,0,0,0,0,0
X000858.SZ,0.109495370559383,0,0,0,0.136864151749572,0.31561127852685,0,0.0821932629060136,0,0,0,0,0.0646900780409965,0.0831958494991164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0548901922441229,0,0,0,0.0172285513080995,0,-0.0998617071693146,0.000112785935862596,0,0,0,0,0,0.021506236118007,0,0,0,0,0,0
X600809.SH,0.0925219741935782,0,0,0,0,0.865178419890732,0,0,0,-0.0522806197696764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0210155445793219,0,0,-0.0266040261207318,0.171933240531068,0,0.0424361391478481,0,0,0,0,0,0.0319792956385157,0,0,0,-0.174076174232014,0,0,0,0,0,0,0,0,0,-0.0102523924013795,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0551860252387791,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,-0.0916373355096654,0.104142011124586,-0.0199022844372629,0,0,0.174836451058834,0,0,0,0,0,0,0,-0.0135381288930094,0.0693917159823364,0.194737718776515,0,0.0935497383209957,-0.232774947350622,0,0,0.232950332601208,0,0,0.198884330151727,0,0.0221208300044845,0,0,0,0,0,0
X600276.SH,0,0,0,0.0638675661511913,0,0,0,0,0,0,-0.086724003741335,0,0,0,0,0,0,0,0,0,0,0.0384432604518137,0,0,0,0,0,0,-0.11986748942152,0.0546856904873494,0.0473427869496481,0.091915462519078,0,0,0,0,0,0,0,0,0,0,0,0,-0.0737625899943276,0,0.175374580980672,0.0336794819374918,0,0.0119281998638474,0,-0.0282709842659837,0,0,0,0,0,0,0
X000568.SZ,0.170259087702393,0.0335474933597686,0.836862571991422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438059602011161,0,0,0,0,0,0,0,0.0763472066434365,0.090458940479864,0,0,0,0.0499808659689297,0,0,0,0,0,0,-0.0435123129052137,0,0,0,0,0,0,0,0,0,0,0,0.0129709101662361,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.328660386662242,0.150390053095178,0,0,0.0200199733131503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0203522560099095,0,0,0.00829988649939087,0,0.181600909577388,0,0,0,0,0.00532333966699671,0,0,0,0,0,0
X002304.SZ,0,0.22851084271114,0,0,0,0,0.0946486660051307,0,0,0,-0.173189462718117,0,0,0,0,0,0,0,0,0,0.127166709671232,0,0,0,0,0,0.0321091607115613,0,0,0,0,0,0.138077687629976,0,0.0929121078590999,0,0,0,0,0.191088962256316,0,0,0,0.0960534255789263,0,-0.112551645609638,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0.161861947488366,0,0,0,0,0.209231097031132,0,0,0,0,1.73472347597681e-18,0,0.295319184553539,0,0,0.0143307784751567,0,0,0,-0.028055013889828,0,0,0,0.0122276758124144,0,0.0951787586391988,-0.032187373857971,0.0752921358995348,0.0944100492904655,0,0,0,0,0,0,0,0,0,0,0.0377351267108473,0,-0.0374047334126615,0,0,0,-0.0524275464011521,0,0,0,0,0,-0.0299324842264395,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0.150495414759986,0,0,0,0,0,0,-0.0150461889934152,0,0.0618562999002639,0,0,0,0,0,0,0,-0.0554068090949712,0,0,-0.0408185090967305,0,0,0,0,0,0.269498486659746,0,0,0,0,0,0,0,0,0,-0.158758931056183,0,0,-0.0874923907853257,0,0,0.187129057098307,0.034460844893052,0,0,-0.025128945375961,0,0,0,0,0,0
