,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000651.SZ,X600031.SH,X000568.SZ,X600690.SH,X002475.SZ,X600809.SH,X002304.SZ,X600104.SH,X000725.SZ,X000661.SZ,X000338.SZ,X300014.SZ,X003816.SZ,X300124.SZ,X000100.SZ,X000063.SZ,X000157.SZ,X600703.SH,X002241.SZ,X000596.SZ,X600741.SH,X000625.SZ,X002129.SZ,X601877.SH,X002007.SZ,X002371.SZ,X002179.SZ,X002236.SZ,X300142.SZ,X002049.SZ,X002414.SZ,X600584.SH,X600183.SH,X000800.SZ,X601799.SH,X300003.SZ,X002074.SZ,X000799.SZ,X000066.SZ,X600089.SH,X300146.SZ,X002008.SZ,X000977.SZ,X600177.SH,X002294.SZ,X600707.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.169962797481904,0,0,0,0,0.153534684339751,0.0170562874075161,0,0,0.0951053378838188,0,0,0,0,0,0,0,0.0302808469595065,0,0.0378910038078904,0,0,0,0,0,-3.46944695195361e-18,0,0,-0.127420346848729,0,0,0,0,0,0,0,0,0.0901482317472779,0.0516388565333834,0,0.0380549573208313,0,0,0,0,0,0,0,0,0.0331762706458347,0,-0.0228452425394652,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.358844153885741,0.0132053965826599,0,0.134066550337189,0.094514591486258,0,0,0,0,0,0,0,0,0,0.00504371951070813,0,0,0.0698282422435326,0,0.0380841181287767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0961886544978925,0,0,0,0,0,0,0,0,0,0.0005723701639226,-0.0167173632187137,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.00253519035293289,0.0615117758438188,0,0,0.0214147106225984,0,0,0,0,0.0175533974584791,0,0,0,0,0,0,0,0,0,0,0,0,0.197227187359413,0,0.0869303859472555,0.577307151829828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.130181864946538,-0.0597042800235736,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.0382132918071516,0,0,0,0,0,0,0,0,0.0488825182104692,0,-0.00745441647477093,0.0526049399642501,0,0,0,0,0,0.0141788199948827,0.00897298473951592,0,-0.0909873264059066,0.204030238236421,0,0,0,0,0,0,0,0.120787073477964,0,0,0,0,0,-0.16140999849438,0.0082537332235419,0,0,0.147284029696508,0,0,0,0.0107286126963322,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0745015758575016,0.155442446705931,0,0.0523047262637011,0.0530579664784087,0,0,0,0,-0.0275140161931873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0372386529744886,0,0.12600211087654,0,0,0,0,0,0,0,-0.140971483027434,0,-0.0380010944488315,-0.00902625392342759,0,0,0,0,-0.0406938419596253,0,0
X600031.SH,0,0,0.0786359318594304,0,0,0,0,0.117133867245588,0.00384375620915988,0.247215928781041,0,0,0,0,0,0,0,0,0.0229492660237222,0,0.0390574714855342,0.182613111229049,0,0,0,0,0.0571155454810979,0,0,0,0,0,0,0.117009908059916,0.0551115784530622,0,0,0,0.00853571558183951,0,0,0,0,-0.132886573672692,0,0,0,0,0,0,0,-0.0110776900436042,0,0,0,0,0,0,0
X000568.SZ,0.119576247767948,0.557784290163116,0.0466979450503729,0,0,0,0,0,0,0,0.0788487348990697,0,0,0,0,0.00869775739193073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266282083332873,-0.0732568340333579,0,-0.0224600981175105,0,0,0,0,0,0,0,-0.0253959361477317,0,0,0,0,0,0
X600690.SH,0,0.0493149887591582,0.149283466824236,0,0,0,0.021305513012159,0,0,0.333225222696605,0,0,0,0.0761491829382525,0,0,0,0,0,0,0,0,0,0,0.130736494097302,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.068698035832215,0,0,0,0,0,0,0,-0.0180495034683549,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0.0090856667388671,0.314752738853311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0793880233232655,0,0.367138990298384,0,0,0,0,0,0.0204637319121136,0,-0.0409572592246826,0,0,0,0,0,0.125476053293118,0,0.0164579244976621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.364267380319902,0,0,0,0,0,0,0,0.0826000410397849,0,0,0,0,0,0,0,0,0,0.249696354119058,0,0,0,0,0.0346565725234609,0,0,0,0,0,0,0,0,0,0.00558686802389212,0,0,0.157267288168047,0,0,-0.0185633859298365,0,0,0,0,0,0,-0.0390308444686178,-0.030173981055259,0,0,0,0,0,0
