,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X600031.SH,X600276.SH,X000063.SZ,X600690.SH,X600372.SH,X000338.SZ,X000157.SZ,X002241.SZ,X600741.SH,X600089.SH,X600703.SH,X601877.SH,X000100.SZ,X000623.SZ,X600118.SH,X000568.SZ,X002236.SZ,X600271.SH,X000550.SZ,X000581.SZ,X000559.SZ,X600066.SH,X600177.SH,X002475.SZ,X000050.SZ,X002294.SZ,X600839.SH,X002456.SZ,X300124.SZ,X000800.SZ,X002129.SZ,X000869.SZ,X600435.SH,X002007.SZ,X300003.SZ,X000400.SZ,X002292.SZ,X002465.SZ,X002038.SZ,X000970.SZ,X600809.SH,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0.114582101471629,0,0,0,0,0,0,0,0,0,0,0.554675193939244,0,0,0,0,0.0723064237584292,0,0,0,-0.191817844408265,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165261520914782,0,0,0,0,0,0,0,0,0.0864474828228219,0,0,-0.0233569810063773,0.0228276932861664,0,0,0,-0.117725218273151,0,0
X600519.SH,0,0,0.0834351897533439,0,0,0,0.230663638412399,0.266644540839577,0.00653090467008442,0,0,0.107678065513312,0,0,0,0,0.100949375874558,0,0,0,0,0,0,0,0,0.0534068701210827,0.0301232839860592,0,0,0,0.119798294441354,0,0,0,0,0,0,0,0,0,0,-0.0109662869375615,0,0,0,0,0,0,0,0,0,0.0144299046612512,-0.0566526276009333,0,0,0,0,0,0
X000725.SZ,0,0.0603907501409329,0,0,0,0,0,0,0.0512891403452801,0,0,0,0,0,0,0,0,0,0,0,0.43188216891834,0,0,0,0.100181530024988,0,0,0,0,0,0.273711398168792,0,0,0,0,0,0,0,0,0,0,0.0563943658546954,-0.151938792900663,0,0,0,0,-0.107420279478534,0,0,0,0.0151080114343506,-0.0277405387283955,0,0,0,-0.0139661738413426,0,0
X000651.SZ,0,0.128947251787429,0,0,0,0,0,-0.166540503502903,-0.0473292561777203,0,0,0.101597644250923,0,0.314276702497866,0,0,0,0,0,0.236679461274606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016825718630487,0,0.12483445855292,0,0,0,0,0,-0.00603316281629054,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0726619714184093,0,0,0,0,0,-0.14066444227375,0,0,0.240053524023944,0,0,0,0,0,0,0,0,0,0,0,0.306875101911587,0,0.12695055296737,0,0,0,2.16840434497101e-19,0,0.0255272786211722,0,0,0,0,0,0.0533046158571531,0.0435284527116746,-0.0906579591401067,0,0,0,0,0,0,0,0,0,0,-0.0164847052639404,0.00152855109736317,0,0,0,0,0,0
X000625.SZ,0.0395061675402147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122379971764821,0.0758882696150999,0,0,0,0,0.121382582274798,0,0.0988364585333383,0,0.0788234641631343,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0207589620665694,0,0,0,0,0,0,0.0683465234914928,0,0,0,-0.00882242255502234,0,0,0,0,0,0,0
X000858.SZ,0,0.216817038308655,0,0,0,0,0,0.0812513978944656,0.0094279323422581,0,0,0,0,0,0,0,0,0,0,0,0.0270652958538058,0,0,0.130661450828167,0.0228569858028499,0,0,0,0,0,0,0,0,0,0,0,0.0516212239692567,0,0,0.0594759677404198,0,0,0,0,0,0,0,0.0827024435441931,0.194789775400401,0,0,0,0.00506646500173668,0,0,0,0,0,0
X002304.SZ,0,0.0565253517916095,0,0,0,0,0,0,0.0143591012735981,0,0,0,0,0,0,0,0,0,0,0,0.25256084263167,-0.0903659487447752,0,0,-0.0242607763499259,0,0,0,0,0,0,0,0,0,0,0,-0.108483692081327,0,0,0,0,0,0,0,0,0,0.252660829585614,0,0.433766143278318,0,0,0.00633182815092997,0.0179231110964717,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0.0627934718873172,0,0,0.402685913027304,0,0.00471184642004617,0,0,0,0.0598954190737648,0,0,0,0.0799059519545417,-6.93889390390723e-18,0.021741402181822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0721319435517286,0,0,0,0.0084672410452564,-0.00973535582249897,0,0,0,0,0,0
X600276.SH,0,0,0.0243729075498455,0,0,0,0,0.0730483012302852,0,0,0.0171654524644749,0,0.0322474260599814,0,0,0,-0.159500023444159,0,0.0218152569688494,0,0,-0.0511861084481411,0,0,0,0,0,0,0,0,0,0,0,0.0589068104914554,0,0,0,0,0,0.0242451153320137,0,0.196805880732221,0.073320701252447,0,0,0,0,0,0,0,0,0.00805197748208729,0.0176338038679942,0,0,0,-0.0372371000049252,0,0
