,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600271.SH,X600703.SH,X600741.SH,X002241.SZ,X600066.SH,X002292.SZ,X000100.SZ,X600031.SH,X002236.SZ,X600118.SH,X002506.SZ,X600177.SH,X000559.SZ,X002475.SZ,X600372.SH,X000157.SZ,X000568.SZ,X000338.SZ,X300003.SZ,X002074.SZ,X002085.SZ,X300124.SZ,X600867.SH,X002294.SZ,X600089.SH,X002456.SZ,X002007.SZ,X000050.SZ,X002426.SZ,X000869.SZ,X002465.SZ,X600498.SH,X002508.SZ,X601877.SH,X002180.SZ,X600699.SH,X000981.SZ,X000977.SZ,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.226398816475335,0,0.174521186930062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.038790176173245,0,0,0,-0.0503768748268465,0.0914442044151102,0,-0.0438188270988518,0,0,0,0,0,0,-0.074563777232536,0,0,0,0,0,0,0,0,0,0,0,-0.0374362669901167,0,0.0331384874476408,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.121386457741431,0,0,0.265066055924025,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.00702677488489697,0,0.0343741290569585,0,0,0,0,0,0,0,0,0,0,0.00639250717173523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0596332889112592,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0947889859472917,0,0,0,0.0373298805367949,0,0.0267371009700318,0.130039340316752,0,0,0,0,0,0,0,0,0,0,0,0.041110708306562,0.0322056419936495,0,0,0,0,0.131078549668303,0.175504157691611,0,0.0281490003110287,-0.129816417621518,0,0,0.0195836605990133,0.085136360301759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.115918898171222,0,0,0,0,0,0.00176322977644035,0,0,6.93889390390723e-18,0,0.084333495648631,0,0,0,0,0,0,0.0185345495450202,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0.0930462448901015,0,0,0,0,0,0,0,0,0,0.100378000563364,0,0,0.000234196443810517,0,0,0,0,0,0,0
X000651.SZ,0.0244931315053021,0,0,0,0,0,0,0,0,0,0.0249867822970295,-0.00401490694181113,0,0,0,0,0,0,0,0,0,0.00895865339594745,0,-8.67361737988404e-19,0,0,0.0095697751980927,0,0,0,0,0.010348281797385,0,0,0,0,0,0,0,0,0,0,-0.0027849848036176,0,0,0,0,0,0.0135127728213093,0,0,0.0331987668504942,-0.0378774944312912,0,0,0,0,0,0
X002304.SZ,0.339542626111587,0,0,0.455622681217975,0,0,0,0,0,0,0,0,0.210777968132741,0,0,0,0.0658118512939776,0,0,0.0166219269934258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0236939138311791,0,0,-0.0484982927518659,0,0,0.201916363530969,0,-0.00450225301530616,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148721245898036,0,0,0,0,0,0,0,-0.0965439767402802,0.0133976226108137,0,0,0,0,0,0,0,0.198683511660929,-0.0203024214720448,0,0,0,0,0,0.0678410546867974,0,0,0,0.102363247804407,0,0,0,0,0.00689383058291959,0,0,0,0,-0.00953608242560516,-0.0169637999043007,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.00301799385708553,0,0,0,0.0624729434733047,0,0,0.144393330920111,0,0,0,0.100424938070393,0,0.13879011278365,0,0,0,0,0.153648463178713,0,0,0,0,0,0,0,0.0679750408971382,0,0.0636640339228504,0,0,0,0.0104755313123362,0,0,0,0,0,0.00856379830129167,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0.170197919447948,0,0,0,0,0,0,0,0,0,0,0,0.045155864982823,0,0.118238700523552,0.0965932084204433,0,0,0,0,0,0,0,0.0425641303037999,0,0,0,0,0,0.0308856800650323,0,0,0.0301607883477288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0.156834248829991,0,0,0.163288190542094,0,0,0,0,0.235156794708468,0,0,0,-0.036051097814106,0,0,0,0,0,0.0694390326358961,0,0.192150530718417,0,0.228491959131259,0,0,0,0,0,0.0489032006774192,0,0,0.0469927336900241,0,0,0,0,0,0,0,0.0370314874801993,0,0,0,0,0,0,0,0,0.0925593031325184,0,0,-0.0587275504169234,0,0,0,0,0,0,0
X600690.SH,0,0,0.193559346231642,0,0,0,0,0,0,0,0,0,0,0,0,0.121202486183316,0,0,0.209460224274203,0,0,0,0,0,0,0,0.224088015748542,0,0,0,0.0760225907554993,0,0,0,0,0,0,0,0,0.0536643107535385,0,0,0,0,-0.106557759081798,0,0.112250119619327,0,0,-0.0298595268215018,0,0.181558141110536,-0.195580601090079,0,0,0,0,0,0
X600271.SH,0,0,0,0.19424249183203,0,0,0,0,0,0,0,0,0,0,-0.300019032352717,0,0.0863942015752123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197083073463963,0,0.00635555141703236,0.0593245584933459,0,0,0,0,0.10138587309503,0.102953590604596,0.0683996358696651,0,-0.00864451364040654,0.190725693308624,0.0314890997893526,0.128585580455018,0,0,0,0
X600703.SH,0,0,0,0,0,0.0998593808249831,0,0,0,0,0,0,0,0,0,0.0349026345721683,0.00208539173228269,0,0,0.113506311206513,0.0340963231454312,0,0,0,0,0,0.119260249676304,0,0,0,0,0,0,0,0,0,0.101503112434158,0,0.0879922556820507,0,0,0,0,0,0,0,0,0,0.00149142555716542,0,0,0,0,0,0,0,0,0,0
X600741.SH,0,0.184825640708029,0,0,0,0,0,0,0,0.00655795477863108,0,0.0576930295939229,0,0,0,0,0,0,0.0787804352277911,0,0,0,0.0267548314493446,0.0422860582722453,0,0,0,0,0.0405490341355518,0,0,0,0,0,0,0,0.0496189187013055,0.104544426212656,0.108849185890783,0,0,0,0,0,0,0,0,0,0.00883084182637242,0,0,0.00546571124325844,0,0,0,0,0,0,0
