,X600519.SH,X000858.SZ,X002475.SZ,X600690.SH,X600276.SH,X000651.SZ,X002415.SZ,X600809.SH,X002371.SZ,X600104.SH,X003816.SZ,X000063.SZ,X000568.SZ,X000725.SZ,X300124.SZ,X600031.SH,X000338.SZ,X000625.SZ,X002304.SZ,X000100.SZ,X000596.SZ,X300014.SZ,X002241.SZ,X002463.SZ,X002179.SZ,X600418.SH,X000977.SZ,X600584.SH,X600183.SH,X600066.SH,X600089.SH,X000157.SZ,X600703.SH,X002028.SZ,X600372.SH,X600741.SH,X002049.SZ,X002236.SZ,X000921.SZ,X601877.SH,X600522.SH,X000066.SZ,X002156.SZ,X600839.SH,X600460.SH,X000988.SZ,X002281.SZ,X000800.SZ,X600487.SH,X000661.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.189440010731669,0,0,0,0,0,0.0368960108634215,0,0,0,0.0355934587076303,0,0,0,0,0,0,0.0930674322925742,0,0.186826053392605,0,0,0,0,0,0,0.0315078309464526,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00520792215785643,0.00352719063127199,5.42101086242752e-20,0,0,0,0,0,0,0,0.00727331155580512,0,0,0,0,-0.0218380052295998,0,0
X000858.SZ,0.217852712760008,0,0,0,0,0,0,0.00778926236574195,0,0,0,0,0.216547866320477,0,0,0,0,0,0.00602355383747578,0,0.248500324193003,0,0,0,0,0,-0.0925426875155459,0.00223981143335547,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0124419672829771,0,0,0,0,0,0.0112167800117893,0,-0.0743866577614173,0,-0.00120790965199535,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0.0910006135365281,0,0,0.0620639377664403,0,0.0480506813742324,0,0,0,0,0,0,-0.0616450519076145,0,0,0,0,0,0.321085780672782,0.169775087381635,0.044488986327214,0.0555120888324458,0.0264495702632717,0,0,0,0,0,0,0,0,0.122535026898039,0,0,0,0,0,-0.0533714133132906,-0.0169477950338471,0.0718915619268479,0,0,0,0,0,0,0,0.0108198479774467,0.013718100661248,0,0,0,-0.0131654995336868,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,-0.0170272982307331,0.0283897650502144,0,0.0968251224953386,0,0,0,0,0,0,-0.0146364948069226,0,-0.0132813975840288,0,0,0,0,0.00648539188762216,0,0.266836455251966,0,0,0,0,0.0698522849793858,0,0,0,0,0.287146010696848,0,0,-0.00750118039340866,0,0.0314577859562448,0,0,0,0,0,0,0,0.00249582394151749,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117781364046393,0,0,0,0.201290857595645,0.0706440977694829,0,0,0,0,0,0,-0.126718609183336,0.173610307059963,0,0,0,0,0,0,0,0,0,0,0,0.0590099963701151,0,0,0,0,0,0,0,0,0,0.0435379715701488,0,0.04160391524209,0,0,-0.090905516160227,0,0
X000651.SZ,0,0,0.117288987970304,0.00823317919165564,0,0,0,0,0,0.0250646714120541,0,0.0231854570229276,0,0,0,0,0,0,0.0251334362643695,0,0,0,0,0,0,-0.155951251942209,0,0,0,0.2074650916367,0,0,0,0.0718033341040618,0,0,0,0,0,0,0,0,-0.0645814142699279,0,0,0.150308133629901,0,0,0,0,0,-0.00783750564429247,0.00565696871711214,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.0137277965317973,0,0,0,0.161718237924298,0,0,0,0,0,0,0,0,0,0.11461667111597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0800985649019756,0,0,0.00188902505733876,0,0,0,0,0,0.00914139821007434,-0.00958614186942708,0,0,0,-0.0824804594423527,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0,0,0.106321427033772,0.305510794033475,0,0,0,0,0,0,0,0.408317367256188,0,0.00607671601031144,0,0,0,0,0,0.0503381514307885,0,0.136819096052474,0,0,0,0,0,0,0,-0.0391761398023677,0,0,-0.0465409183959551,0,0,0,0,0,0,0,0,0.00692682127961106,0.0163767925457859,0,0,0,0,0.00406514188277066,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.522689464519578,0,0,0,0,0,0,0,0,0,0.0717660224361237,0.0872177233583308,0.248106584346091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123467053654634,-0.0364637195659353,0,0,0,0,0,0,0,-0.00478415800078913,0,-0.0063811365475895,0,0,0.0535651293373178,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.30514054288632,0.20222926855122,0,0,0,0,0,0.144443016674682,0,0,0,0,0,-0.287348333126013,0,0.343946639196584,0,0,0,0,0,0,0,0,0,0.744724984937899,-0.0563830666403631,0,-0.324076890093183,0,0,-0.242146624909826,0.0771846805312205,0,0,0,0,0,0,0.0271871959760438,0,0,0.0320538957581946,0,0,0,0,0,0
