,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X000725.SZ,X003816.SZ,X600031.SH,X002304.SZ,X000568.SZ,X600690.SH,X000338.SZ,X000661.SZ,X600703.SH,X000100.SZ,X600741.SH,X600809.SH,X300003.SZ,X002241.SZ,X600183.SH,X300014.SZ,X002371.SZ,X000596.SZ,X002007.SZ,X601877.SH,X002236.SZ,X000977.SZ,X000625.SZ,X300124.SZ,X000157.SZ,X002456.SZ,X002129.SZ,X002463.SZ,X300136.SZ,X300142.SZ,X002414.SZ,X600271.SH,X002180.SZ,X000066.SZ,X002179.SZ,X600118.SH,X600584.SH,X002008.SZ,X600498.SH,X002185.SZ,X002049.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205739615454794,0,0,-0.0224091661506764,0,0,0.116744409552031,0,0,0,0,0,0,0,0,0,0,0,0.125918112835049,-0.189560745636663,0,0,0,0,0,0,0,0,0,0,0,0,-0.0225014070948199,-0.0422747944908673,0,0,0,-0.100759301305893,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.0226173596301534,0,0,0.0217718700227162,0.499494713683053,0,0.00816341780233345,0.0429961130720749,0,0,0,0.0584209593113923,0,0,0,0.037041422098584,0,0.110638064812102,0,0,0,0,0.0281396361493724,0,0,0,0,0,0.0559077312519851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360689044552064,0,0
X600276.SH,0.0889366254497326,0,0,0,0,0,0,0,0,0,0,0,0,0.0117096012981214,0,0.0612170540061504,0,0,0,0.239814025426057,0,0.102175414271423,0,0,0,0,0.0432177387363517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116794744204436,0,0,0,0,0,0,0,0,0.00515646771612814,0,0,0,-0.0783314497765519,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.0626251910666956,0,0.00941656520099658,0.104462687963643,0,0,0.266807223512179,4.33680868994202e-19,0,0.0462063215431034,0,0,0,0,0,0.00356690665318588,0,0.073180552788212,0,0,3.46944695195361e-18,0,0,0,0,0,0.0238942027232719,0,0,0,0,0,0.0398408476985254,0,0,0,0,0,0,0.0109419086051758,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.141545540344112,0,0,0,0.118651106511967,0,0,0,0,0,0,0.0855012100342117,0,0,0,0,0,0.0247180717025,8.67361737988404e-19,0.11993483216847,0,0,0.162654043221145,0,0.128961296601985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247079425853828,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0834072266871411,0,0.0944289588448575,0,0,0,0,0.0234462826111118,0.065477167925285,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.18208030419419,0,0.211144965372111,0,0,0.094232968762769,0,0,0,0,0,0.00658149096568084,0,0,0,0,0.0122363543805415,0,0,0,0,0.0135784196503145,0,0,0,0,0.0479424017702636,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0781194202698964,-0.000906057902175562,0,0,0,0,0.371947439068231,0,0,0,0.0762756522951602,0,0,0,-0.0882393963769591,0,0,0,0,0,0,0.173365257304009,0.0651488243657399,0,0,0,-0.0131404312672096,0,0,0,0.117271668931478,0,-6.93889390390723e-18,0,0,0,0,0.0407570061165927,0,0,0,0.0723028199900543,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019120849638631,0,0,0,0,0,0.0972827110160828,0,0,0,0,0,0,0.122127645801282,0,0,0.125915693128219,0.031425212980702,0,0,0.134433421036511,0,0,0,0,0,0,0,0,0.234243359193922,0,0,0,0,0,0.0495704376838926,0,0,0,0.0442123445146755,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.110534318308207,0,0,0,0,0,3.46944695195361e-18,0.0511329795180682,0.448378104096085,0,0,0,0,0,0.0213910424352286,0,0.00846912528270768,0,0,0,0,0,0,0,0.0234607091962492,0,0,0.153068740489241,0,0,0,0,0,0,0,0,0,0.0184392890063063,0,0,0,0,0,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0.00599286340338718,0,0.151937061205544,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.19484832465014,0,0,0,0,0,0,0,0.0864421411324631,0,0,0,0,0,0,0.121222416145825,0.209202900608001,0,0,0.0135783718587968,0,0,0,6.93889390390723e-18,0.0222024434621483,0,0,0,0,0,0,0.0116371552394978,0,0
