,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X003816.SZ,X000725.SZ,X600031.SH,X002304.SZ,X600703.SH,X000568.SZ,X000338.SZ,X600690.SH,X000661.SZ,X002371.SZ,X600809.SH,X000100.SZ,X600183.SH,X600741.SH,X300003.SZ,X002007.SZ,X300014.SZ,X000977.SZ,X002241.SZ,X000596.SZ,X002236.SZ,X601877.SH,X002129.SZ,X000625.SZ,X300142.SZ,X002463.SZ,X600498.SH,X300124.SZ,X000157.SZ,X002456.SZ,X600487.SH,X000066.SZ,X002179.SZ,X600584.SH,X600271.SH,X600118.SH,X300136.SZ,X600522.SH,X002180.SZ,X002049.SZ,X002414.SZ,X002185.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0.00118689888749593,0,0,0,0,0,0,0,0,0,0,0.215071859424254,0,0,0,0,0,0.0837412451540746,0,0,0,0,0,0,0,0.099579976836456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0771005339805945,-0.00377582893445627,0,0,0,-0.0715713235853289,0,0
X000858.SZ,0,0,0,0,0,0.136809536402777,0,0,0,0,0.062432644264511,0,0,0.32976295934972,0,0,0.0689787854859959,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.172068802639162,0,0,0,0.0258194041301526,0.0401204913738372,0,0,0.0291661597967041,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03939314199454,0,-0.00946074167967787,0.0122896901226481,0,0,0,0.0376353519897732,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00134110340446264,0.197350356120821,0,-0.028823080808156,0,0,0.0505946695343184,0,0.00892428544927716,0.097016436935639,0.0867228979246208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00588639099011876,0,0,0,0,0,0,0,0,0.00256238282391005,0,0,0,-0.0212904390284222,0,0
X000651.SZ,0,0.0695846297452913,0,0,0,0.0122410130734806,0,0,0,0,0,0,0,0.182827298341467,0.293356565137937,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0.0256372722699855,0,0.0751670661617207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00690261808770264,0,0,0,0,0.0576442685631438,0,0
X002415.SZ,0,0.147054522107819,0,0,0,0,0.222017323054594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000873619810611302,0,0,0,0,0,0,0.0542179919072735,0.170886562864499,0,0,0.143382017735783,0,0,0,0,0,0,0,0,0,0,0.00186101834582374,0,0.0676713876560458,0,0.0237617656336348,0,0,0,0,0,0.00935089425837051,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.114141396334506,0.444036848664062,0,0.0547265483088342,0.000263344006969913,0,0,0,0.0795792971405816,0,0,0,0,0,0,0,0,0.0314825723213271,0,0,0.0495030484152825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.108638166223643,-0.0207232964861443,0.0347151096853082,0,0,0,0,0,0
X002475.SZ,0,0,0,0.0355859599708251,0.0767031488919825,0,0,0,0,0,0.0139362527439596,0,0,0,0,0,0.0795922074015947,0,0,1.38777878078145e-17,0,0,0,0,0,-0.0432876612749379,0.39000916345722,0,0,0,-0.0113535800777379,0,0,-0.0756518002540032,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.348069683507126,0,0,0,0,0,0,0,0.0229822597020225,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.133139895842883,0,0,0,0,0,0,0,0,0,0,-0.0837430214027628,0,0,0.0465209734408507,0,0,0,0.242203050790156,0,0,3.46944695195361e-18,0,0,0,0.0705926393450987,0,0.0382995690424942,0.508023552384331,0,0,0,0,0,0,0,0,0.0118938262999474,0.041651663747019,-0.211772777939415,0,0,0,0,0,-0.0113221547224911,0.0571272615687736,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0.0906120320284384,0,0.218644483028298,0,0,0,0,0.0165105742181759,0,0,0,0,0,0,0,0,0,0,0.0611571731548318,0,0,0,0,0,0,0,0,0,0.151011788480916,0,0.252954373304425,0,0,0,0,0,0,0,0,0,0,0,0.008688466442936,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0349130915936092,0,0,0,0.105266388555259,0,0,0.455417528440194,0,0,0,0,0.0337397871553927,0,0,0.00123185843621489,0.0214108940229963,0,0,0,0,0,0.00409268380277669,0,0,0,0,0,0,0,0,0.0167030225038599,0.125590333616278,0.0266457748826276,0,0,0,0,0,0.0206493539335513,0,0,0,0,0,0,0
