,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000858.SZ,X000063.SZ,X000625.SZ,X600690.SH,X600703.SH,X600118.SH,X600271.SH,X600031.SH,X000559.SZ,X002241.SZ,X000100.SZ,X600066.SH,X002292.SZ,X002236.SZ,X600372.SH,X600741.SH,X000157.SZ,X002475.SZ,X000338.SZ,X600089.SH,X002465.SZ,X300124.SZ,X600177.SH,X002049.SZ,X000568.SZ,X600582.SH,X601877.SH,X002506.SZ,X002294.SZ,X002074.SZ,X300003.SZ,X000869.SZ,X002129.SZ,X300001.SZ,X000547.SZ,X002085.SZ,X600867.SH,X002498.SZ,X600498.SH,X600839.SH,X600252.SH,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0689906913709815,0,0,0,0,0.0805303435355627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154491168940014,0,0,0.074507615214139,-1.0842021724855e-19,0,0,0,0.0593181798654521,0,0,0,0,4.33680868994202e-19,0,0,0.0167987462390139,0,-0.0119800794007462,0,0,0,-0.0479200579128885,0,-0.000623078747795653,0.00370465895325662,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.230153964420265,0,0.0538666937570958,0,0,0,0,0,0,0,0,0,0.0290755025630037,0.0863385710831896,0,0,0.145778865277192,0.0337874273693574,0,0,0,0.0583928724637631,0,0,0,0,0,0,0,0,0.0190349764878966,-0.0119488137976568,0,-0.0175286459825261,0,-3.46944695195361e-18,0,0,0.0445359951301861,-0.188369870344185,0,0,0.00377466587520854,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0478934239806165,0,0,0,0,0,0,0,0,0,0,0.094607091687925,0.283175011601946,0,0.0855780497599175,0,0,0,0,0,0,0,0,0,0.0124643934092648,0.0836975931830965,0,0,0.0741348971088076,0,0,0,0,0,-0.0206839872343618,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0248702828594089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163264348181392,0.124329551468364,0,0.181660349238267,0,0,0,0,0,0,0,0,0,0.00107833231327671,0,0,0,0,-4.33680868994202e-19,0,0,-0.0110058730446609,0.0437622432392481,0,-0.144666147280567,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114090105485874,0,0,0,0,0,0,0,0,0,0.031711512339566,0,0,0,0.0324281991357897,0.0467388777867515,0,0,0,0.0388725942191943,0,0,0,0,0.117049426799021,0,0.0575607483053996,0,0,0.0188824940731854,0,0.148955860066022,0,0,0,-0.00776178173178426,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.141730921264358,0,0,0,0,0,0.149332336088223,0,0,0,0,0,-0.0423997920387146,0,0,0,0,0,0,0,0.0412384995623619,-0.0247835554260394,0,0,0,0,0,-0.104242403887806,0,0,0,-0.05415169147,0.0751604326696327,0,0,0.0346800858460328,0.031032826920073,0,0,0,-0.0455152478982895,-0.0865317465013394,0.0631030926223663,0,-0.08060449262891,0,0,0,0
X002304.SZ,0,0.167821843268642,0,0,0,0,0,0,0,0,0.130191919605395,0,0,0,0,0,0,0,0,0.0577928828466089,0.135362651911607,-8.67361737988404e-19,0.114601836770392,0,0,0,0,0,0,0,0,0.136212439325671,0,0,0,0,0,0.166043132013619,0,0,-0.0379692772777103,0,0,0,0,0,0,0,0,0,0,0.00824065103783201,0.0679683272300879,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209360018105065,-0.133599425631598,0,0,0,0,0,0,0,0,0,-0.0238654270774017,0,0,0,0.0234614681989332,0,0.0187429170773707,0,0,0,0.0870727463034064,0.0042805967286797,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540678617549024,0,0,0,0.0630684474016562,0,0.111642469080316,0,0,0,0,0,0,0.153107770546448,0,0,0,0,0,0,0,0,0,0,0.116635103193478,0,0,0,0,0.0359901259634624,0,0,0,0,0,0.00670978572176599,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.0570271074923687,-3.46944695195361e-18,0,0.115008366067699,0,0,0,0.350618034617939,0,0.0343594496000104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105671271668567,0.0141096422405663,0.105267927823742,0,0,0,0,0,0,0,0,-0.0163931041686562,0,0,0,0,0,0,0
