,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X003816.SZ,X002475.SZ,X600104.SH,X300124.SZ,X000725.SZ,X002304.SZ,X000338.SZ,X000625.SZ,X002371.SZ,X600031.SH,X000063.SZ,X000596.SZ,X000100.SZ,X600089.SH,X300014.SZ,X002179.SZ,X000157.SZ,X600703.SH,X002236.SZ,X600372.SH,X002241.SZ,X600741.SH,X002129.SZ,X000661.SZ,X002049.SZ,X000977.SZ,X600584.SH,X601877.SH,X600522.SH,X002028.SZ,X002463.SZ,X601799.SH,X000800.SZ,X600183.SH,X000921.SZ,X600066.SH,X002007.SZ,X002074.SZ,X002223.SZ,X600177.SH,X600460.SH,X600060.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,-0.0416118601755608,0.462840896934758,0,0,0,0,0,0.0949241194203265,0,0,0,0.128929937201193,0,0,0,0,0,0,0,0,0.0338254194296286,0,0,0,0,0,0,0,0,0,0,-0.0163472377051417,0,0,0,0,-0.0730131132156492,0.0785485791518528,0,0,0,0,0,0,0,0,0,0,0,0.00256546535553618,-0.00182444744521273,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0623940961746488,0.00308448282383333,0.437434511088074,0.0335723112665418,0,0,0,0,0,0,0,0,-0.0132536531451574,0,0,0,0.0998373427541292,0,0,0.0670326245041056,0,0,0,0,0,0,0,0.0175119074957043,0,0,0.0458036983989849,0,0,0,-0.0639976838472472,0,0,0,0,0,-0.0889738900813962,0,0,0,0,0,0.0458798209174607,0,0,0.0026893430124953,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.26611111728307,0,0,0,0,0,0,0,0.158813698336471,0,0,0.107479157249464,0.0965403985048737,0,0,0.120653164486994,0,0,0,0,0,0,0.00963146858361861,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,-0.0264330075921667,0.0234082741884416,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.396778131770513,0,0,0,0,0,0,0,0,0,-0.0207617638968096,0,0,0,0.488825439490046,0.144369958721449,0,0.0916221381323156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0541687258575061,-0.0322345045010392,-0.180986236196441,0,0,0,0,0,0,0,0,0,-0.0328047639254092,0.0128173700128048,0.170148301183125,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,-0.0705361930658902,0,0,0,0,0,0,0.143556664002114,0,0,0,0,0,0,0,0,0,0,0,0,0.0322870549023569,-0.00464830215140232,0,0,0.394241777272411,0,-0.057530057323319,0,0,0.0645760199513904,0,0.0491126776445629,0,0,0.0383363584299887,0,0.123650632767783,0.0342777141403914,0,0.0733647067478487,0,0,0,0,-0.0128188398510091,0,0.0611844972683925,0,0,0,0,0
X000568.SZ,0.0654687900226219,0.796901380531416,0,0.120760760573616,0,0,0,0,0,0,0,0,0,0,0,0.0105826745946661,0,0,0,0,0.148095316537082,0,0,-0.0873992500214989,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.10427564826747,0,0,0,0,0,0,0,-0.0402592063552111,0,0,0,0,0,0,0,0,0.0147004323159971,0,0,0,0,0,0,0
X600690.SH,0,0.206032618219646,0,0,0,0.150447230956843,0,0.196154192433713,0,0,-0.00353338560063328,0,0,0,0.160443028882088,0,0,0,0,0,0,0,0,-0.0341143136902363,0,0,0,0,0,0,0,0.040964487297005,0,0,0,0,0,-0.0911756628238002,-0.0270243416029757,0,0,-0.0531466784562553,0.0159058031278841,0,0,0,0,0,0,0,0,-0.00591800212276355,0.0195730226535926,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.214410928837565,0,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.0190825303716537,0,0,0,0,0,0,0,-0.136907842738188,0,0.364811117649485,0,0,0,0,0,0,0.111308618134561,0,0,0,0,0,0.00952446174325857,0,0.00784861436994209,0.493763275470827,0,0,0,0,0,0,0.106617484211611,0,0.0631175315900733,-0.0376957458380432,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11184677485782,-0.0417641968402959,0,0,0,0,0,0,0,0.0800984430582808,-0.0499234870347829,-0.10379510289956,0.256052290675064,0,0,-0.151425973367717,0,0,-0.00935692451263394,0,0,0,0,0,0,0,0,0.182461420289556,0,0,0,0,0,0,0.0834451663144073,0,-0.0570323857116883,0.0302229936725538,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0.17075245384067,0,0,0,0,0,0,0,0.0752156228059856,0,0,0,0,0,0,0,0,0.082938593755917,0,0,0,0,0,0.333333169219148,0,0,0,0,-0.0659048689964041,0,0,0.0237277826972177,0,0,0,0,0.231548458989188,0,0,0,0,0,0,0,0,0,-0.0535971395474518,0.0284223896500929,-0.0187592167800162,0,0,0,0,0
