,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600276.SH,X002475.SZ,X600690.SH,X002304.SZ,X300014.SZ,X600104.SH,X000651.SZ,X600031.SH,X002371.SZ,X002241.SZ,X000725.SZ,X300124.SZ,X000338.SZ,X600703.SH,X003816.SZ,X000063.SZ,X000596.SZ,X000625.SZ,X002049.SZ,X002129.SZ,X000661.SZ,X601877.SH,X002179.SZ,X300142.SZ,X002074.SZ,X600741.SH,X600089.SH,X600460.SH,X000100.SZ,X600702.SH,X000799.SZ,X002236.SZ,X600779.SH,X000157.SZ,X601799.SH,X600884.SH,X002414.SZ,X000733.SZ,X600584.SH,X002180.SZ,X600183.SH,X600522.SH,X002008.SZ,X002007.SZ,X600563.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.52078770081177,0,0.00709824596889626,0.045198223756933,-0.0283945242279735,0,0,0,0,0,0,0,0,0,-0.1306499906646,0,0,0,0,0,0.00157962786235368,0,0,0,0,0,0,0,0,0,0.00770372035016205,0,0,0.0611241704534084,0.00772844645075802,0,0,0,0,0,0,0,0,0,0,-0.00412602927439314,0,0,0,0,4.33680868994202e-19,-0.00137038828890251,0,0,0,0,0,0
X000858.SZ,0,0,0,0.335657252908597,0,0,0,0,0,0.104966518472443,0,0,0,0,0,0,0,0,0,-0.0608322067764734,0,0,0,0,0,0.149349953155669,0,0,0.0336709031563801,0,0,0.0302732231649597,0,0,0.150788710805443,0,0,0.0726048546999471,0,0,0,0,0,0,0,0,-0.0270400763302602,0,0,-0.0904870823565395,0,-0.0237091148632558,0.00391205541322723,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.271607897523893,0,0,0,0,0.0393294035325269,0,0,-0.0762487551412252,0,0,0,0,0,0,0,0,0,-0.0326262771536953,0,0,0,0.0521962606293405,0,0,0,-0.0185365443323837,0,0.109545766043787,0,0,0,0.0634501647718623,0,0,0,-0.039696121079596,0,-0.0164304496599869,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0
X600809.SH,0,0.167775918140456,0,0,0,0,0.0521043240334727,0,0.0765995751169949,-0.0439877235898791,0,0,0,0,-0.0967149060827586,0,0,0,0,0,0,0,0,0,0,0.144631434156777,0,-0.0274479188068313,0,0,0,0,0.115537501898043,-0.160633152023164,0,0.391368932784039,0,0.0417303809097013,0,0,0,0,0,0,-0.0531251125138945,0,-0.00614676744376176,0,0,-0.00645931933120377,0,0,-0.0637967555190787,0,0,0,0,0,0
X000568.SZ,0.0869772917138189,0.0175639759126059,0,0.0607971141283175,0,0,0,0,0,0.00087918961271511,0,0,0,0,0.00934073185827175,0,0.0656820516505457,0,0,0,0,0.486334438831466,0,-0.101980295197622,0,0.0498336223877963,0,0,0,0,0,0,0,0,0,0,0,0.0983486426751833,0,0,0,-0.157853200438393,0,0,0,0,-0.132262957206718,0,0,0,0,0.0250739480277236,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0255362908345726,0.0578831216918994,0,-0.073669970199823,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0520337690932183,0.0100079237083706,-0.253383842862358,0.00347442432625828,0,0,0,0,0.0796917209801795,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.132904945480964,0.252834072452803,0,-0.0475471664610078,0,0,0,0,0,0,0,0
X002475.SZ,0.132241628808612,0.0951253668508099,0,0,0,0,0,0,0,0,0,0,0,0.0898854343109991,0.00902547097518514,0,0.186911939782998,0,0,0,0,0,0,0,0,0,0,-0.0337334718315353,0,0,0,0,0,0.16894853121705,0,0,0.0368103440810618,0,0,0,-0.0209102255612605,0,0,0,0,0,0.104563454418617,0,0,-0.03604992422704,0,0.0176719083658774,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0.0120845204027031,0,0,0,0.0281240835557007,0,0,0,0,0,0,-0.0212783825437681,0,0.102715962213066,0,0,0,0,0,0,0.0371865895033467,0,0,0.00806867699909514,-0.17038383773619,0.162906060477843,0,0,0,0,0,0,0,0,0,0,0,0.214455141684053,0,0,0,0,0.0373797153371689,0,0,0,0,0,0,0,0
X002304.SZ,0,0.257281957286846,0.03590640458526,0.209496906175641,0,0,0,0.16774390300072,0,0,0,0,0,0,0,0,0,0,0,-0.0940765285319884,0,0,0.0372002051304738,0,0,0,0,0,0.0055978683701983,0,0,0,0,0,0,0,0.0778839552740652,0.104076560325943,0,0,0,0,0,0,0,0,-0.0333649244302242,0,0,0,0,0.0424081233612828,-0.0263502267001577,0,0,0,0,0,0
X300014.SZ,0,0,-0.354028248466472,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190176894597719,0.0335430361860513,0,0,0,0,0.14615371147206,4.33680868994202e-19,0,0.126843543399143,0.0888872683721435,0,0.108372845558121,0,0,0,0,0,0.0139106724276023,0,0,0,0,0.183759488525941,0,0,0.0301155044130649,0,0,0,0,0,0,0,0,-0.0489301309983979,0.114636708547369,0,0,0,0.0779755141619226,0,0
