,X600104.SH,X600519.SH,X000651.SZ,X000725.SZ,X002415.SZ,X000625.SZ,X000063.SZ,X002304.SZ,X000858.SZ,X600276.SH,X600690.SH,X600031.SH,X000100.SZ,X600372.SH,X000338.SZ,X000157.SZ,X600118.SH,X600089.SH,X600271.SH,X600703.SH,X600741.SH,X002129.SZ,X002241.SZ,X600177.SH,X600582.SH,X600066.SH,X002236.SZ,X000800.SZ,X601877.SH,X300124.SZ,X000581.SZ,X600839.SH,X000623.SZ,X000568.SZ,X002292.SZ,X002475.SZ,X000550.SZ,X000977.SZ,X600060.SH,X000559.SZ,X002294.SZ,X000869.SZ,X002456.SZ,X600252.SH,X002465.SZ,X600867.SH,X300146.SZ,X000400.SZ,X300003.SZ,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0.100101286491951,0,0,0.130355574177161,0,0,0,0,0.0895062305985407,0,0,0,0,0,0.00750771388869537,0,0,0,0,0,0,0,0,0.0745043993164823,0,0,0,0,0,0.0286324136307527,0,0,0,0,0,-0.0248711868033832,0,0,0,0,0,0,0,0,0.0570123506060603,0,0,0,0,-0.0207714125046672,0,0,0,0,0,0
X600519.SH,0,0,0,0.225402502166094,0,-0.083764791158602,0,0.0925896981087489,0,0,0,0,0,0.0580453996348839,0.0575661440203593,0,0,0,0,0,0,0,0,-0.0250060089638099,0,0,-0.0151603544398655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149151804392552,0,0,0,0,-0.0874500302110885,0,-0.0333295381801993,0,0,0,0.0117367753611293,0,0,0,0,0,0
X000651.SZ,0,0.150228073093063,0,0,3.46944695195361e-18,0,0.105116577134595,0,0,0,0.16038513468967,0,0,0,0.0753106633520382,0,0,0,0.0487082644748328,0,0,0.0254670974735626,0,0,0,0,0,0,0,0,0,0,0.0254632406330979,0,0,0,0.113241118836353,0,0,0,0,0,0,0,0,0,0,0.0356253891680067,0,0.0147420115330655,0,0.0268841581753846,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0.00915175971082056,0,0,0,0,0,0,0,0,0.303162868188285,0,0,0,0,-0.0308929839974006,0,0,0,0,0,0,0,0,0,0.104467669003641,0,0.0218800354488782,0,0.0539370719645413,0,0,0,-0.0244308810624306,0,0,0,0.190782508652214,0,0,0,0.328593706857008,0.221788704112122,0,0,-0.00848352286979936,0.0323723893828825,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.16886901370926,0.171640380397978,0,0,0,0,0,0,0,0,0,0,0.0372780263852837,0,0,0,0,0,-0.119050859727033,0,0.0439010390620028,0.0325041510945191,0,0,0.00938447025276738,0,0,0.237526693159921,0,0,0,0.260655530839568,0,0,0,0,0,0,0,0,0,0,0.155554367449248,0,0,0,0.00830885165884556,-0.00606890601841256,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0.305216780490089,0,0,0,0,0,0,0.0641808327071585,0,0,0.1240228681995,0,0,0,-0.0606904667190222,0,0,0,0,0,-0.058554104854478,0,0,0,0,0,0,-0.0353721995687903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186093720928964,0.0107000401984808,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0.00389292742974278,0,0,0,0.0257489999192371,0.164020012163357,0,0,0,0,0.0364729509110785,0,0,0,0.0310041005153772,0,0.0270718397672062,0,0,0.0187605474127518,0,0,0,0,0,0.140992489751185,0,0,0,0,0,0.000970642035963295,0,0,0,0,0,0,0,0,0.0593522502602274,0,0,0,-0.000637932863906533,-0.00396211253043852,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0.106287382571304,0,0.609532159264606,0,0,0.0173943465145605,0,0,0,0,-0.037425616451618,0,0,0,0,0,0,0.0243278001680342,0,0.186259212688975,0.00773804180083035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11626419320238,0,0,0,0,0,0,0,0,0,0.0208475160425876,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.0819506935506554,0,0,0,0.0479875572019205,0.00159106835674226,0,0,0,0,0.00901966806633279,1.73472347597681e-18,0,0,0,0,0.111854777602007,0,0,0,0,0,0.00257794184527553,0,0.183810050778391,0.148761250178593,0.163066389587925,0,0,0,-0.00699376959498486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170558961863362,0,0,0,0,0,0
X600276.SH,0,0.0243642571480564,0,0,0,0,0,0.0334903259848556,0,0,0.0549503479732258,0,0.00400969954892926,0.105124796453252,0,0,0,0,0,0,0,0.0555812719922751,0.0286623073968491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309219176869967,0.036731710911469,0,0,0,0,0,0
