,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X002304.SZ,X600690.SH,X002475.SZ,X000651.SZ,X300124.SZ,X002371.SZ,X600104.SH,X003816.SZ,X000063.SZ,X000596.SZ,X000725.SZ,X300014.SZ,X002129.SZ,X600031.SH,X000625.SZ,X000338.SZ,X600703.SH,X002179.SZ,X600089.SH,X002049.SZ,X002236.SZ,X000661.SZ,X600372.SH,X000100.SZ,X002241.SZ,X002180.SZ,X601877.SH,X600741.SH,X600702.SH,X000977.SZ,X000157.SZ,X600522.SH,X600584.SH,X002074.SZ,X000733.SZ,X300142.SZ,X600460.SH,X300003.SZ,X002007.SZ,X002294.SZ,X300146.SZ,X000800.SZ,X002028.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.106927206196367,0,0.10958931860575,0.0521133233844094,0,0,0,0,0,0,0.0206127456624368,0,0,-0.107061786351459,0,0,0.0758510294112987,0,0,0,0,0,0,0,0,0,0,0,0,-0.0249699422466588,0,0,0,0.0841930523178705,0,0,0,0,0,0,0,0,0,0,0,0.0127696598264396,0,0,0,0,-0.0489735964576744,0.0261917353722653,-0.0942048187664343,0,0,0,0,0
X000858.SZ,0,0,0,0.204280521365652,0,0.101491504056658,0.0472214870285825,0,0,0,0,0,0,0,0,0.0418013932106093,0,0,0,0.0660848623432157,0,0,0,0,0.0195637955155692,0.0167480071920878,0,0,0,0,0,0,0,0,0.0823854538740326,-0.0023898532834763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0366198861084603,0.000385528779778507,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,-0.197738608239406,0,0,0,-0.108934364419127,0,0,0.0400732892403378,0,0,0.215236904036133,0,0,0,0,0.0427126650236595,0,0,0,0.124173008045309,0,0,0,0.240293667571093,0.0513534277191649,0,0,0,0,0,0,0.0603276214222398,0,0,0,0,0,0.108384381674889,0,0,0.132661335360411,0.120852055999718,0.0012241285599561,0,0,-0.0381625215228502,0,0,0,0,0,0
X000568.SZ,0,0.524074507782866,0,0,0,0,0,0,0,0,0,0,0.128310868368736,0,0,0,0,0,0,0,0,0,-0.0632144666014645,0,0,0,0.0803047228925061,0,0,0,0,0,0,0,0.236547034783624,-0.0151505980450027,0,-0.0681685153551374,-0.0231195743037813,0,0,0,0,0,0,0,0,0,0,-0.00822781637353671,0,0,-0.00806838914713083,0,0,0,0,0,0
X600276.SH,0,0,0.134227223649193,0,0,0,0,0.0453781012420893,-0.0209435457157582,0,0,0.0390855911032864,0,0,0,-0.0248938084714438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.201894565068796,0.286817969512147,0,0,0,0.199665538882069,0,0,0.0180396333867637,-0.00491081976354851,0,0,0,0,0,0
X600809.SH,0,0,-0.119931457122623,0,0,0,0,0,0,0.113950671242297,0,0.0100576547117613,0,0,0,0,0,0.0277046618002036,0,0,0,-0.000961393281492775,0.163688566652197,0,4.33680868994202e-19,0,0,0,0,0,0,-0.0589450517068131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750670140963576,0,0.429987097249328,-0.119104420822394,0.028237239759386,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.119345867465396,0,0.120608957224998,0,0,0,0,0,0,-0.0296174887752317,0,0,0,0,0,-0.0456391539289107,-0.0592448676555108,0,0,0,0,-0.0407428790074112,0.0389410686086532,0,0,0,0,0,0,0.195088908999155,0,0,0,0,0,0,0,0,0,0,0,0,-0.0179951779674582,0,0,0,-0.0379094839449131,0.0160979412131851,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.0219601644480081,0,0,0,0,0.086158836523477,0,0,0,0,-0.134768782407275,-0.556638126554876,0.162531810787872,0,0,0.149665579194436,0,0,-9.82627464511717e-05,0,0,0,-0.0677367900418398,0,0.0446179075026653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384170261250841,0,0,0,0,0,0,0,-0.00475020437597213,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.00518416000035783,0,0,0.006324791036457,0,0,0,0.276519839250981,0,0,0,0,0,0,0,0.0149458848307582,0,0,0,0.133004549061994,0,0,0,0,0.104775274238949,0,0,0.104163883073776,0,0,0,0.0570605764260162,0,0.0865046640099061,0,-0.165290450964958,0,0,0,0,-0.0250648455370879,0.0597913129503885,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.120805501172159,0,0,0.012669232319814,0.145265174783086,0,0.146052918735734,-0.0900268741943727,0,0,0,0,0.24566358735084,-0.621343457591405,0,0,0,0,0,0,0.113699399065595,0,0,0,-0.107408554113309,0,0.0330816052579914,0.0185453307743115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0337084203089614,0,0,0,0,0,0
