,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X002415.SZ,X600104.SH,X002475.SZ,X003816.SZ,X000725.SZ,X002304.SZ,X000063.SZ,X600031.SH,X000568.SZ,X600690.SH,X000338.SZ,X000661.SZ,X600703.SH,X600741.SH,X600809.SH,X002241.SZ,X000596.SZ,X000100.SZ,X002236.SZ,X300003.SZ,X601877.SH,X300014.SZ,X002371.SZ,X600183.SH,X002007.SZ,X000157.SZ,X300124.SZ,X000625.SZ,X002456.SZ,X300142.SZ,X002008.SZ,X000977.SZ,X300136.SZ,X000066.SZ,X600271.SH,X002179.SZ,X002180.SZ,X002129.SZ,X002463.SZ,X600584.SH,X600177.SH,X600066.SH,X000050.SZ,X002049.SZ,X002508.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.151391040563892,0.0243724486967969,0,0,-0.0384586927010484,0,0.123350981442451,0,0.227058702594866,0,0,0.132389218850413,0,0,0,0,0,0,-0.0434032818792381,0,0,0.121140513048428,0,0,0,0,0,0,0,0,0,0,0,0,-0.080850181314869,0,0,0,0,-0.0306465509503737,-0.0460295522229874,0,0,0,-0.0452980820390732,0,0
X000858.SZ,0,0,0.0446792412082495,0,0,0,0.0159551093133098,0,0,0,0,0.0123014289752957,0.606286877986116,0,0,0,0,0,0,0,0.0135377190887928,0,0,0,0,0.0221973932653275,0.0379774826621257,0,0,0,0,0.0202873341078425,0,0,0.0156263528406717,0,0.0154725939195156,0.0363553045490832,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00572687567220769,-0.00542136960993575,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145664421000818,0,0,0,0,0,0,0,0,0,0,0,0.0893327783895822,0,-0.105678280104158,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0939666346696457,0,0,0,0.0933427081724895,0.100371460088949,-0.00072279040765441,0,0,0,0,0,0.348107031316031,0,0,-0.0323777144151649,0.0815331731560706,0,0,0,0.0628642179567923,0,0
X600276.SH,0.21899597953696,0,0,0,0,0,0,0,0,0,0,0,0,0.131801310739469,0,0.126116223726598,0,0,0.0996876420995486,0,0,0,0,0.0086657807397548,0,0,0,0,0.196685991865248,0,0,0.0101963278304758,0,0,0.0111772912423335,-0.119995126038384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351486305989691,-0.0103582739610697,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.280487671047885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12594252567633,0,0,0.0352629837455664,0,0,0,0,0.150188654025195,0.277563227168953,0,0,0,0.0826067228898877,0.0969541444064281,0,0,0,0,0,0,-0.0970640214294333,0,0,0,0,-0.117791735013286,0,0,0.0131397785933092,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.227559878264287,0,0,0,0,0,0,0.0701730485793347,0,0.0898816685210412,0,0,0,0,0,0,0,0,0,0,0.093187890166492,0,0.152431239836148,0,-0.0676907566633831,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,-0.00839288165974467,0,0,0,0,0.0138650504623046,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0905286989718435,0,0,0,0,0.390032628913293,0,0,0.0750203607259356,0.0494542505511361,0,0,0,0,0,0,-0.0677334372336372,0,0,0,0,-0.0189222309068799,0.0452317165712785,0.0327736653963984,0,0,0,0,0.18799289459645,0,0,0,0,0,0,0,0,-0.0572262683940428,0.0811379431051447,0,0,0,0.0188750570218399,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0.0577091049075853,0,0,0.191568880622042,0,0,-0.0486271410244756,0,0,0,0,0,0,0,0,-0.0503273754017753,0,0,0,0,0,0,0.0544244311467952,0,0,0,0.0658865958994455,0,0.0580820181450509,0,0,0.0183304891807837,0.146863181031424,0,0,0,0.037327607945065,0,0,0,0,-0.0071497043682544,0,0,0,0,-0.0441577152181379,0,0
X000725.SZ,0,0,0,0,0,0,0.00581357152749849,0,0,0,0,0,0,0,0,0,0.0310149173915745,0,0,0,-0.00578283130348369,0.282495180471965,0,0,0,0.0588472269148749,0,0,0,0,0,0,0.026516625424846,0,0,0.115055192473717,0,0.033530992232563,0,0,0.0421940266399503,0,0.0585387127237568,5.42101086242752e-20,0,0,0,0,0,0,0,-0.00993086796390353,-0.00934940482192344,0,0,0,0,0,0
X002304.SZ,0,0.0930913890184801,0.0431906530195246,0,0,0.12473214893864,-0.000762910227464877,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0452978795655714,0,0,0,0,0,0,0,0.0459417271210108,0,0,0.0866672147809346,0,0,0,0,0,0,0.140363762317461,0,0,-0.0108841236871439,0,0,0,0,0,0,0,0,0,-0.0503479045084608,0.0435413739423507,0,0,0,0.0182937678001893,0,0
