,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X002475.SZ,X600690.SH,X000651.SZ,X002304.SZ,X000063.SZ,X300124.SZ,X600104.SH,X000725.SZ,X003816.SZ,X002371.SZ,X600031.SH,X000625.SZ,X000596.SZ,X002129.SZ,X300014.SZ,X000338.SZ,X002179.SZ,X600089.SH,X600703.SH,X002049.SZ,X000100.SZ,X002236.SZ,X600372.SH,X002241.SZ,X000977.SZ,X601877.SH,X600741.SH,X000661.SZ,X000157.SZ,X600584.SH,X600522.SH,X002180.SZ,X002074.SZ,X000733.SZ,X600460.SH,X000800.SZ,X000988.SZ,X300142.SZ,X000066.SZ,X600702.SH,X300003.SZ,X002463.SZ,X002028.SZ,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.407363174760571,0,0,0.0942571411327466,0,-0.0820984291739357,0,0.0197281162458277,0,-0.0379617139231308,0,0,0,0,0.00747398013332635,0,0,0,0,0.0403634711165013,0,0,0,0,0,0,-0.0230071114607268,0,-0.0137574281923125,-0.0142050436968002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455730398795449,0,0,0,3.46944695195361e-18,0,0,0,0,0,0
X000858.SZ,0.277133209498959,0,0,0.277063479939395,0,0.0319765160655843,0,0.0080756785798403,0.00273392055925151,0,0,0,0,0,0,0,0.140650002274368,0,0,0,0,0,0,0,0,0,0,-0.0143649120652522,0,0,-0.0281145538232783,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0641647853003168,0.040592794898005,0,0,0,0,0.0293947151264486,-0.0186743924257269,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.130076166626627,0,-0.0205653575993916,0,0,0.317038769646404,0,0,0,0.169071102366661,0,0,0.295125367581537,0,0,-0.0483501414941043,0,0,0,0,0,-0.212056578189707,0.0993288847237216,0,0,0,0,-0.0375638352415301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.4591705928315,0,0,0,0,0,0,0,0.134925243888523,0,0,0,0,0,0.0229452332153547,0,0,0.0678739669949273,0,0,0,0,0,-0.0805934595323121,0,0,0.011903364481635,0,0,-0.0334615373292677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198658510463748,0,0,0,0,0,0,-0.0261325627728176,0,0,0,0,0,0
X600276.SH,0,0,0.0263627849270387,0,0,0,0,0.0906494705751673,0,0,0,0,0,0,0,0,0,0.164730376226165,0,0,0,0,0,0,-0.222246651176499,0.0738638146339834,0,0,0,0,0.0315678395283059,0,0,0,0,0,0.116831676496698,0,0,0.0491614648914568,0,0,0.116385817456362,0,0,-0.0503768776209796,0,-0.227559466982153,0.0566571469285136,0,0,0.00515639610347065,0,0,0,0,0,0,0
X600809.SH,0,0.0201020755204955,-0.0199292990613818,0,0,0,0,0,0,0.324119788445623,0,0,0,0,0,0.049424335855736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0466252960248199,0,0,0,0,0.00457088543262912,0,0,0,0,0.0342227405960347,0,-0.292162748276024,0.37123804006499,-8.67361737988404e-19,0.0993474053294065,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0258108201758702,0,0,0,-0.021448628894008,0,0,0,0.0913794890422761,8.67361737988404e-19,0,0,0,0.0515746059157205,0,0,0.0530647606071647,0,0.640586837975126,-0.0413324446007861,0,0,0,0,0.28962173683404,-0.11613870547944,0,0,0.0240274562187739,0,0,0.205738761946905,0,0,0,0,-0.0674014747054906,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.16558693741114,0,-0.0779982819019626,0,0.281942448906681,0,-0.00766825156312221,0,0,0,0,0,0.0111546416638987,0,0,0,0,0,0,0,0,0,0,0.0543157006708175,0,0,0.0467683650894848,0,0,0,0.136771220197379,-0.0152777941642951,0,-0.074020019224772,0.115275062479563,0.14315298436338,0,0,0,0.113866232208187,0,0,0,-0.082849568663425,0.0583023729887562,0,0,0.0290513801410755,1.73472347597681e-18,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0.254203013151192,0.109323007744167,0,0,0,0,0,0,0,0,0,-0.45892164128682,0,0,0,0,0,0,0.0758998651110293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.471618059107433,0,0,0,0,0,0.0123324757660926,0,0,0,0,0,0,0
X002304.SZ,0,0.212892182328313,0,0,0,0.0811091446132291,0,0,0.0821512842087716,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.00680791322646856,0,0,0,-0.00523293726493511,0,0,0,0,0,0,0.00677637478573541,0,0,0,0,-0.030668015647124,0,0,0.206354473327889,0,0,0,0,0,0.00555178387665025,0,0,0,0,0,0,0
