,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X600690.SH,X002415.SZ,X000651.SZ,X003816.SZ,X600809.SH,X002371.SZ,X000568.SZ,X000725.SZ,X600104.SH,X600031.SH,X300124.SZ,X000625.SZ,X000063.SZ,X002304.SZ,X000338.SZ,X002179.SZ,X000596.SZ,X000100.SZ,X300014.SZ,X002463.SZ,X002241.SZ,X600089.SH,X600584.SH,X002028.SZ,X600372.SH,X000157.SZ,X600741.SH,X600703.SH,X600418.SH,X600066.SH,X000977.SZ,X600522.SH,X002236.SZ,X600183.SH,X601877.SH,X002049.SZ,X600487.SH,X002294.SZ,X000800.SZ,X000921.SZ,X601799.SH,X002180.SZ,X002074.SZ,X000661.SZ,X002129.SZ,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0889422836671605,0,0,0,0,0,0,0.126443483806275,0,0.161863115293258,0,0,0,0,0,0,0,0,0,0.264051384629011,0,0,-0.0203099397512196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0446364831269536,0,0,0,0,0,-0.0267041999710056,0,0,0,0.015054407025381,-0.0813275136073069,0,0,0,0,0,0
X000858.SZ,0.465874025637506,0,0.151142836282655,0,0,0,0,0,0.0565185995305185,0,0,0,0,0,0,0,0,0,0,0.0192858504615285,0.232436091741171,0,0,-0.075335394657097,0,0,0,0,0,0,0,0,-0.0124983481976382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605805261440246,0,0.0790635526567121,0,0.0601711627706017,0,0,-0.00220490906134283,0,0
X600276.SH,0,0,0,0,0,0,0,-0.0429596989798923,0,0,0,0,0,0,0,0,0,0,0,0,0.0163984513899536,0,0,0,0,0,0,0,0,-0.0614982555402992,0,0,0,0,0,0,0,0,0,0,0,0.301056030438016,0,0,0,0,0,0.10949413316561,0,0,0,-0.0739330101742146,0.0210867507398871,0,0,0,0.00671401908204704,0,0
X002475.SZ,0,0,0,0,0,0,0,0,-0.186421073458537,0,0,0,0,0,0,0,0,0,0,-0.109613055397406,0,0,0,0.103200873128867,0.460971450888358,0,0.138601008387995,0.00614608201306227,0,0,0,0,-4.33680868994202e-19,0,0,0.148453766009644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00659642899077242,-0.0704003735708932,0,0,0,-0.0189389973206792,0,0
X600690.SH,0,0,0.0744235354532586,0,0,0,0.506879101502734,0,0,0,0,0.106839584909156,0,0.08871237673182,0,0,0,0,0.0781432288606203,0,0,0,0.0820414886265807,0,0,0,0,0,0,0,0,0,0,0,0,0.0534380945827044,0,0,0,0,0,-0.0096753461845515,0,0.228161347571042,0,0,0,0,0,0.060449900205616,0,0,0.00958203833444911,0,0,0,-0.0185744925017661,0,0
X002415.SZ,0,0,0,0,0.344676257368748,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.137610111860347,0,0,0,0,0,0,0,0.0521279009237727,0,0,0,0,0,-0.107073552693359,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0699505007862621,0,0,0,0.000631941017681186,0,0,0.0200233946738853,0,0.00811872202889796,0,0,-0.0170518057005706,0,0
X000651.SZ,0,0,0,0,0.138514794492131,0,0,-0.0639651563725554,0,0,0.117814649093855,0,0,0.0726885606684696,0,0,0,0,0,0,0,0,0,0,0,0.108644791679135,0,0,0,0,0,0,0,0.0678252149971663,-0.0111406176515505,0,0,0,0,0,0,0,0,0.149612485745528,0,0,0,0,0,0,0,0,-0.0600092109499442,0.0894269423975447,0,0,-0.0254174029460918,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.348145312537002,0,0,0,0,-0.0740596635737566,0,0,-0.349607520492911,0,-0.170430577458237,0,0,0,0,0,0,0,0,0,0.172975692778577,0,0,-0.039734904161669,0,0,0,0,0,0.0731495339684616,-0.124753930046113,0.269467039159252,0,0,-0.0772763771871106,0,0
X600809.SH,0,0,0,0,0,0,0,0.0474335140255488,0,0,0.321522668488956,0,0,-0.136980368590227,0,0,0,0,0,0,0.529221992806924,0,0,0,0,0,0,0,0.0484973921054843,0,0,0,0,0,0,0,0,0,0,0,-0.120782579878988,0,0,0,0,0,0,0,-0.0180360546064207,0,0,0,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0536660817519816,0,0,0,0,0,0,0.0665333374527179,0,0,0,0,0,0.226191175540948,0,0,0,0,0,0.0634412229156987,0.20576230908917,0,0.175174225094009,0,0,0,0,0,0,0,-0.131119329804946,0,0.0960560475714277,0.00377236258865923,0,0,0,0.116548053709186,0,0,0,0,0,0,0,0
X000568.SZ,0,0.704650196644977,0,0,0,0,0,0,0.162958648865265,0,0,0,0,0,0,0,0,0,0,0,0.122870750863499,-0.0657339445103085,0,0,0,0,0.0515266741975976,0,0,0,0,0,0.0343921318393464,0,0.0684065450842244,0,0,-0.0572093551802393,0,0,-0.131598303768754,0,0,0,0,0,0,0,0,0.0306307854216533,0,-0.0420082300033686,0,-0.0971901573569474,0,0,-0.00610622352917412,0,0
