,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600690.SH,X600276.SH,X002475.SZ,X000651.SZ,X600104.SH,X300014.SZ,X002371.SZ,X300124.SZ,X002129.SZ,X000596.SZ,X003816.SZ,X000625.SZ,X000725.SZ,X002049.SZ,X600031.SH,X000063.SZ,X002179.SZ,X002241.SZ,X000338.SZ,X600089.SH,X600703.SH,X600522.SH,X000661.SZ,X002180.SZ,X000733.SZ,X300142.SZ,X601877.SH,X002074.SZ,X600741.SH,X000100.SZ,X600884.SH,X000157.SZ,X600702.SH,X600460.SH,X601799.SH,X600487.SH,X000799.SZ,X300003.SZ,X002236.SZ,X600584.SH,X600563.SH,X002414.SZ,X600372.SH,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.242744264238347,0,0,0,0,0,0,0,0,-0.00243498267207452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0195584946921385,0.0719049979403936,-0.0221230532709627,0,0,0.0218854505490771,0,0,0,0,0,0.120688003953989,0,0,-0.0258064020059993,0,-0.0354961436881861,0,0,0,0,0,0,0,0,0.00939342138477487,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.19935914102124,0,0,0,0.0526694576623965,0,-0.0382249187480326,0.0214977925590522,0,0,0.0616000710790128,0,0,0,0.0327867991220635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269317631236645,0,0,0,0.042031324612074,0,0,0,0,0,0,0,0,0,0.0181390590784399,0,0,0,0,0,0
X600809.SH,0,0,0,0.0951497803918591,0.0811677833660983,0,0,0,0.0219412445978472,0,0,0,0.0762449096607664,-0.157896830077071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0604605152471123,0,0,0.00822900732258146,0,0,0,0,0,0,0.0986683917431964,0,-0.153338481820691,0,0,0,0,0,0,0,0,0,0,-0.036434216439041,0,0,0,0,0,0,0
X000568.SZ,0,0,0.154832408378925,0,0,0,0.00884830033106029,0,0,0,0,0,0,0,0,0.0560062809847775,0,0,0,0,0,0,0,0,0,0.00184468499364199,0,0,0,-0.00872548753442677,0,0,0,0,0,0,0,0,0.241330581326576,0,0,0,0.203117524725582,0,0,0,0,0,0,0,0,-0.0292228658645448,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,-0.0351131546500931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00942307445142283,0,-0.0839431775197859,0,0.224681977564514,0.0145992702190025,0,0,0,0,0,0,0,0,0,0,0,0.363349155564275,0.189735104217988,-0.216686686006934,0,0,0,0,0,0,0,0,0,-0.0107204856942377,0,0
X002304.SZ,0,0.215981082704927,0,0,0,0,0,0,0.0359833159960544,0,0,0,0,0.0473762904145095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191391462708875,0.102427936805034,0,0,0,0.0404966685498687,0,0,0.0261397757236986,0,0.146062207386325,0,0,-0.0340093827201403,0,0,0,0,0,-0.131202105382195,0,0,0,4.33680868994202e-19,0.0298183148469532,0,0,0,0,0,0
X600690.SH,0,0,0,0.105348497684418,0,0,0,0,0,0.0762608814862289,0,0,-0.0441839567171593,0,0,0,0,-0.0509998340152283,0,0,0,0,0,0,0,0.0200174393533438,0,0,0,0,0,0,-0.143537811612205,0,0,0,0,0,0,0,0.0459662317603782,0,0,0.261453318224217,0,0.026758613668184,0,0,0,0,0,-0.0085659443929148,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.391815820263508,-0.170183999594477,0,0,-0.00707029216728178,0,0,0,0,8.67361737988404e-19,0,0,0,0.386617188219493,0,0.143717973426031,0.0355945944534454,0.0464859174591023,0,0,0,-0.124716401962315,0,0,0.0173579826418331,0,0,0,-0.0883905213293285,0,0,0,0,-0.0306059953424654,-0.0104897664656556,0,0,0,0.0928888705739598,-0.116301058681184,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,-0.103989175036973,0,0,0,0.0141467856701409,0.0530753149591798,0.456645718294054,0,0,0,0.0414064516376519,0,0,0,0,0,0.0689335032756695,0.132149567680072,-0.0824752595013328,0,3.46944695195361e-18,-0.0419449962216185,0,-0.135641008617366,0,0,0,0.0105383359030443,0,0,0,0,0,0,0,0,0,0,0,0,0.133098504979838,0,0,0,-0.0938427052709415,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0.047507484912975,0,0,0.4825503447198,0.0825323208966725,0,0,0,-0.0315425265024826,0,0,0,0,0,0,0,0,0.131330278485951,0,0,0,0,0,0.0481446506541281,0,-0.0420244754166718,0,-0.0430754578818074,0.0227873872374465,0,0,0,0,0,0,0,0,0,0,0.0659707263058046,0.0762096885749627,0,0,0,0,0,0,0,0,0,0,0,0,0.0613236802890977,0,0
