,X600519.SH,X000858.SZ,X000651.SZ,X600276.SH,X600104.SH,X002415.SZ,X002304.SZ,X000725.SZ,X002475.SZ,X000568.SZ,X000063.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000661.SZ,X000596.SZ,X601877.SH,X002236.SZ,X600183.SH,X000100.SZ,X600703.SH,X002007.SZ,X300003.SZ,X300142.SZ,X000157.SZ,X000625.SZ,X002241.SZ,X002179.SZ,X600271.SH,X300124.SZ,X600867.SH,X600498.SH,X002129.SZ,X002463.SZ,X300136.SZ,X002506.SZ,X002008.SZ,X600177.SH,X300014.SZ,X002049.SZ,X600066.SH,X300146.SZ,X000050.SZ,X600487.SH,X002371.SZ,X000977.SZ,X000066.SZ,X600118.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.492631925344805,0.0352249858238575,0,0,0.0169409474249288,0,0,0.0719885339425474,0,0,0,0,0,-0.0802328712271171,0,0.0286180548065466,0,0,0,0,0,0.056439705464582,0,0,0,0,4.33680868994202e-19,0,0,0,0,0.0190639749934052,0,0,-0.0309083558746805,0,0,0,0,0,0.126107193311339,0,0,0,0,0,0,0,0,0,-0.0109322003645793,4.33680868994202e-19,0,0,0,0,0,0
X000858.SZ,0.0492469876515073,0,0,0,0,0,0,0,0.131282278488462,0.315664140933468,0,0,0,0.0424161839001829,0,0.0418828194456028,0,0.0714042113919864,0,0,0,0,0,0,0,0,0,-0.030387599610231,0,0,0,0,0,0,0.015661322519278,-0.0928402252327371,0,0,0,0,0,0,0,0,0,0,0.135543175869465,0,0,0,0,-0.0177619412772555,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.211854883239388,0,0.145194416083607,0,0,0,0,0,0.0786463069666545,0.103822877662158,0,0,0,0,-0.00545446660834514,0,0,0.179832718154189,0.0268557353303404,0.0354521194137217,0,0,0,0,0,0,0.0282263427635041,0,0,0,0,0,0,0,0,0,0.0294043754119624,0,0,0,6.93889390390723e-18,0,0,0,0,0.0247767773407779,-0.0148187364268976,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.0741341554023277,0,0,0,0,0,0,0,0.315607087384732,0,0,0,0.00303687251250908,0,0,0.0391458423457019,0,0.140936809226322,0,0.0496812424942294,0,0,0,0,0.0763904349888048,0,0,-0.0266760719973093,0,0,0,0,0,0.148743861004398,0,0.0500404040075644,0,0,0,0,-0.0977083251073189,0,0,0,-0.0135303944056854,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125872540899277,0,0,0.0478579085878842,0,0,-0.041169710485636,0,0,0.057991761878078,0.117848282184465,0,0.053460157664585,0.183879207536415,0,0,0,0,0,0,0,0,0,0,0,0,0.0540720845228324,-0.0398192506496649,0,0,0,0,0,0.0756119904209419,0,0,0,0,-0.020517424158614,0,0,0,0,0,0
X002415.SZ,0,0.182159297630138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888780923043317,0.0214664492175323,0,0.579511120420112,0,0,0,0,0,0,0,-0.0209733930861576,0.319220552831894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0172807899946242,0,0,0,0.00993249497828093,0.00378405504172216,0,0,0,0,0,0
X002304.SZ,0,0,0,0.0759336112856163,0,0,0,0.0302805627423354,0,0.0257096488720916,0,0,0,0,0.174507367630739,0.0445276556233418,0,0.159044031045762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0271966620634021,0,0,0,0.0735301724200081,0,0.00661155208713442,0,0,0,0,0,0,0,-0.0539839482336944,0,0.0159547915803479,-0.0476564604489166,0.0613498455391603,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.0408295522567255,0,0,0,0,0,0,0,0,0,0,0.164730735129698,0,0,0.0519625896803399,0,0,0,0,0,0,0,0,0,0,0,0,0.09210204394058,0.0322234659073061,0,0,0,-0.0176361192341117,0,0,0,0.35240324565358,0,0,0,0,0,0,0,0.0624962999387421,0,0,0,0,0,0
X002475.SZ,0,3.46944695195361e-18,0.393143358792112,0,0,0.306517563551591,0,0,0,0,0.044707667518519,0,0,0,0.118944516791921,0,0.200013686522819,0,0,0,0,0,0.0754247002549694,0,0,0,0,0,0,0,0,0,0,0,0,0.0373695051503633,0,0,0.205631011155926,0,0,0.138618439841115,0,0,0,0,0,0,0,0,0,0,-0.0484848733085626,0,0,0,0,0,0
X000568.SZ,0,0.669683401675672,0,0,0,0,0,0,0,0,0.0488511333185025,0.0510242304684799,0,0,0,0,0.00282333255229036,0.0981343695571579,0,0,0,0,-0.0560852032455774,0,0,0,0,0,-0.0332197742208708,0,0,0,0,0,0,0,0,0,0.164496959223024,0,0,0,0,0,0,0,0,-0.175510431229981,0,0,0,-0.0123668358600004,0,0,0,0,0.0494658664392391,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0.107885345139703,0.12642823014271,0,0,0,0,0,0,0,0,0,0.146179367947447,0,0,0,0,0,0,0,0,0.203409246731176,-0.1096142591841,0,0,0,0.490862224060495,0,0.0113092310791895,0,0,0,0,0,0.186356460648182,0,0,0,0,0,0,0,0,0,0.0308743519806845,0.0984646948933455,0,0,0,0,0,0
X600031.SH,0.194056288916287,0.0873222544163613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0629239661798048,0.0835760848229376,0.144770040146974,0,0,0.0414573867017157,0,0,-0.0507836872867669,0,0,0,0,-0.118296212895562,0,0,0,0,0,0,0,0,0,0.0273921352080732,0.0232716623967157,0,0,0.0112337510458086,0.0256932056113103,0,0,0,0,0,0
