,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X000338.SZ,X002475.SZ,X000568.SZ,X600741.SH,X601877.SH,X600271.SH,X600703.SH,X002236.SZ,X000100.SZ,X300003.SZ,X000625.SZ,X300124.SZ,X600809.SH,X002008.SZ,X600487.SH,X000661.SZ,X000596.SZ,X600498.SH,X002007.SZ,X002456.SZ,X000157.SZ,X300142.SZ,X600566.SH,X002179.SZ,X300146.SZ,X600177.SH,X600089.SH,X600066.SH,X002180.SZ,X002506.SZ,X600867.SH,X600522.SH,X600372.SH,X002129.SZ,X000977.SZ,X002241.SZ,X002508.SZ,X300136.SZ,X002294.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.0731038424539246,0.0122292702294051,0.160322061720532,0,0,0.00681788182190839,0,0,0,0,0,0,0,-0.0647371880469075,0,0,0.0255816094058553,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.0718595169952075,0,0,0,0,0,0.032444592602189,0,0,0,0,0,0.0270981315426331,0.067480016137957,0,0,-0.0307578936546311,0.0244639908532507,0,0,0,0,0,0
X600104.SH,0,0,0,0,0.128228763391868,0,0,0,0.0743842782826268,0,0,0,0,0,0,0,0.0252822778447212,0,0.0543793523937279,0,0,0,0,0.0280081918957281,0,0,0,0,0,8.67361737988404e-19,-0.0637122195127232,0,0,0.262078917799386,0.0203275836224104,0,0,0,0,0,0,0.0276514591287896,0,0,0.0449593251172469,0,0,0,0,0,0,0.0135047906393615,-0.0675450421888772,0,0,0,-0.0050321442633503,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.13815521665385,-0.00888395483159068,0,0,0.135013218928343,0.133414007183237,0,0.0360839721709236,0,-0.044063470085893,0.523655374962556,0,0,0,0,0.073303415243505,0,0,0.117771090972986,0,0,-0.160645792690695,0,0,0,0,0,0,0,0,0,-0.0370704809002843,0,0,0,0,0,0,0,0.0820402491657209,0,0,-0.0489867164324578,-0.0256463422212424,0.0186560582385206,0,0,0,0,0,0
X000651.SZ,0,0.0675669567145686,0,0,0.0554266410338699,0,0,0,0.227592686402998,0,0,0,0,0,0,0,0,0,0.025760967898804,0.0286821052605581,0,0,0,0,0,0.0245723438554283,0,0,0,0,0,0,0.073782825368046,0,0,0,0,0,0,0,0,0,0,0,0.0761055680950803,0,0,0,0,-0.0439840791579158,0,-0.00746577079446339,0.00310200293627273,0,0,0,0,0,0
X000858.SZ,0,0,0.12556148958363,0,0,0.0283525955559091,0.0745788889167826,0,0.0279909776502254,0,0,0,0,0.337981658200124,0,0,0,0.000865568032054785,0,0,0.00509511110407705,0,0,0.0137978650946582,0,0,0.0526824530723393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00549775674605342,0,0,-0.000602210401584906,-0.00223366023298391,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33788360536323,0,0,0.414051445078865,0,-0.27122182749146,0.04521170309496,0.00773803506086225,0,0,0.155989272190535,0,0,0,0,0,0.125753539586429,0,0,0,0,0,0,0,0,0.0647924091684522,0,-0.19315469374754,0,0,0.204308323358193,0,0,0,0,0.0801933476409588,0,0,0,-0.0165517802526971,0,0
X002304.SZ,0.0313052446342147,0,0,0,0,0,0,0,0,0,0,0,0,0.0376559410846609,0,0,0,-0.0643061888973295,0,0,0.173850884877499,0,0,0,0,0,0,0.373966978933777,0,1.73472347597681e-18,0,0,0,0,0,0.0945894676927429,0,0,0,0,0,0,0,0,-0.158565072297306,0,0,0.148461841424531,0,0,0,-0.0192045956719186,0,0,0,0,-0.0564013719736801,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.0504170924323795,0.105229239162743,0,0,0,0,0.0888974828426823,0,0.0346921212049602,0.062536533631559,0.116891698636016,0,0.0724504589650943,0,0,0,0,0,0,0,0,0,0,0,0.0187326927133506,0,0,0,0,0,0,0,0.0680530577004713,0,0.0253741281134954,0,0,0,0,0.00273955279443405,0,-0.0828861752911351,0.00651114359398383,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177459976689961,0.0239630209047043,0,0,0,0,0.106069221533987,0.0257799571368506,0,0,0,0,0,0,0.21542815571826,0,0,0.0206229937807969,0,0,0,0,0,0,0,0,0,0,0,0,0.247154837783654,0,0,0,0.00228399978073516,-0.0280725379745332,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102511651197439,0.00397183297329869,0,0,0,0.107293881626958,0,0,0,0.271236429754246,0,0,0.201533698597107,0,0.0287119556349226,0,0,0,0,0,0,0,0,0,0,0,0.173169427632466,0,-0.0322188201662495,8.67361737988404e-19,0,0,-1.73472347597681e-18,0,0,0.0210434708390518,-0.0160579824350603,0,0,0,0.131984974528118,0,0
