,X600519.SH,X002415.SZ,X600104.SH,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X600031.SH,X002475.SZ,X000338.SZ,X000568.SZ,X600741.SH,X600703.SH,X601877.SH,X600271.SH,X002236.SZ,X000100.SZ,X000661.SZ,X002008.SZ,X300003.SZ,X600809.SH,X300124.SZ,X600487.SH,X600776.SH,X002456.SZ,X000596.SZ,X600498.SH,X000625.SZ,X002007.SZ,X000050.SZ,X000977.SZ,X002371.SZ,X002179.SZ,X002241.SZ,X000157.SZ,X002180.SZ,X300142.SZ,X600089.SH,X600522.SH,X600372.SH,X300146.SZ,X600066.SH,X600867.SH,X600177.SH,X600118.SH,X300136.SZ,X600566.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0748988444455993,0,0,0.00864845940589019,0,0,0,0,0,0,0.00772311791809026,0,0,0,0,0.0224421236888215,0,0.00858090645329985,0,0.00264069777559364,0,0,0.258424409712094,-0.0162238889737269,0,0,0,0,0,0.0121627063375127,0,0,0,0,0,0,0,0,0,0,0.0768800742925607,0,0,0,0,0,0,0,-0.00869101799567978,0.00405489970845491,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0445841284573027,0,0,0,0,0.0790198769956616,0.0651939242475057,0,0.0661389005861367,0,0,0,0,0.265718824213733,0,-0.0060879391734395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200381196306269,0.00807631188100606,0,0,0,0,0,0,0,0,0,0,0,0.0172904228923588,0,0,-0.0297311933023956,0.0344365751821166,0,0,0,0,0,0
X600104.SH,0,0,0,0.260507870816499,0,0,0,-0.0553869191690644,0,1.73472347597681e-18,0,0,0.113456636420857,0,0.312832579995138,0,0,0,0.00706524242831214,0,0,0,0,0,0,0,-0.0275057188081715,0,0,0,0,0,0.0486981003510289,0,0,0,0,0,0.0551400380466652,0,0,0,0,0,0,0,0,0,0,0.185519802179122,0.0467000113003726,0.0134728476949485,-0.0313837274745721,0,0,0,-0.117702531935814,0,0
X000858.SZ,0,0.0987415550620453,0,0,0,0,0.132828762833327,0,0,0,0,0,0,0.361991119322323,0,0.0351940768217374,0,0,0,0,0,0,0,0.0700278797007526,0,0,2.16840434497101e-19,0,0,0,0,0,0.000875393470528473,0.00337877423575355,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451810553744243,0.00481380517286504,0,0,-0.0181316042179974,0.00419651038729657,0,0,0,0,0,0
X000651.SZ,0,0,0.192243968921898,0.0802550807015883,0,0,0,0,0,0.136510544564667,0,0,0,0.0765378848707565,0.0478927926376209,0,0,0,0.0736759193069839,0,0,0,0,0,0.0433290415090362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375937159590032,0,0,0,0.00150372853450921,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,-0.190030941362122,0,0,0,0.147163131507285,0,0,0,0,0.11206688307301,0.0786415164516478,0.554135230822463,0,-0.127700120514159,0,0.0845104763752641,0,0.204669093937688,0,0,0,0,0,0,0,0,0,-0.113365376116434,0,0,0.0925033703682399,0,0,0,0,0,0,0,0,0,0.0246692030764894,0.0535296391201659,0,0,0,0,0,0
X002304.SZ,0,0,0,0.161693003365341,0,0,0,0,0,0,0,0,0,0.0290152354147624,0.0522367391103185,0,0,0,0,0,0,0,0.127433107436063,0,0,0,0.0248533797506772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0458405506395799,0,0,0,0,-4.33680868994202e-19,0,0,0.00602698122272707,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.0770339786713813,0,0,0.00783692639479362,0,0,0,0,0.117494833726669,0.0980597839397721,0,0,0.0242157016228507,0,0.00420533109337532,0,0,0.132890331158155,0,0,0,0,0.157115953946507,0,0,0.148411221685874,0,0,0,0.0859404236627297,0,0,0,0,0,0,0,0,0,0,0,-0.0265890588369172,0.0204229280773675,0,0,0,-0.0805907400456779,0,0
X000063.SZ,0,0,0,0.0277210195461756,0,0,0,0,0,0,0,0,0,0.0713152181969049,0,0,0,0,0.158196639098335,0,0,0,0.0467880217353284,0,0,0,0.014644513298278,0.0311525589473556,0,0.0251819053246736,0,0,0,0.0736431222521031,-0.0937244430138655,0,0,0,0,0,0,0,0,0.0268568636837058,0,0.0333883282728497,0,0,0.175987502429746,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0
X600690.SH,0,0,0.183373003715308,0.0814170126027325,0.166312501751143,0,0,0,0,0,0,0,0.137987037795185,0,0,0,0,0.000457367619546612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167826551597685,0,0.0762721279581464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0292555867881618,-0.00852789292341236,0,0,0,0,0,0
