,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002475.SZ,X600690.SH,X000651.SZ,X000625.SZ,X300124.SZ,X002304.SZ,X003816.SZ,X600104.SH,X000725.SZ,X002371.SZ,X000338.SZ,X000596.SZ,X000063.SZ,X600031.SH,X002179.SZ,X300014.SZ,X000100.SZ,X600089.SH,X600703.SH,X002241.SZ,X600372.SH,X002129.SZ,X002236.SZ,X000661.SZ,X000157.SZ,X002049.SZ,X600584.SH,X600741.SH,X000977.SZ,X601877.SH,X002463.SZ,X600183.SH,X002007.SZ,X600522.SH,X002028.SZ,X000800.SZ,X600460.SH,X300142.SZ,X601799.SH,X002074.SZ,X002294.SZ,X600418.SH,X002223.SZ,X002156.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.279259143313032,0,0,0.324268242989769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104792266811814,0,0.205695963752661,0,0,0,0,0,0,0.173279784192847,0,0,0,0,0,0,0.0961032795160083,0,-0.0336604324387788,0,-0.0193721161749755,0,0,0,0,0.0175382552656777,0,0
X000858.SZ,0.147838126352028,0,0,0,0.139159492478748,0.301982062340819,0,0.07619691653717,0,0,0,0.0152852474340601,0,-0.118389454537267,0,0,0,0,0,0,0,0.0377464862065761,0.10444849373311,0,0,0,0,0.0669871207831372,0,0.0197030984134315,0,0,0,0,0,0,0,0,0,0.0232667447384752,0,0,0.00512978988981385,0,0,0,0.00234355183733309,0,0,0,0,0,-0.00468746924454661,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,-0.0441523585824049,0,0,0,0,0,0,0,0,0,0,0.129759494421898,0.0808778142797659,0,0,0,0.202474830624676,0,0,0,0,0,0,0,0,0,0,0.115165963690783,0,0,0,0.0865864963643196,0,0,0,0,0,0.0510642431862385,0,0,0.0295388113265737,0,0.00830440050541663,0.0296587028785936,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0325713388189859,0.146678137570429,0,0.00956340312566641,0,0,0,0,0,0,0.124838775355899,0,3.46944695195361e-18,0,0,0.0026997100580208,0,0,0,0,0,0,0,0.163816540042952,0,0,0.0272902057956453,0,-0.0523828735057547,0,0,0,0.1031139177986,0,0,0,0,0,0,0,0.123291330840125,0,0.0826809677671616,0,0,0.0179696792506139,-0.026308906272815,0,0,0,0,0,0
X600809.SH,0.0842743837050847,0,0,0,0,0.48612304683801,0,0,0,0,0,0,0,0,0,0,0,0.242178172904409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050602206725776,0,0.110288929558715,0,0.0299821943392878,-0.106029564881756,0,-0.0662135205084668,0,0,0.0558697464485311,0,0,0,0,0.0172241009237732,0,-0.0179702654286273,0.0174060874303503,0,0,0,0,0,0
X000568.SZ,0,0.470779838087688,0,0,0.525713858170314,0,0,0,0,0,0.0401500588505718,0,0,0,0,-0.0247390024440157,0.0170926275937959,0,0,0,-0.039065041920173,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.060190267933913,0,0,-0.100703210824943,0,0,0,0,0,0.0214721346535336,-0.0408641534924664,0,0,-0.0311392031477684,0,0,0,0.0126081547504992,-0.010093097584342,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438799218281771,0,0,0,0.199347943673422,0,0,0.0596114751227323,0,0,0,0,0,-0.0647122525903962,0,0,0.0620925627411565,0,0.145146457672208,0,0.0642234116105864,0,0,0,0.0197232379412543,0,0.0335027794206371,0,0,0,-0.00323267928100592,0.0303475785601673,0,0,0,0,0,0
X600690.SH,0,0.0106079337729697,0,0,0,0.18888312450798,0,0,0.110142914417853,0,0,0,0,0,0,0,0.0786272013234696,0.113236475944654,0,0,0,0.0864831581469423,0,0,0,0,0,0,0,0.0423907426524264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157438047211694,-0.00196531440289939,0.0287804473161038,0,0,0,0,0,0
X000651.SZ,-0.00553081864425873,0,0,0,0,0,0,0.536541971467148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.199234005848557,0,0,0,0,0,0.0585216159326729,0,0,0,0,0.153643946072044,0.104644485257172,0,0,0.122330193600964,0,0,0.093067048985266,0,0,0.0632522341368626,0.081324256635108,0,0,0,0,0,0,0.0874169588787172,-0.170674618043537,0,0,0,0,0,0
X000625.SZ,0,0,-0.0327587313391522,0.0801742459055802,0,0,0,0,0,0,0,0,0,0,0,0,0.412504392027006,0,0,0,0,0.0934488955524588,0,0,0,-0.168271085381593,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0541677468976716,0,0,0,0,0,-0.0114583653440753,0,0,0,0,0.356998597419024,0.106759460944531,0,0,0.00813259966189343,-0.0205445817516949,0,0,0,0,0,0
