,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X002475.SZ,X000338.SZ,X002236.SZ,X300003.SZ,X600031.SH,X002008.SZ,X601877.SH,X600809.SH,X300124.SZ,X600867.SH,X600271.SH,X600066.SH,X000625.SZ,X002456.SZ,X600487.SH,X000596.SZ,X002294.SZ,X000100.SZ,X600566.SH,X000981.SZ,X002241.SZ,X000661.SZ,X002508.SZ,X300142.SZ,X002180.SZ,X300136.SZ,X000157.SZ,X002007.SZ,X000050.SZ,X000869.SZ,X002038.SZ,X002179.SZ,X600522.SH,X600177.SH,X600498.SH,X600089.SH,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.362170040156665,0.102415046117437,0.0903796330392652,0.00776566295553367,0,0,0,0.0305363485397256,0,0.0222029155193909,0,0,0,0,0,0,0,0.0492130787008412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00968166824765491,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.000115652403499222,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.28661662903832,0,0,0,0,0,0,0,0,0,0,0.10045228574053,0,0,0,0.101125786028722,0,0,0,0,0,0.140605807598722,0.114197877969398,0,0,0,0,0,0,0,0,-0.0106662961095061,-3.46944695195361e-18,0,0,0,-0.138714031217869,-0.0855206288461208,-0.0953150178717389,0,0,-0.0344179217154177,0,0,0,-0.0281739516145635,-0.0641827028045301,0,0,0,0,0,0
X002415.SZ,0.0685779419068726,0,0,0,0,0,0,0,0,0,0,0,0.0240840499213586,0,0,0.203299068175808,0,0,0.0244753500343614,0.0287698389405527,0,0,0,0,0,0,0,0.131851269410691,0,0,0,0.184882564120773,0,0.241890029063219,0,0,0.0453448068675854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0122957334410204,-0.0243564093593888,-0.0989897887603423,0,0,0,0,0
X000858.SZ,0.207752834457302,0,0,0,0.187667455862214,0,0,0,0,0,0.134418974722395,0,0.160335277494422,0,0,0.0840662278106746,0,0,0,0,0.100777672720153,0,0,0,0,0,0,0,0.0289457862030308,-0.079943385667858,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0209677546141934,0,0,0,0,0,0,0,0.00489315074768682,-3.46944695195361e-18,0,0,0,0,0,0
X000651.SZ,0,0,0,0.5329589280223,0,0,0,0,0,0.134602315071668,0,0.0553338599123322,0,0,0,0,-0.0173804726327378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0996667694348366,0,0,-0.0529171469492905,0.247342188357716,0,0,0,0.183331190402381,0,0,0,0,0,0.0101944116788757,0.057928379493567,0,0,0,0,0,0
X600276.SH,0.266680269932922,0,0,0,0,0,0,0,0,0,0.0688898443961695,0,0,0,0,0,0.28577362919115,0,0,0,0,0,0.0320092576533892,-0.0997738886438199,0,0,0,0,0,0.15043227019227,0,0.165592618867758,0,0,0.161744024210891,-0.000290011766017664,0,0.0490732675922529,0,0,0,0,0,0.0519888585577867,0,0,0,0,0,0,0,-0.0636620003682778,0.0147030740507419,0,0,0,0,0,0
X002304.SZ,0,0,0.0862182415704481,0.0958931706827832,0,0,0,0,0,0.222229744188605,0.027945228958398,0,0.159126816374227,0,0,0,0,0,0,0,0.191506402318397,0.10753006047765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153025617357419,-0.00934027715692942,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0.0198574646699288,0,0,0,0,0,0.0108996273292755,0,0,0,0,0.0822359343960505,0,0,0,0,0,0,0,0,0.169752267344187,0,0,0.124700499592713,0,0,0,0,0,0.118225981859011,0,0,0,-0.117224217048888,0,0,0,0,0,0,0,0,0,0.0601848733154437,0,0,0,-0.0125677465966431,0.0281353290599993,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0041715296950059,0,0,0,0,0,0,0,0,0,0,0,0,0.161881095023422,0,0,0,0.0632588067744813,0,0.0198352661052644,0,0,0,0.208332919225718,0,0,0.158107055041443,0,0,0.167619103345252,0,0,0,0,0,0.0269142064397662,0,0,0,0.0159521038319819,-0.00725186968223716,0,0,0,0,0,0
X600690.SH,0,0,0,0.297356640067598,0,0,0.106831747636476,0,0,0,0,0,0.140437450736054,0,0,0,0,0,0,0,0.0458501836289133,0.0372904106251786,0,0,0.0507941865304729,0,0,0,0.0735921798743736,-0.0841574432499721,0,0,0.0288614293370574,0,0,0,0,0.0619541798722537,0,0,0,0,0,0,-0.00886195945321546,0,0,0,0,0,0,-0.0191572430931755,-0.0262184685342174,0,0,0,0,0,0
