,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002475.SZ,X002415.SZ,X600104.SH,X000063.SZ,X002304.SZ,X600031.SH,X000725.SZ,X003816.SZ,X000661.SZ,X000568.SZ,X600809.SH,X600690.SH,X000338.SZ,X600703.SH,X300142.SZ,X002241.SZ,X000100.SZ,X300014.SZ,X002007.SZ,X002371.SZ,X000596.SZ,X600741.SH,X600183.SH,X300003.SZ,X300124.SZ,X000977.SZ,X000625.SZ,X002236.SZ,X601877.SH,X002129.SZ,X000800.SZ,X000157.SZ,X300136.SZ,X600584.SH,X002456.SZ,X002414.SZ,X002463.SZ,X002179.SZ,X600118.SH,X002049.SZ,X000066.SZ,X002185.SZ,X002223.SZ,X600522.SH,X002180.SZ,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.427497259873534,0.103169437972789,0,0,0,0,0.0524263079512819,0,0,0,0,0,0,-0.120143511656029,0,0,0,0,0,-2.16840434497101e-19,0.0585788183010236,0,0,0,0.0254042492447267,0,0.0731243855554375,0,0,0.013860254699108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0532789752647488,-0.0552941025096607,0,0.00931571454170943,-0.000544433609120273,0,0,0,0,0,0
X000858.SZ,0.232274233341582,0,0,0,0,0,0,0,0.0728068191760513,0.00507020279281283,0,0,0,0.170413019095987,0.34452579199168,0,0,0,0.0808440303554803,0.0904283348527958,0,0,0,0,0.10272751318153,0,0,0,0,0.0174672134234965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0212008823268349,0.0431746295925656,-0.0294139804411259,0,0,0,0.00643437824693379,-0.00333545564767053,0,0,0,0,0,0
X600276.SH,0,0.0724010077497973,0,0,0,0,0,0,0,0,0,0,0.247016916281305,0,0,0,0,0,0.0246165629323721,0,0,0,0.0439871555447542,0,0,0,0.0433808791054435,0,0.0186575931228117,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0424625396620646,0.116575015195444,0,0,0.198269821045324,-0.122279753772597,0,0,-0.0266415030688458,-0.0133512468201575,-0.00508822081987224,0,0,0,0,0,0
X000651.SZ,0,0.137010162721521,0,0,0.0595552073415181,0.0905548013255567,0.092956274019499,0,0,0,0,0,0.0444288791725452,0,0,0.208475369236505,0,0,0,0,0,0,0,-0.00423998991380354,0,1.73472347597681e-18,0,0,0,0.0181859192074113,0,0,0,0,0,0,0,0,-0.126228610527125,0,0,0,0,0.062237788237289,0,0,0,0,0,0,0,0.0099708913860547,-0.00161163856990575,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255371167848516,0,0.0822654985660395,0,0,0.0360967501822184,0,0.0497387909368184,0,0,0,0,0,0,0.032722211180392,0,0,0,0,0,0,0,0,0.112415239206734,0.177192701792776,0,0,0,0,0,0.105013921691667,-0.047604804960294,0,-0.050134792346819,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0360476232912483,0.17959926370814,0,-0.189964774290223,0.194169467800284,0,-0.0530687567791273,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0326023232556609,0,0,0,0,0,0.262370850938732,0,0.158881505860831,0,0,-0.0467851041432009,0,0,0.0456668332725509,0,0,0,0,0.120311772929944,0,0,0,0.0844236548458875,0,0.123079561191581,0,0,-0.00947267381338804,0.00232951806446969,0,0,0,0,0,0
X600104.SH,0,0.167518803792902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126424289884218,0.167144132756912,0,0.044221920264382,0,0.0628390355871836,0.089378119685505,0,0,0,0.0382784622158825,0,0,0,0,0,-0.0570801661761119,0,-0.0193206536524759,0,0,0,0,4.33680868994202e-19,0,0.0735684835303572,-0.0360062955253051,0.0244985871265249,0.0030735419499691,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.26055680883898,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0291667096126273,-0.139217286478846,0,0,0,0,0,0,0,0,0,0,0,0.242717421156261,0,0.170139420903862,0,0,0,0,0,0,0,0,0,0.0712912844385387,-0.00361032894598578,0,0,-0.0199826998209585,0.0614697177295137,-0.059394124289227,0,0,0,0,0,0
X002304.SZ,0.093668391870279,0.0585906967511299,0,0,0,0,0,0,0,0.0894898334770086,0,0,0,0,0,0,0.224520402489044,0,0.0100138877551689,0,0,0,0,0,0,0,0,0,0,0,0.0353297912025334,0,0,0,0,0,0,-0.00236208042089346,0,0,0.0376041942365898,0,0,0,0,0,0,0,0,0,0,0.0103566352036191,-0.00817668202639559,0,0,0,0,0,0
X600031.SH,0,0.19507186580144,0,0,0.0614400165498936,0,0.0792527121640143,0,0.0738481494647715,0,0,0,0,0,0,0,0.0417589882052398,0,0,0,0,0,0,0,0,0,0.218394905371309,0,0,0,0.0304250561408891,0,0,0,0,0.237553921853043,0,-0.0873037919707995,0,0.0166516578378045,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,-0.0145922205575144,0,0,0,0,0,0,0
