,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600703.SH,X600690.SH,X000568.SZ,X002236.SZ,X002475.SZ,X000625.SZ,X002241.SZ,X600741.SH,X600031.SH,X000338.SZ,X002456.SZ,X600066.SH,X000100.SZ,X300124.SZ,X601877.SH,X300003.SZ,X600809.SH,X600487.SH,X300136.SZ,X002085.SZ,X002008.SZ,X600089.SH,X002508.SZ,X600177.SH,X600271.SH,X000157.SZ,X600522.SH,X002294.SZ,X600118.SH,X600867.SH,X000050.SZ,X300115.SZ,X600699.SH,X000981.SZ,X600372.SH,X000559.SZ,X600498.SH,X600566.SH,X002074.SZ,X002007.SZ,X002465.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.124073047113921,0.116945706712826,0,0,0,0.289590500911971,0,0,0,0,0,0,0,0,0,0,0,0,0.05735340602649,0.101280695337264,-0.049425711788066,0,0,0,0,0.0558613806334433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0897505687256544,0,0,0,0.000299991034085895,-0.0102801745669652,0,0,0,0,0,0
X600104.SH,0,0,0,0.065211205401091,0,0,0,0,0,0,0,0,0.102961338467405,0,0,-0.0702965364153393,0.425651590710491,0,0,0,0.213782173397586,0,0.00286438480635049,0,0.220637428824172,0.0118828256718591,0,-0.0794439718490063,0.184545551153336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.355963298587706,0,0.0570528355769124,0,0,0,0.00862325841414878,-0.0117926677363926,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.321510151073138,0,0,-8.67361737988404e-19,0.233509116351921,0,0,0.0721699889185323,0,0,0,0,0,0,0,0,0.174407342310073,0,0,0.116890037938916,0,0,0,0,0.0265231127082434,-0.00828972619893332,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00692915861012647,0.00334156231927913,0,0,0,0,0,0
X000651.SZ,0,0.0802767694227039,0,0,0.179035243738453,0,0,0,0,0,0.0675993709389676,0,0.142184059129029,0,0,0,0.014106429354269,0.0843187351025583,0,0,0,0,0,0,0,-0.0327925329844679,0,0,0,0,-0.0695327861497195,0.0582996074734709,0,0,0,0,0,0,0,-0.0220888086188718,0,0,0,0,0,0,0,0,0,0,0,-0.0108753823914097,0,0,0,0,0,0,0
X000858.SZ,0,0,0.193469154220283,0.0714514228149663,0,0,0,0.153072411499186,0,0,0,0.287394099078244,0,0,0,0,0,0.00390712383468583,0,0,0.0531606528259465,0,0,0,0,0.0403120605415264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00225764310158434,-3.70697033014437e-05,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.285278174570478,0,0,0,-0.123635967347993,0,0,0,0,0,0,-0.0667942608502894,0.246097820045641,0,0,0,0,0,0,-0.104074148971241,0.00465286214783265,0,0,0,0,0,0,0,0,0,0,0,-0.00569437266773455,0,0,0,0,0,-0.154021950896644,-0.0719057300276685,0,0.177332039218809,0,0.0765545081676261,0,0,-0.123056977259021,0.0127819207389505,0,-0.0327519144909818,0,0,0,0,0
X000725.SZ,0,0,0.129975229615039,0,-0.0348981612708632,0,0,0,0.0460753272131976,0,0,0,0,0,0,0,0,0,0.291160241842405,0,0,0,0,0,0,0.0359602384094798,0.11167453421206,0,0.268560822374806,0,0,0,0,0,0,0,0,0,0,0.189602622863656,-0.147172977682854,0,0,0,0,0.0248666624365048,-0.0410969394279985,-0.0173393435713628,0,0,0,0,0.00187463187994175,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.2316501378961,0,0,0,0,0,0,0.409748801707656,0,0,0,-0.00971903112478845,0.0322947092209122,0.0340917312639348,0.0246456705840152,-0.129424829881175,0.0242090898948622,0,0,0,0,0.0982209350305088,0,0,0,-0.0198284357061605,0,0,0,0,0,0,0,0,-0.0600401418048558,0.00682352282449787,0,0,0,0,0,-0.0247718795713264,0,0,0,0,0,-0.0107922395895639,0.0183185749701994,0,0,0,0,0,0
X000063.SZ,0,0,0.040163874382694,0,0,-0.0951894700620758,0,0,0,0.313583103829092,0,0,0.192509621616878,0,0,0,0.0209214335045176,0,0,0,0,0,0.0735300328474337,0,0,0.0948047571045233,0,0,0,0.0360925585293157,0,0,0,0,0,0,0.0708146846346255,0,-0.0573683852097823,0,0,0,0,0.152251115494416,0.0637296006930473,0.177494638671339,0,0,0,0,0,-0.026266688123678,0.0252194424677271,0,0,0,0,0,0
X600703.SH,0,0,0,0,-6.93889390390723e-18,0,0,0.194984929156163,0.141784130283431,0,0.0729504803769156,0,0.0690622056671556,0,0,0.276371828493948,0.16828336579303,0.26115478845549,0,0,0,0,0.1672031200748,0,-0.134615251580793,0,0,0,0,0.0870687108084123,0,0,0,0,0,0,0,0,0,-0.0427240543728991,0,0,0,0,0,0,0,0,0,0,0,0.00923755439707585,0.0248734228056985,0,0,0,0,0,0
