,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000858.SZ,X000063.SZ,X000625.SZ,X600703.SH,X600690.SH,X600118.SH,X000559.SZ,X600031.SH,X002241.SZ,X600271.SH,X000100.SZ,X002292.SZ,X600372.SH,X600066.SH,X002475.SZ,X600741.SH,X002236.SZ,X000157.SZ,X000338.SZ,X600089.SH,X002049.SZ,X300124.SZ,X002465.SZ,X600177.SH,X002506.SZ,X300003.SZ,X002074.SZ,X000547.SZ,X002129.SZ,X000568.SZ,X600582.SH,X002294.SZ,X600839.SH,X300001.SZ,X002276.SZ,X000977.SZ,X600498.SH,X002456.SZ,X600867.SH,X000050.SZ,X002426.SZ,X002085.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.326675403580472,0,0,0,0,0,0.108840078913673,0,0,0,0,0,0,0,0,0.0459538034904366,0,0.0157889340991215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316614025143951,0,0,0,0,0,0,0,0,0,0,0,-0.0781406204882669,0.0540582259157327,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.121105714541859,0,0,0.207152745236662,0.040114941158551,0.254039284984992,0,0,0.0427090598234128,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0274464159781812,0.00893622099040445,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0873064411409335,0,0,0,0.0180454496139455,0,0,0.129520103404378,0,0,0,0,0,0.0145699946460847,0.0400173654108994,0.109501590966434,0,0.0166514328293745,0,0,0.040713879052545,0,0,0,0,0,0,0,0.0277630139293242,0.105585481673359,0,0,0.0937194113938567,0,0,0,-0.0279642397646673,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.310507551534611,0,0,0,0,0,0,0,0,0,0,0.0914852889133776,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00266041294811683,0,0.0523397607835691,0,0,0,0.120690940784208,0,0,0.0432777081558527,0,0,0.0864290097081632,0,0,0,0,0.0971640051062558,0,-0.00490640322420581,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390555294153923,0.0820052739504142,0,0.0163647067563366,0,0.00783988181231947,0,0.0588835814148633,0,0,0,0,0.00829777410017009,0,0.108747866413917,0,0.0325353742143049,0,0,0,0.0443181084005155,0,-0.0873405425205779,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.0183484389053711,0.223041113165876,0,0,0,0,0,0,0,0,0,-0.0144362221042531,0,0,0,0,0,0,0,0,0,0,0.0841728598690831,-0.0835281036922107,0,-0.0112810877517979,-8.67361737988404e-19,0,0,0,0.0729870170744388,0,3.3881317890172e-21,0,0,0.0854238694313986,0,0,0,0,0.0505984453316304,0,-0.0863006007343359,0.0877466141140135,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.103613389580909,0,0,0,0,0,0.0331072560015319,0,0,0,0.368200486978223,0.280174303458061,0,0,0,0,0,0,0,0.030291810417393,0.0188567161642481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00856935852618677,0,0,0,0,0,0,0
X000858.SZ,0,0,-0.0398971678687961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0913294511047381,0,0,0,0,-0.260098724848697,0,0,0,-0.0113797436723767,0,0,0,0,0,0.0669030099468603,0.113523086822553,0,0,0,0,0,0.0202574714495188,0,-0.0279081045577447,0,0,0,0,-0.178776499999039,0,0,0.00930842760323742,0.010528964222145,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0.0916005308315117,0,0,0,0,0,0,0,0,0,0,0.0447097742210976,0.149155034490942,0,0,0,0.0602576499121515,0,0.160151667560648,0,0.0147672052002536,0,0,0,0,0,0,0,0,0,0,0,0.125384891419021,0.0846671829345757,0.0458549172864971,0,0,0,0,0,-0.0211642094092219,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0680768991696395,0.0322985224041408,0.00603084736280643,0.209789123242536,0,0,0,0,0,0,0,0.112253899133126,0,0,0.0272194515763937,0.0397333835610498,0.00671122192537348,0,0,0,0,0.0491476803405044,0,0,0,0,0,0.0252930871954484,0,0,0,-0.0410366070658131,0,0,0,0,0,0,0
