,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X600741.SH,X600066.SH,X002241.SZ,X002236.SZ,X600031.SH,X000568.SZ,X000100.SZ,X600271.SH,X600118.SH,X002475.SZ,X002456.SZ,X600177.SH,X002292.SZ,X000338.SZ,X000559.SZ,X000157.SZ,X600372.SH,X002007.SZ,X300003.SZ,X601877.SH,X002180.SZ,X600867.SH,X002506.SZ,X002074.SZ,X600522.SH,X002294.SZ,X300124.SZ,X002085.SZ,X600089.SH,X600498.SH,X002508.SZ,X002426.SZ,X002249.SZ,X000050.SZ,X600487.SH,X600418.SH,X000981.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.154719074840177,0,0,0,0,0.249787807055211,0,0,0.0256672048831788,0,0,0.0732839204948063,0,0,0,0,0,0,0,0,0,0,0.0413745275976191,-0.0162775296960579,0,0,0,0,0.150028810450117,0,0,0,0,0,0.0742366741626548,-0.0133562789063327,0,0,0,0,0,0,0,-0.010212919963904,0,0,0,0,0,0.10616144388858,0,0,0,0,0,0,0
X600104.SH,0.0981602780404991,0,0.00145794964712437,0,0,0,0,0,0.430451486287742,0,0,0,0,0,0.0460280370265928,0,0,0,0,0,0,-0.0455459301357843,-0.0844169119805662,0.17183847587329,0,0,0,0,0,0,0,0,0.0344316450739419,0,0,0,0.00380245809198884,0,0,-0.042661838490937,0,0.136126826581722,0,0,0,0,-0.066484128871724,0,0.0503137408815058,0,0,-0.0615548711050594,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0452666439468502,0,0,0,0,0,0.00479908376917133,0,0,0,0.255849077283835,0,0,0,0,0,0.0901924165672918,0,0,0,0,0.0256849438607166,0,-0.0101932325225982,0,0,0.100382752110847,-3.46944695195361e-18,0,0,0,0,0.486919957423702,0,0,0,0.113772732520355,0,0,0,0,0,0.00327905493965382,0.180743221043992,0,0.0615325660900389,-0.0772736678110617,0,0,0,0,0,0
X000651.SZ,0.0256459004539906,0,0,0,0,0,0,0,0,0,0,0.0226193320098034,0,0,0,0,0,0,0,0,0,0,0.0694608170952695,0,0,0,0,0,0,0.0142331615270128,0,0,0,0,0,0.0343128353621474,0,0,0,0,0,0,-0.0095109241091012,0,0,0,-0.0274672292832215,-0.0804683475413133,-0.0258762846491018,0,-0.055490411590476,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0740035993027607,0,0,0.178463838787397,0,0,0.0780490694865846,0,0,0,0,0.522006272935158,0,0,0,0,0,0,0,0,0,0,0,0.0699629323250375,0,0,0.0369642678365722,0,0,0,0,0,0,0,0,0,0,0,0,-0.039188556563851,0,0.0968556661023105,0,0,0,0,0,0,0,0,0,0
X600276.SH,0.0667799225708141,0,0.182666216697906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00154344557251108,0,0,0,0,0,0,-0.15325303647833,0,0,0,0.0222421021820886,0,0,0,0,0.0838630823767639,0,0,0,0,0,0,0,-0.050791727995802,-0.0345513905573655,0.0982677299046772,0.00606967906342682,0,-0.0337355280339115,-0.0344140866100133,0,0,0,0,0,0
X002304.SZ,0.0106679800219948,0,0,0,0.669741012227753,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.0676429571099506,0,0,0,0,0,0,0,0,0,0,0.108433193567507,0,0,0.01652983306977,0.0254067074199305,0,0.0223593390902835,0,0,0,0,0,0,0,0,-0.0457417830059745,-0.00298592359187467,0,0.0355866642261784,0.0373482581254264,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0.0142668464666467,0,0,0,0,0,0,0,0,0,0,0.142785823234543,0,0,0,0,0.156342792603463,0.0414057973687846,0,0,0,0,0,0,0.0253878192743816,0.0604082481417994,0,0,0.0916427914798753,-0.0316366186496641,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0188518570543859,0.00429985544217912,0,0,0,0.0106823207379919,0,-0.0833114599151988,0,-0.00831415356692037,0,0,0,0,0
X000625.SZ,0,0.0873214022971535,0,0,0,0,0,0,0,0,0,0,0.0561788432452196,0,0,0.0774367828027797,0,0.0380578316957913,0,0,0,0,0,0,0,0,0,0,0.0161668704044294,0,0,0,0,0,0,0,0.0858785926606251,0,0,0,0,0,0,0.0484799327518835,0,0,0,0,0.00242503114194526,0,0,0,0,0,0,0,0,0
X600690.SH,0,0.0675481520909628,0.153337796676317,0,0.0650844883706129,0,0,0,0,0,0,0,0.0337119180763457,0.120872823196646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1048066769169,0,0,0,0,0,0,0.0640386566400585,0,0,0,0.0629678702569373,0,0.000912210787696815,0,0,0,0,0,0,0,0,0.0796229320727266,0,0,0,0,0,0
